Value,SIBERIA_2024_ESA_CALU_2024_43XFA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43XFA_M_R,SIBERIA_2024_GLC_FCS30D_2022_43XFA_M_R,SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,SIBERIA_2024_WorldCover_2021_43XFA_M_R
116,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
117,NULL,NULL,Water,NULL,NULL,Water
118,NULL,NULL,Water,NULL,Water,Grassland
119,NULL,NULL,Water,NULL,Water,Wetland
120,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
121,NULL,NULL,Water,NULL,Water,Bareland
122,NULL,NULL,Water,NULL,Water,Water
123,NULL,NULL,Water,NULL,Water,Forest
124,NULL,NULL,Water,Non_Water,NULL,Grassland
125,NULL,NULL,Water,Non_Water,NULL,Wetland
126,NULL,NULL,Water,Non_Water,Water,Grassland
127,NULL,NULL,Water,Non_Water,Water,Wetland
128,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
129,NULL,NULL,Water,Non_Water,Water,Bareland
130,NULL,NULL,Water,Non_Water,Water,Water
131,NULL,NULL,Water,Water,NULL,NULL
132,NULL,NULL,Water,Water,NULL,Grassland
133,NULL,NULL,Water,Water,NULL,Wetland
134,NULL,NULL,Water,Water,NULL,Water
135,NULL,NULL,Water,Water,Water,Grassland
136,NULL,NULL,Water,Water,Water,Wetland
137,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
138,NULL,NULL,Water,Water,Water,Bareland
139,NULL,NULL,Water,Water,Water,Water
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
142,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
145,NULL,NULL,Forest,Water,Non_Wetland,Grassland
146,NULL,NULL,Forest,Water,Non_Wetland,Wetland
147,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
148,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
149,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
150,NULL,Wetland,NULL,NULL,Non_Wetland,Water
151,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
152,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
153,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
154,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
155,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
156,NULL,Wetland,NULL,Water,Non_Wetland,Water
157,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
158,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
159,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
160,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
161,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
162,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
163,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
164,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
165,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
166,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
167,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
168,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
169,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
170,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
171,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
172,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
173,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
174,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
175,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
176,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
177,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
178,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
179,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
180,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
181,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
182,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
183,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
184,NULL,Wetland,Grassland,Water,Non_Wetland,Water
185,NULL,Wetland,Wetland,NULL,NULL,Grassland
186,NULL,Wetland,Wetland,NULL,NULL,Wetland
187,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
188,NULL,Wetland,Wetland,NULL,NULL,Bareland
189,NULL,Wetland,Wetland,NULL,NULL,Water
190,NULL,Wetland,Wetland,NULL,Wetland,Grassland
191,NULL,Wetland,Wetland,NULL,Wetland,Wetland
192,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
193,NULL,Wetland,Wetland,NULL,Wetland,Bareland
194,NULL,Wetland,Wetland,NULL,Wetland,Water
195,NULL,Wetland,Wetland,Non_Water,NULL,Grassland
196,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
197,NULL,Wetland,Wetland,Non_Water,NULL,Lichens_and_Mosses
198,NULL,Wetland,Wetland,Non_Water,NULL,Water
199,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
200,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
201,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
202,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
203,NULL,Wetland,Wetland,Non_Water,Wetland,Water
204,NULL,Wetland,Wetland,Water,NULL,Grassland
205,NULL,Wetland,Wetland,Water,NULL,Wetland
206,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
207,NULL,Wetland,Wetland,Water,NULL,Bareland
208,NULL,Wetland,Wetland,Water,NULL,Water
209,NULL,Wetland,Wetland,Water,Wetland,Grassland
210,NULL,Wetland,Wetland,Water,Wetland,Wetland
211,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
212,NULL,Wetland,Wetland,Water,Wetland,Bareland
213,NULL,Wetland,Wetland,Water,Wetland,Water
214,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
215,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
216,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
217,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
218,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
219,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
220,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
221,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
222,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
223,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
224,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
225,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
226,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
227,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
228,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
229,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
230,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
231,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
232,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
233,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
234,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
235,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
236,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
237,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
238,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
239,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
240,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
241,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
242,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
243,NULL,Wetland,Bareland,Water,Non_Wetland,Water
244,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
245,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
246,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
247,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
248,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
249,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
250,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
251,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
252,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
253,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
254,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
255,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
256,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
257,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
258,NULL,Wetland,Built-up,Water,Non_Wetland,Water
259,NULL,Wetland,Water,NULL,NULL,Grassland
260,NULL,Wetland,Water,NULL,NULL,Wetland
261,NULL,Wetland,Water,NULL,NULL,Lichens_and_Mosses
262,NULL,Wetland,Water,NULL,NULL,Bareland
263,NULL,Wetland,Water,NULL,NULL,Water
264,NULL,Wetland,Water,NULL,Water,Grassland
265,NULL,Wetland,Water,NULL,Water,Wetland
266,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
267,NULL,Wetland,Water,NULL,Water,Bareland
268,NULL,Wetland,Water,NULL,Water,Water
269,NULL,Wetland,Water,Non_Water,NULL,Wetland
270,NULL,Wetland,Water,Non_Water,Water,Grassland
271,NULL,Wetland,Water,Non_Water,Water,Wetland
272,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
273,NULL,Wetland,Water,Non_Water,Water,Bareland
274,NULL,Wetland,Water,Non_Water,Water,Water
275,NULL,Wetland,Water,Water,NULL,Wetland
276,NULL,Wetland,Water,Water,NULL,Water
277,NULL,Wetland,Water,Water,Water,Grassland
278,NULL,Wetland,Water,Water,Water,Wetland
279,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
280,NULL,Wetland,Water,Water,Water,Bareland
281,NULL,Wetland,Water,Water,Water,Water
282,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
283,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
284,NULL,Wetland,Forest,NULL,Non_Wetland,Water
285,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
286,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
287,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
288,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
289,NULL,Wetland,Forest,Water,Non_Wetland,Water
290,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
291,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
292,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
293,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
294,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
295,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
296,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
297,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
298,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
299,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
300,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
301,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
302,NULL,Bareland,Wetland,NULL,NULL,Wetland
303,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
304,NULL,Bareland,Wetland,NULL,NULL,Bareland
305,NULL,Bareland,Wetland,NULL,NULL,Water
306,NULL,Bareland,Wetland,NULL,Wetland,Grassland
307,NULL,Bareland,Wetland,NULL,Wetland,Wetland
308,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
309,NULL,Bareland,Wetland,NULL,Wetland,Bareland
310,NULL,Bareland,Wetland,NULL,Wetland,Water
311,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
312,NULL,Bareland,Wetland,Non_Water,NULL,Water
313,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
314,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
315,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
316,NULL,Bareland,Wetland,Non_Water,Wetland,Water
317,NULL,Bareland,Wetland,Water,NULL,Wetland
318,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
319,NULL,Bareland,Wetland,Water,NULL,Bareland
320,NULL,Bareland,Wetland,Water,NULL,Water
321,NULL,Bareland,Wetland,Water,Wetland,Wetland
322,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
323,NULL,Bareland,Wetland,Water,Wetland,Bareland
324,NULL,Bareland,Wetland,Water,Wetland,Water
325,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
326,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
327,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
328,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
329,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
330,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
331,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
332,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
333,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
334,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
335,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
336,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
337,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
338,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
339,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
340,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
341,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
342,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
343,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
344,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
345,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
346,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
347,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
348,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
349,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
350,NULL,Bareland,Bareland,Water,Non_Wetland,Water
351,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
352,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
353,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
354,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
355,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
356,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
357,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
358,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
359,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
360,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
361,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
362,NULL,Bareland,Built-up,Water,Non_Wetland,Water
363,NULL,Bareland,Water,NULL,NULL,Bareland
364,NULL,Bareland,Water,NULL,Water,Wetland
365,NULL,Bareland,Water,NULL,Water,Bareland
366,NULL,Bareland,Water,NULL,Water,Water
367,NULL,Bareland,Water,Non_Water,NULL,Bareland
368,NULL,Bareland,Water,Non_Water,NULL,Water
369,NULL,Bareland,Water,Non_Water,Water,Wetland
370,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
371,NULL,Bareland,Water,Non_Water,Water,Bareland
372,NULL,Bareland,Water,Non_Water,Water,Water
373,NULL,Bareland,Water,Water,NULL,Water
374,NULL,Bareland,Water,Water,Water,Wetland
375,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
376,NULL,Bareland,Water,Water,Water,Bareland
377,NULL,Bareland,Water,Water,Water,Water
378,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
379,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
380,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
381,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
382,NULL,Built-up,Wetland,NULL,Wetland,Grassland
383,NULL,Built-up,Wetland,NULL,Wetland,Bareland
384,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
385,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
386,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
387,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
388,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
389,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
390,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
391,NULL,Water,NULL,NULL,Non_Wetland,Wetland
392,NULL,Water,NULL,Non_Water,Non_Wetland,Water
393,NULL,Water,NULL,Water,Non_Wetland,Water
394,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
395,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
396,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
397,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
398,NULL,Water,Shrubland,NULL,Non_Wetland,Water
399,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
400,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
401,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
402,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
403,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
404,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
405,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
406,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
407,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
408,NULL,Water,Shrubland,Water,Non_Wetland,Water
409,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
410,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
411,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
412,NULL,Water,Grassland,NULL,Non_Wetland,Water
413,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
414,NULL,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
415,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
