Value,SIBERIA_2024_ESA_CALU_2024_44WPD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPD_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPD_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPD_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPD_M_R,SIBERIA_2024_WorldCover_2021_44WPD_M_R
108,NULL,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,NULL,Bareland,Water,Non_Wetland,Forest
110,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,NULL,Built-up,NULL,Non_Wetland,Water
115,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
121,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
122,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
123,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
124,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
125,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
126,NULL,NULL,Built-up,Water,Non_Wetland,Water
127,NULL,NULL,Built-up,Water,Non_Wetland,Forest
128,NULL,NULL,Water,NULL,NULL,Grassland
129,NULL,NULL,Water,NULL,Water,Grassland
130,NULL,NULL,Water,NULL,Water,Wetland
131,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
132,NULL,NULL,Water,NULL,Water,Water
133,NULL,NULL,Water,NULL,Water,Forest
134,NULL,NULL,Water,Non_Water,Water,Grassland
135,NULL,NULL,Water,Non_Water,Water,Wetland
136,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
137,NULL,NULL,Water,Non_Water,Water,Water
138,NULL,NULL,Water,Non_Water,Water,Forest
139,NULL,NULL,Water,Water,NULL,Grassland
140,NULL,NULL,Water,Water,NULL,Lichens_and_Mosses
141,NULL,NULL,Water,Water,Water,Grassland
142,NULL,NULL,Water,Water,Water,Wetland
143,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
144,NULL,NULL,Water,Water,Water,Bareland
145,NULL,NULL,Water,Water,Water,Water
146,NULL,NULL,Water,Water,Water,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
149,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
150,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
151,NULL,NULL,Forest,NULL,Non_Wetland,Water
152,NULL,NULL,Forest,NULL,Non_Wetland,Forest
153,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
154,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
155,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
157,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
158,NULL,NULL,Forest,Water,Non_Wetland,Grassland
159,NULL,NULL,Forest,Water,Non_Wetland,Wetland
160,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
161,NULL,NULL,Forest,Water,Non_Wetland,Water
162,NULL,NULL,Forest,Water,Non_Wetland,Forest
163,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
164,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
165,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
166,NULL,Wetland,NULL,NULL,Non_Wetland,Water
167,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
168,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
169,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
170,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
171,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
172,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
173,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
174,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
175,NULL,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,NULL,Water,Non_Wetland,Water
177,NULL,Wetland,NULL,Water,Non_Wetland,Forest
178,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
179,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
180,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
182,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
184,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
185,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
186,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
187,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
188,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
189,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
190,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
191,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
192,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
193,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
194,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
195,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
196,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
197,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
198,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
199,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
200,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
201,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
202,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
203,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
204,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
205,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
206,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
207,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
208,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
209,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
210,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
211,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
212,NULL,Wetland,Grassland,Water,Non_Wetland,Water
213,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
214,NULL,Wetland,Wetland,NULL,NULL,Grassland
215,NULL,Wetland,Wetland,NULL,NULL,Wetland
216,NULL,Wetland,Wetland,NULL,NULL,Bareland
217,NULL,Wetland,Wetland,NULL,NULL,Water
218,NULL,Wetland,Wetland,NULL,NULL,Forest
219,NULL,Wetland,Wetland,NULL,Wetland,Grassland
220,NULL,Wetland,Wetland,NULL,Wetland,Wetland
221,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
222,NULL,Wetland,Wetland,NULL,Wetland,Bareland
223,NULL,Wetland,Wetland,NULL,Wetland,Water
224,NULL,Wetland,Wetland,NULL,Wetland,Forest
225,NULL,Wetland,Wetland,Non_Water,NULL,Grassland
226,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
227,NULL,Wetland,Wetland,Non_Water,NULL,Water
228,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
229,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
230,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
231,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
232,NULL,Wetland,Wetland,Non_Water,Wetland,Water
233,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
234,NULL,Wetland,Wetland,Water,NULL,Wetland
235,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
236,NULL,Wetland,Wetland,Water,NULL,Bareland
237,NULL,Wetland,Wetland,Water,NULL,Water
238,NULL,Wetland,Wetland,Water,Wetland,Grassland
239,NULL,Wetland,Wetland,Water,Wetland,Wetland
240,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
241,NULL,Wetland,Wetland,Water,Wetland,Bareland
242,NULL,Wetland,Wetland,Water,Wetland,Water
243,NULL,Wetland,Wetland,Water,Wetland,Forest
244,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
245,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
246,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
247,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
248,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
249,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
250,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
251,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
252,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
253,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
254,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
255,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
256,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
257,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
258,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
259,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
260,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
261,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
262,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
263,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
264,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
265,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
266,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
267,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
268,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
269,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
270,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
271,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
272,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
273,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
274,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
275,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
276,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
277,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
278,NULL,Wetland,Bareland,Water,Non_Wetland,Water
279,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
280,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
281,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
282,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
283,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
284,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
285,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
286,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
287,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
288,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
289,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
290,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
291,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
292,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
293,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
294,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
295,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
296,NULL,Wetland,Built-up,Water,Non_Wetland,Water
297,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
298,NULL,Wetland,Water,NULL,NULL,Wetland
299,NULL,Wetland,Water,NULL,Water,Grassland
300,NULL,Wetland,Water,NULL,Water,Wetland
301,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
302,NULL,Wetland,Water,NULL,Water,Bareland
303,NULL,Wetland,Water,NULL,Water,Water
304,NULL,Wetland,Water,NULL,Water,Forest
305,NULL,Wetland,Water,Non_Water,NULL,Water
306,NULL,Wetland,Water,Non_Water,Water,Grassland
307,NULL,Wetland,Water,Non_Water,Water,Wetland
308,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
309,NULL,Wetland,Water,Non_Water,Water,Bareland
310,NULL,Wetland,Water,Non_Water,Water,Water
311,NULL,Wetland,Water,Non_Water,Water,Forest
312,NULL,Wetland,Water,Water,NULL,Wetland
313,NULL,Wetland,Water,Water,NULL,Water
314,NULL,Wetland,Water,Water,NULL,Forest
315,NULL,Wetland,Water,Water,Water,Grassland
316,NULL,Wetland,Water,Water,Water,Wetland
317,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
318,NULL,Wetland,Water,Water,Water,Bareland
319,NULL,Wetland,Water,Water,Water,Water
320,NULL,Wetland,Water,Water,Water,Forest
321,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
322,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
323,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
324,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
325,NULL,Wetland,Forest,NULL,Non_Wetland,Water
326,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
327,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
328,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
329,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
330,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
331,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
332,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
333,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
334,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
335,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
336,NULL,Wetland,Forest,Water,Non_Wetland,Water
337,NULL,Wetland,Forest,Water,Non_Wetland,Forest
338,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
339,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
340,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
341,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
342,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
343,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
344,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
345,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
346,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
347,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
348,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
349,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
350,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
351,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
352,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
353,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
354,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
355,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
356,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
357,NULL,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
358,NULL,Bareland,Grassland,Water,Non_Wetland,Water
359,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
360,NULL,Bareland,Wetland,NULL,Wetland,Bareland
361,NULL,Bareland,Wetland,NULL,Wetland,Water
362,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
363,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
364,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
365,NULL,Bareland,Wetland,Non_Water,Wetland,Water
366,NULL,Bareland,Wetland,Water,NULL,Bareland
367,NULL,Bareland,Wetland,Water,Wetland,Wetland
368,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
369,NULL,Bareland,Wetland,Water,Wetland,Bareland
370,NULL,Bareland,Wetland,Water,Wetland,Water
371,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
372,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
373,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
374,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
375,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
376,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
377,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
378,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
379,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
380,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
381,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
382,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
383,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
384,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
385,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
386,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
387,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
388,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
389,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
390,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
391,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
392,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
393,NULL,Bareland,Bareland,Water,Non_Wetland,Water
394,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
395,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
396,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
397,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
398,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
399,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
400,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
401,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
402,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
403,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
404,NULL,Bareland,Built-up,Water,Non_Wetland,Water
405,NULL,Bareland,Water,NULL,Water,Water
406,NULL,Bareland,Water,Non_Water,Water,Water
407,NULL,Bareland,Water,Water,NULL,Bareland
408,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
409,NULL,Bareland,Water,Water,Water,Bareland
410,NULL,Bareland,Water,Water,Water,Water
411,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
