Value,SIBERIA_2024_ESA_CALU_2024_42WVB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVB_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVB_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVB_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVB_M_R,SIBERIA_2024_WorldCover_2021_42WVB_M_R
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
115,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
116,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
117,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
119,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
120,NULL,NULL,Bareland,Water,Non_Wetland,Water
121,NULL,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
122,NULL,NULL,Bareland,Water,Non_Wetland,Forest
123,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
124,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
125,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
126,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
127,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
128,NULL,NULL,Built-up,NULL,Non_Wetland,Water
129,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
135,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
136,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
137,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
138,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
139,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
140,NULL,NULL,Built-up,Water,Non_Wetland,Water
141,NULL,NULL,Water,NULL,NULL,NULL
142,NULL,NULL,Water,NULL,NULL,Grassland
143,NULL,NULL,Water,NULL,NULL,Wetland
144,NULL,NULL,Water,NULL,NULL,Bareland
145,NULL,NULL,Water,NULL,NULL,Water
146,NULL,NULL,Water,NULL,Water,Grassland
147,NULL,NULL,Water,NULL,Water,Wetland
148,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
149,NULL,NULL,Water,NULL,Water,Bareland
150,NULL,NULL,Water,NULL,Water,Water
151,NULL,NULL,Water,NULL,Water,Permanent_ice_and_snow
152,NULL,NULL,Water,NULL,Water,Forest
153,NULL,NULL,Water,Non_Water,NULL,Bareland
154,NULL,NULL,Water,Non_Water,NULL,Water
155,NULL,NULL,Water,Non_Water,Water,Grassland
156,NULL,NULL,Water,Non_Water,Water,Wetland
157,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
158,NULL,NULL,Water,Non_Water,Water,Bareland
159,NULL,NULL,Water,Non_Water,Water,Water
160,NULL,NULL,Water,Water,NULL,NULL
161,NULL,NULL,Water,Water,NULL,Grassland
162,NULL,NULL,Water,Water,NULL,Wetland
163,NULL,NULL,Water,Water,NULL,Bareland
164,NULL,NULL,Water,Water,NULL,Water
165,NULL,NULL,Water,Water,Water,Grassland
166,NULL,NULL,Water,Water,Water,Wetland
167,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
168,NULL,NULL,Water,Water,Water,Bareland
169,NULL,NULL,Water,Water,Water,Built-up
170,NULL,NULL,Water,Water,Water,Water
171,NULL,NULL,Water,Water,Water,Permanent_ice_and_snow
172,NULL,NULL,Water,Water,Water,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
175,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
176,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
177,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
178,NULL,NULL,Forest,NULL,Non_Wetland,Water
179,NULL,NULL,Forest,NULL,Non_Wetland,Forest
180,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
181,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
182,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
183,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
184,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
185,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
186,NULL,NULL,Forest,Water,Non_Wetland,Grassland
187,NULL,NULL,Forest,Water,Non_Wetland,Wetland
188,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
189,NULL,NULL,Forest,Water,Non_Wetland,Bareland
190,NULL,NULL,Forest,Water,Non_Wetland,Water
191,NULL,NULL,Forest,Water,Non_Wetland,Forest
192,Shrubland,NULL,NULL,NULL,Non_Wetland,Grassland
193,Shrubland,NULL,NULL,NULL,Non_Wetland,Wetland
194,Shrubland,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
195,Shrubland,NULL,NULL,NULL,Non_Wetland,Bareland
196,Shrubland,NULL,NULL,NULL,Non_Wetland,Water
197,Shrubland,NULL,NULL,NULL,Non_Wetland,Forest
198,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Grassland
199,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Wetland
200,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Bareland
201,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Water
202,Shrubland,NULL,NULL,Water,Non_Wetland,Grassland
203,Shrubland,NULL,NULL,Water,Non_Wetland,Wetland
204,Shrubland,NULL,NULL,Water,Non_Wetland,Water
205,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Grassland
206,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Wetland
207,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
208,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Bareland
209,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Built-up
210,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Water
211,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Forest
212,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
213,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
214,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
215,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
216,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Water
217,Shrubland,NULL,Shrubland,Water,Non_Wetland,Grassland
218,Shrubland,NULL,Shrubland,Water,Non_Wetland,Wetland
219,Shrubland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
220,Shrubland,NULL,Shrubland,Water,Non_Wetland,Bareland
221,Shrubland,NULL,Shrubland,Water,Non_Wetland,Water
222,Shrubland,NULL,Shrubland,Water,Non_Wetland,Forest
223,Shrubland,NULL,Grassland,NULL,Non_Wetland,Grassland
224,Shrubland,NULL,Grassland,NULL,Non_Wetland,Wetland
225,Shrubland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
226,Shrubland,NULL,Grassland,NULL,Non_Wetland,Bareland
227,Shrubland,NULL,Grassland,NULL,Non_Wetland,Water
228,Shrubland,NULL,Grassland,NULL,Non_Wetland,Forest
229,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
230,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
231,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Water
232,Shrubland,NULL,Grassland,Water,Non_Wetland,Grassland
233,Shrubland,NULL,Grassland,Water,Non_Wetland,Wetland
234,Shrubland,NULL,Grassland,Water,Non_Wetland,Water
235,Shrubland,NULL,Wetland,NULL,NULL,Wetland
236,Shrubland,NULL,Wetland,NULL,NULL,Water
237,Shrubland,NULL,Wetland,NULL,Wetland,Grassland
238,Shrubland,NULL,Wetland,NULL,Wetland,Wetland
239,Shrubland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
240,Shrubland,NULL,Wetland,NULL,Wetland,Bareland
241,Shrubland,NULL,Wetland,NULL,Wetland,Water
242,Shrubland,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
243,Shrubland,NULL,Wetland,NULL,Wetland,Forest
244,Shrubland,NULL,Wetland,Non_Water,NULL,Wetland
245,Shrubland,NULL,Wetland,Non_Water,Wetland,Grassland
246,Shrubland,NULL,Wetland,Non_Water,Wetland,Wetland
247,Shrubland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
248,Shrubland,NULL,Wetland,Non_Water,Wetland,Bareland
249,Shrubland,NULL,Wetland,Non_Water,Wetland,Water
250,Shrubland,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
251,Shrubland,NULL,Wetland,Non_Water,Wetland,Forest
252,Shrubland,NULL,Wetland,Water,NULL,Wetland
253,Shrubland,NULL,Wetland,Water,NULL,Water
254,Shrubland,NULL,Wetland,Water,Wetland,Grassland
255,Shrubland,NULL,Wetland,Water,Wetland,Wetland
256,Shrubland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
257,Shrubland,NULL,Wetland,Water,Wetland,Bareland
258,Shrubland,NULL,Wetland,Water,Wetland,Water
259,Shrubland,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
260,Shrubland,NULL,Wetland,Water,Wetland,Forest
261,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
262,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
263,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
264,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
265,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
266,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
267,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
268,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
269,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
270,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
271,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
272,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
273,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
274,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
275,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
276,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
277,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
278,Shrubland,NULL,Bareland,NULL,Non_Wetland,Grassland
279,Shrubland,NULL,Bareland,NULL,Non_Wetland,Wetland
280,Shrubland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
281,Shrubland,NULL,Bareland,NULL,Non_Wetland,Bareland
282,Shrubland,NULL,Bareland,NULL,Non_Wetland,Built-up
283,Shrubland,NULL,Bareland,NULL,Non_Wetland,Water
284,Shrubland,NULL,Bareland,NULL,Non_Wetland,Forest
285,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
286,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
287,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
288,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
289,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Water
290,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Forest
291,Shrubland,NULL,Bareland,Water,Non_Wetland,Grassland
292,Shrubland,NULL,Bareland,Water,Non_Wetland,Wetland
293,Shrubland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
294,Shrubland,NULL,Bareland,Water,Non_Wetland,Bareland
295,Shrubland,NULL,Bareland,Water,Non_Wetland,Water
296,Shrubland,NULL,Built-up,NULL,Non_Wetland,Grassland
297,Shrubland,NULL,Built-up,NULL,Non_Wetland,Wetland
298,Shrubland,NULL,Built-up,NULL,Non_Wetland,Bareland
299,Shrubland,NULL,Built-up,NULL,Non_Wetland,Water
300,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
301,Shrubland,NULL,Built-up,Water,Non_Wetland,Grassland
302,Shrubland,NULL,Built-up,Water,Non_Wetland,Wetland
303,Shrubland,NULL,Built-up,Water,Non_Wetland,Water
304,Shrubland,NULL,Water,NULL,NULL,Wetland
305,Shrubland,NULL,Water,NULL,NULL,Water
306,Shrubland,NULL,Water,NULL,Water,Grassland
307,Shrubland,NULL,Water,NULL,Water,Wetland
308,Shrubland,NULL,Water,NULL,Water,Lichens_and_Mosses
309,Shrubland,NULL,Water,NULL,Water,Bareland
310,Shrubland,NULL,Water,NULL,Water,Water
311,Shrubland,NULL,Water,NULL,Water,Forest
312,Shrubland,NULL,Water,Non_Water,NULL,Wetland
313,Shrubland,NULL,Water,Non_Water,NULL,Water
314,Shrubland,NULL,Water,Non_Water,Water,Grassland
315,Shrubland,NULL,Water,Non_Water,Water,Wetland
316,Shrubland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
317,Shrubland,NULL,Water,Non_Water,Water,Bareland
318,Shrubland,NULL,Water,Non_Water,Water,Water
319,Shrubland,NULL,Water,Non_Water,Water,Forest
320,Shrubland,NULL,Water,Water,NULL,Wetland
321,Shrubland,NULL,Water,Water,NULL,Water
322,Shrubland,NULL,Water,Water,Water,Grassland
323,Shrubland,NULL,Water,Water,Water,Wetland
324,Shrubland,NULL,Water,Water,Water,Lichens_and_Mosses
325,Shrubland,NULL,Water,Water,Water,Bareland
326,Shrubland,NULL,Water,Water,Water,Water
327,Shrubland,NULL,Water,Water,Water,Permanent_ice_and_snow
328,Shrubland,NULL,Water,Water,Water,Forest
329,Shrubland,NULL,Forest,NULL,Non_Wetland,Grassland
330,Shrubland,NULL,Forest,NULL,Non_Wetland,Wetland
331,Shrubland,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
332,Shrubland,NULL,Forest,NULL,Non_Wetland,Bareland
333,Shrubland,NULL,Forest,NULL,Non_Wetland,Water
334,Shrubland,NULL,Forest,NULL,Non_Wetland,Forest
335,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Grassland
336,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Wetland
337,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
338,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Bareland
339,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Water
340,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Forest
341,Shrubland,NULL,Forest,Water,Non_Wetland,Grassland
342,Shrubland,NULL,Forest,Water,Non_Wetland,Wetland
343,Shrubland,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
344,Shrubland,NULL,Forest,Water,Non_Wetland,Bareland
345,Shrubland,NULL,Forest,Water,Non_Wetland,Water
346,Shrubland,NULL,Forest,Water,Non_Wetland,Forest
347,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
348,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
349,Wetland,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
350,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
351,Wetland,NULL,NULL,NULL,Non_Wetland,Water
352,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
353,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
354,Wetland,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
355,Wetland,NULL,NULL,Non_Water,Non_Wetland,Water
356,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
357,Wetland,NULL,NULL,Water,Non_Wetland,Water
358,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
359,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
360,Wetland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
361,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
362,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
363,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
364,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
365,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
366,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
367,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
368,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
369,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
370,Wetland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
371,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
372,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
373,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
374,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
375,Wetland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
376,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
377,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
378,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
379,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
380,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water
381,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
382,Wetland,NULL,Grassland,Water,Non_Wetland,Water
383,Wetland,NULL,Wetland,NULL,NULL,Wetland
384,Wetland,NULL,Wetland,NULL,NULL,Bareland
385,Wetland,NULL,Wetland,NULL,NULL,Water
386,Wetland,NULL,Wetland,NULL,Wetland,Grassland
387,Wetland,NULL,Wetland,NULL,Wetland,Wetland
388,Wetland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
389,Wetland,NULL,Wetland,NULL,Wetland,Bareland
390,Wetland,NULL,Wetland,NULL,Wetland,Water
391,Wetland,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
392,Wetland,NULL,Wetland,NULL,Wetland,Forest
393,Wetland,NULL,Wetland,Non_Water,NULL,Wetland
394,Wetland,NULL,Wetland,Non_Water,NULL,Water
395,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
396,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
397,Wetland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
398,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
399,Wetland,NULL,Wetland,Non_Water,Wetland,Water
400,Wetland,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
401,Wetland,NULL,Wetland,Water,NULL,Wetland
402,Wetland,NULL,Wetland,Water,NULL,Bareland
403,Wetland,NULL,Wetland,Water,NULL,Water
404,Wetland,NULL,Wetland,Water,Wetland,Grassland
405,Wetland,NULL,Wetland,Water,Wetland,Wetland
406,Wetland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
407,Wetland,NULL,Wetland,Water,Wetland,Bareland
408,Wetland,NULL,Wetland,Water,Wetland,Water
409,Wetland,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
410,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
411,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
412,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
