Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VML_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,SIBERIA_2024_WorldCover_2021_44VML_M_R
267,Wetland,Water,Non_Water,Water,Grassland
268,Wetland,Water,Non_Water,Water,Wetland
269,Wetland,Water,Non_Water,Water,Water
270,Wetland,Water,Non_Water,Water,Forest
271,Wetland,Water,Water,Water,NULL
272,Wetland,Water,Water,Water,Grassland
273,Wetland,Water,Water,Water,Wetland
274,Wetland,Water,Water,Water,Lichens_and_Mosses
275,Wetland,Water,Water,Water,Bareland
276,Wetland,Water,Water,Water,Water
277,Wetland,Water,Water,Water,Forest
278,Wetland,Forest,NULL,Non_Wetland,NULL
279,Wetland,Forest,NULL,Non_Wetland,Grassland
280,Wetland,Forest,NULL,Non_Wetland,Wetland
281,Wetland,Forest,NULL,Non_Wetland,Water
282,Wetland,Forest,NULL,Non_Wetland,Forest
283,Wetland,Forest,Non_Water,Non_Wetland,NULL
284,Wetland,Forest,Non_Water,Non_Wetland,Grassland
285,Wetland,Forest,Non_Water,Non_Wetland,Wetland
286,Wetland,Forest,Non_Water,Non_Wetland,Water
287,Wetland,Forest,Non_Water,Non_Wetland,Forest
288,Wetland,Forest,Water,Non_Wetland,NULL
289,Wetland,Forest,Water,Non_Wetland,Grassland
290,Wetland,Forest,Water,Non_Wetland,Wetland
291,Wetland,Forest,Water,Non_Wetland,Built-up
292,Wetland,Forest,Water,Non_Wetland,Water
293,Wetland,Forest,Water,Non_Wetland,Forest
294,Bareland,NULL,NULL,Non_Wetland,Water
295,Bareland,NULL,NULL,Non_Wetland,Forest
296,Bareland,NULL,Water,Non_Wetland,Water
297,Bareland,NULL,Water,Non_Wetland,Forest
298,Bareland,Grassland,NULL,Non_Wetland,Grassland
299,Bareland,Grassland,NULL,Non_Wetland,Bareland
300,Bareland,Cropland,NULL,Non_Wetland,Grassland
301,Bareland,Cropland,NULL,Non_Wetland,Bareland
302,Bareland,Cropland,NULL,Non_Wetland,Forest
303,Bareland,Cropland,Water,Non_Wetland,Water
304,Bareland,Wetland,NULL,Wetland,Water
305,Bareland,Wetland,NULL,Wetland,Forest
306,Bareland,Wetland,Non_Water,Wetland,Forest
307,Bareland,Wetland,Water,Wetland,Grassland
308,Bareland,Wetland,Water,Wetland,Wetland
309,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
310,Bareland,Wetland,Water,Wetland,Bareland
311,Bareland,Wetland,Water,Wetland,Water
312,Bareland,Wetland,Water,Wetland,Forest
313,Bareland,Bareland,NULL,Non_Wetland,Grassland
314,Bareland,Bareland,NULL,Non_Wetland,Bareland
315,Bareland,Bareland,NULL,Non_Wetland,Forest
316,Bareland,Built-up,NULL,Non_Wetland,Grassland
317,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
318,Bareland,Built-up,NULL,Non_Wetland,Bareland
319,Bareland,Built-up,NULL,Non_Wetland,Built-up
320,Bareland,Built-up,NULL,Non_Wetland,Forest
321,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
322,Bareland,Built-up,Water,Non_Wetland,Bareland
323,Bareland,Built-up,Water,Non_Wetland,Water
324,Bareland,Water,NULL,Water,Wetland
325,Bareland,Water,NULL,Water,Water
326,Bareland,Water,NULL,Water,Forest
327,Bareland,Water,Water,Water,Grassland
328,Bareland,Water,Water,Water,Bareland
329,Bareland,Water,Water,Water,Water
330,Bareland,Water,Water,Water,Forest
331,Bareland,Forest,NULL,Non_Wetland,Grassland
332,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
333,Bareland,Forest,NULL,Non_Wetland,Water
334,Bareland,Forest,NULL,Non_Wetland,Forest
335,Bareland,Forest,Water,Non_Wetland,Water
336,Bareland,Forest,Water,Non_Wetland,Forest
337,Built-up,NULL,NULL,Non_Wetland,Grassland
338,Built-up,NULL,NULL,Non_Wetland,Wetland
339,Built-up,NULL,NULL,Non_Wetland,Built-up
340,Built-up,NULL,NULL,Non_Wetland,Forest
341,Built-up,NULL,Non_Water,Non_Wetland,Forest
342,Built-up,Shrubland,NULL,Non_Wetland,Grassland
343,Built-up,Shrubland,NULL,Non_Wetland,Built-up
344,Built-up,Shrubland,NULL,Non_Wetland,Forest
345,Built-up,Grassland,NULL,Non_Wetland,Grassland
346,Built-up,Grassland,NULL,Non_Wetland,Bareland
347,Built-up,Grassland,NULL,Non_Wetland,Built-up
348,Built-up,Grassland,NULL,Non_Wetland,Forest
349,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
350,Built-up,Grassland,Water,Non_Wetland,Grassland
351,Built-up,Grassland,Water,Non_Wetland,Forest
352,Built-up,Cropland,NULL,Non_Wetland,Grassland
353,Built-up,Cropland,NULL,Non_Wetland,Wetland
354,Built-up,Cropland,NULL,Non_Wetland,Bareland
355,Built-up,Cropland,NULL,Non_Wetland,Built-up
356,Built-up,Cropland,NULL,Non_Wetland,Water
357,Built-up,Cropland,NULL,Non_Wetland,Forest
358,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
359,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
360,Built-up,Cropland,Non_Water,Non_Wetland,Forest
361,Built-up,Cropland,Water,Non_Wetland,Grassland
362,Built-up,Cropland,Water,Non_Wetland,Built-up
363,Built-up,Cropland,Water,Non_Wetland,Water
364,Built-up,Cropland,Water,Non_Wetland,Forest
365,Built-up,Wetland,NULL,Wetland,Grassland
366,Built-up,Wetland,NULL,Wetland,Wetland
367,Built-up,Wetland,NULL,Wetland,Bareland
368,Built-up,Wetland,NULL,Wetland,Built-up
369,Built-up,Wetland,NULL,Wetland,Forest
370,Built-up,Wetland,Water,Wetland,Forest
371,Built-up,Bareland,NULL,Non_Wetland,Grassland
372,Built-up,Bareland,NULL,Non_Wetland,Wetland
373,Built-up,Bareland,NULL,Non_Wetland,Bareland
374,Built-up,Bareland,NULL,Non_Wetland,Built-up
375,Built-up,Bareland,NULL,Non_Wetland,Water
376,Built-up,Bareland,NULL,Non_Wetland,Forest
377,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
378,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
379,Built-up,Bareland,Water,Non_Wetland,Grassland
380,Built-up,Bareland,Water,Non_Wetland,Bareland
381,Built-up,Bareland,Water,Non_Wetland,Forest
382,Built-up,Built-up,NULL,Non_Wetland,Grassland
383,Built-up,Built-up,NULL,Non_Wetland,Wetland
384,Built-up,Built-up,NULL,Non_Wetland,Bareland
385,Built-up,Built-up,NULL,Non_Wetland,Built-up
386,Built-up,Built-up,NULL,Non_Wetland,Water
387,Built-up,Built-up,NULL,Non_Wetland,Forest
388,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
389,Built-up,Built-up,Non_Water,Non_Wetland,Forest
390,Built-up,Built-up,Water,Non_Wetland,Grassland
391,Built-up,Built-up,Water,Non_Wetland,Bareland
392,Built-up,Built-up,Water,Non_Wetland,Built-up
393,Built-up,Built-up,Water,Non_Wetland,Water
394,Built-up,Built-up,Water,Non_Wetland,Forest
395,Built-up,Water,Water,Water,Forest
396,Built-up,Forest,NULL,Non_Wetland,NULL
397,Built-up,Forest,NULL,Non_Wetland,Grassland
398,Built-up,Forest,NULL,Non_Wetland,Wetland
399,Built-up,Forest,NULL,Non_Wetland,Bareland
400,Built-up,Forest,NULL,Non_Wetland,Built-up
401,Built-up,Forest,NULL,Non_Wetland,Forest
402,Built-up,Forest,Non_Water,Non_Wetland,Grassland
403,Built-up,Forest,Non_Water,Non_Wetland,Built-up
404,Built-up,Forest,Non_Water,Non_Wetland,Forest
405,Built-up,Forest,Water,Non_Wetland,Grassland
406,Built-up,Forest,Water,Non_Wetland,Forest
407,Water,NULL,NULL,Non_Wetland,NULL
408,Water,NULL,NULL,Non_Wetland,Grassland
409,Water,NULL,NULL,Non_Wetland,Wetland
410,Water,NULL,NULL,Non_Wetland,Water
411,Water,NULL,NULL,Non_Wetland,Forest
412,Water,NULL,Non_Water,Non_Wetland,NULL
413,Water,NULL,Non_Water,Non_Wetland,Grassland
414,Water,NULL,Non_Water,Non_Wetland,Wetland
415,Water,NULL,Non_Water,Non_Wetland,Water
416,Water,NULL,Non_Water,Non_Wetland,Forest
417,Water,NULL,Water,Non_Wetland,NULL
418,Water,NULL,Water,Non_Wetland,Grassland
419,Water,NULL,Water,Non_Wetland,Wetland
420,Water,NULL,Water,Non_Wetland,Water
421,Water,NULL,Water,Non_Wetland,Forest
422,Water,Shrubland,NULL,Non_Wetland,Grassland
423,Water,Shrubland,NULL,Non_Wetland,Wetland
424,Water,Shrubland,NULL,Non_Wetland,Water
425,Water,Shrubland,NULL,Non_Wetland,Forest
426,Water,Shrubland,Non_Water,Non_Wetland,Grassland
427,Water,Shrubland,Non_Water,Non_Wetland,Water
428,Water,Shrubland,Non_Water,Non_Wetland,Forest
429,Water,Shrubland,Water,Non_Wetland,Grassland
430,Water,Shrubland,Water,Non_Wetland,Wetland
431,Water,Shrubland,Water,Non_Wetland,Water
432,Water,Shrubland,Water,Non_Wetland,Forest
433,Water,Grassland,NULL,Non_Wetland,Grassland
434,Water,Grassland,NULL,Non_Wetland,Bareland
435,Water,Grassland,NULL,Non_Wetland,Water
436,Water,Grassland,NULL,Non_Wetland,Forest
437,Water,Grassland,Non_Water,Non_Wetland,Grassland
438,Water,Grassland,Non_Water,Non_Wetland,Bareland
439,Water,Grassland,Non_Water,Non_Wetland,Water
440,Water,Grassland,Non_Water,Non_Wetland,Forest
441,Water,Grassland,Water,Non_Wetland,Grassland
442,Water,Grassland,Water,Non_Wetland,Wetland
443,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
444,Water,Grassland,Water,Non_Wetland,Bareland
445,Water,Grassland,Water,Non_Wetland,Water
446,Water,Grassland,Water,Non_Wetland,Forest
447,Water,Cropland,NULL,Non_Wetland,Grassland
448,Water,Cropland,NULL,Non_Wetland,Wetland
449,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
450,Water,Cropland,NULL,Non_Wetland,Bareland
451,Water,Cropland,NULL,Non_Wetland,Built-up
452,Water,Cropland,NULL,Non_Wetland,Water
453,Water,Cropland,NULL,Non_Wetland,Forest
454,Water,Cropland,Non_Water,Non_Wetland,Grassland
455,Water,Cropland,Non_Water,Non_Wetland,Wetland
456,Water,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
457,Water,Cropland,Non_Water,Non_Wetland,Water
458,Water,Cropland,Non_Water,Non_Wetland,Forest
459,Water,Cropland,Water,Non_Wetland,Grassland
460,Water,Cropland,Water,Non_Wetland,Wetland
461,Water,Cropland,Water,Non_Wetland,Lichens_and_Mosses
462,Water,Cropland,Water,Non_Wetland,Bareland
463,Water,Cropland,Water,Non_Wetland,Water
464,Water,Cropland,Water,Non_Wetland,Forest
465,Water,Wetland,NULL,Wetland,NULL
466,Water,Wetland,NULL,Wetland,Grassland
467,Water,Wetland,NULL,Wetland,Wetland
468,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
469,Water,Wetland,NULL,Wetland,Bareland
470,Water,Wetland,NULL,Wetland,Built-up
471,Water,Wetland,NULL,Wetland,Water
472,Water,Wetland,NULL,Wetland,Forest
473,Water,Wetland,Non_Water,Wetland,NULL
474,Water,Wetland,Non_Water,Wetland,Grassland
475,Water,Wetland,Non_Water,Wetland,Wetland
476,Water,Wetland,Non_Water,Wetland,Bareland
477,Water,Wetland,Non_Water,Wetland,Built-up
478,Water,Wetland,Non_Water,Wetland,Water
479,Water,Wetland,Non_Water,Wetland,Forest
480,Water,Wetland,Water,Wetland,NULL
481,Water,Wetland,Water,Wetland,Grassland
482,Water,Wetland,Water,Wetland,Wetland
483,Water,Wetland,Water,Wetland,Lichens_and_Mosses
484,Water,Wetland,Water,Wetland,Bareland
485,Water,Wetland,Water,Wetland,Built-up
486,Water,Wetland,Water,Wetland,Water
487,Water,Wetland,Water,Wetland,Forest
488,Water,Bareland,NULL,Non_Wetland,NULL
489,Water,Bareland,NULL,Non_Wetland,Grassland
490,Water,Bareland,NULL,Non_Wetland,Wetland
491,Water,Bareland,NULL,Non_Wetland,Bareland
492,Water,Bareland,NULL,Non_Wetland,Built-up
493,Water,Bareland,NULL,Non_Wetland,Water
494,Water,Bareland,NULL,Non_Wetland,Forest
495,Water,Bareland,Non_Water,Non_Wetland,Grassland
496,Water,Bareland,Non_Water,Non_Wetland,Wetland
497,Water,Bareland,Non_Water,Non_Wetland,Water
498,Water,Bareland,Non_Water,Non_Wetland,Forest
499,Water,Bareland,Water,Non_Wetland,Grassland
500,Water,Bareland,Water,Non_Wetland,Wetland
