Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVQ_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVQ_M_R,SIBERIA_2024_WorldCover_2021_45WVQ_M_R
171,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
172,Cropland,Bareland,NULL,Non_Wetland,Bareland
173,Cropland,Bareland,NULL,Non_Wetland,Water
174,Cropland,Bareland,NULL,Non_Wetland,Forest
175,Cropland,Bareland,Water,Non_Wetland,Bareland
176,Cropland,Bareland,Water,Non_Wetland,Water
177,Cropland,Bareland,Water,Non_Wetland,Forest
178,Cropland,Built-up,NULL,Non_Wetland,Grassland
179,Cropland,Built-up,NULL,Non_Wetland,Wetland
180,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
181,Cropland,Built-up,NULL,Non_Wetland,Bareland
182,Cropland,Built-up,NULL,Non_Wetland,Forest
183,Cropland,Built-up,Water,Non_Wetland,Grassland
184,Cropland,Forest,NULL,Non_Wetland,Grassland
185,Cropland,Forest,NULL,Non_Wetland,Forest
186,Wetland,NULL,NULL,Non_Wetland,Grassland
187,Wetland,NULL,NULL,Non_Wetland,Wetland
188,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
189,Wetland,NULL,NULL,Non_Wetland,Bareland
190,Wetland,NULL,NULL,Non_Wetland,Water
191,Wetland,NULL,NULL,Non_Wetland,Forest
192,Wetland,NULL,Non_Water,Non_Wetland,Grassland
193,Wetland,NULL,Non_Water,Non_Wetland,Wetland
194,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
195,Wetland,NULL,Non_Water,Non_Wetland,Bareland
196,Wetland,NULL,Non_Water,Non_Wetland,Water
197,Wetland,NULL,Non_Water,Non_Wetland,Forest
198,Wetland,NULL,Water,Non_Wetland,Grassland
199,Wetland,NULL,Water,Non_Wetland,Wetland
200,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,NULL,Water,Non_Wetland,Bareland
202,Wetland,NULL,Water,Non_Wetland,Water
203,Wetland,NULL,Water,Non_Wetland,Forest
204,Wetland,Shrubland,NULL,Non_Wetland,Grassland
205,Wetland,Shrubland,NULL,Non_Wetland,Wetland
206,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
207,Wetland,Shrubland,NULL,Non_Wetland,Bareland
208,Wetland,Shrubland,NULL,Non_Wetland,Water
209,Wetland,Shrubland,NULL,Non_Wetland,Forest
210,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
211,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
212,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
213,Wetland,Shrubland,Non_Water,Non_Wetland,Water
214,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
215,Wetland,Shrubland,Water,Non_Wetland,Grassland
216,Wetland,Shrubland,Water,Non_Wetland,Wetland
217,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
218,Wetland,Shrubland,Water,Non_Wetland,Bareland
219,Wetland,Shrubland,Water,Non_Wetland,Water
220,Wetland,Shrubland,Water,Non_Wetland,Forest
221,Wetland,Grassland,NULL,Non_Wetland,Grassland
222,Wetland,Grassland,NULL,Non_Wetland,Wetland
223,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
224,Wetland,Grassland,NULL,Non_Wetland,Bareland
225,Wetland,Grassland,NULL,Non_Wetland,Water
226,Wetland,Grassland,NULL,Non_Wetland,Forest
227,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
228,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
229,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
230,Wetland,Grassland,Non_Water,Non_Wetland,Water
231,Wetland,Grassland,Non_Water,Non_Wetland,Forest
232,Wetland,Grassland,Water,Non_Wetland,Grassland
233,Wetland,Grassland,Water,Non_Wetland,Wetland
234,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
235,Wetland,Grassland,Water,Non_Wetland,Bareland
236,Wetland,Grassland,Water,Non_Wetland,Water
237,Wetland,Grassland,Water,Non_Wetland,Forest
238,Wetland,Wetland,NULL,Wetland,Grassland
239,Wetland,Wetland,NULL,Wetland,Wetland
240,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
241,Wetland,Wetland,NULL,Wetland,Bareland
242,Wetland,Wetland,NULL,Wetland,Water
243,Wetland,Wetland,NULL,Wetland,Forest
244,Wetland,Wetland,Non_Water,Wetland,Grassland
245,Wetland,Wetland,Non_Water,Wetland,Wetland
246,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
247,Wetland,Wetland,Non_Water,Wetland,Bareland
248,Wetland,Wetland,Non_Water,Wetland,Water
249,Wetland,Wetland,Non_Water,Wetland,Forest
250,Wetland,Wetland,Water,Wetland,Grassland
251,Wetland,Wetland,Water,Wetland,Wetland
252,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,Water,Wetland,Bareland
254,Wetland,Wetland,Water,Wetland,Water
255,Wetland,Wetland,Water,Wetland,Forest
256,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
257,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
258,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
260,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
261,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
262,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
263,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
264,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
265,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
266,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
267,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
268,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
269,Wetland,Bareland,NULL,Non_Wetland,Grassland
270,Wetland,Bareland,NULL,Non_Wetland,Wetland
271,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
272,Wetland,Bareland,NULL,Non_Wetland,Bareland
273,Wetland,Bareland,NULL,Non_Wetland,Water
274,Wetland,Bareland,NULL,Non_Wetland,Forest
275,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
276,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
277,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
278,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
279,Wetland,Bareland,Non_Water,Non_Wetland,Water
280,Wetland,Bareland,Non_Water,Non_Wetland,Forest
281,Wetland,Bareland,Water,Non_Wetland,Grassland
282,Wetland,Bareland,Water,Non_Wetland,Wetland
283,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
284,Wetland,Bareland,Water,Non_Wetland,Bareland
285,Wetland,Bareland,Water,Non_Wetland,Water
286,Wetland,Bareland,Water,Non_Wetland,Forest
287,Wetland,Built-up,NULL,Non_Wetland,Grassland
288,Wetland,Built-up,NULL,Non_Wetland,Wetland
289,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
290,Wetland,Built-up,NULL,Non_Wetland,Bareland
291,Wetland,Built-up,NULL,Non_Wetland,Water
292,Wetland,Built-up,NULL,Non_Wetland,Forest
293,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
294,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
295,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
296,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
297,Wetland,Built-up,Non_Water,Non_Wetland,Water
298,Wetland,Built-up,Non_Water,Non_Wetland,Forest
299,Wetland,Built-up,Water,Non_Wetland,Grassland
300,Wetland,Built-up,Water,Non_Wetland,Wetland
301,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
302,Wetland,Built-up,Water,Non_Wetland,Bareland
303,Wetland,Built-up,Water,Non_Wetland,Water
304,Wetland,Built-up,Water,Non_Wetland,Forest
305,Wetland,Water,NULL,Water,Grassland
306,Wetland,Water,NULL,Water,Wetland
307,Wetland,Water,NULL,Water,Lichens_and_Mosses
308,Wetland,Water,NULL,Water,Bareland
309,Wetland,Water,NULL,Water,Water
310,Wetland,Water,NULL,Water,Forest
311,Wetland,Water,Non_Water,Water,Grassland
312,Wetland,Water,Non_Water,Water,Wetland
313,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
314,Wetland,Water,Non_Water,Water,Bareland
315,Wetland,Water,Non_Water,Water,Water
316,Wetland,Water,Non_Water,Water,Forest
317,Wetland,Water,Water,Water,Grassland
318,Wetland,Water,Water,Water,Wetland
319,Wetland,Water,Water,Water,Lichens_and_Mosses
320,Wetland,Water,Water,Water,Bareland
321,Wetland,Water,Water,Water,Water
322,Wetland,Water,Water,Water,Forest
323,Wetland,Forest,NULL,Non_Wetland,Grassland
324,Wetland,Forest,NULL,Non_Wetland,Wetland
325,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
326,Wetland,Forest,NULL,Non_Wetland,Bareland
327,Wetland,Forest,NULL,Non_Wetland,Water
328,Wetland,Forest,NULL,Non_Wetland,Forest
329,Wetland,Forest,Non_Water,Non_Wetland,Grassland
330,Wetland,Forest,Non_Water,Non_Wetland,Wetland
331,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
332,Wetland,Forest,Non_Water,Non_Wetland,Water
333,Wetland,Forest,Non_Water,Non_Wetland,Forest
334,Wetland,Forest,Water,Non_Wetland,Grassland
335,Wetland,Forest,Water,Non_Wetland,Wetland
336,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
337,Wetland,Forest,Water,Non_Wetland,Bareland
338,Wetland,Forest,Water,Non_Wetland,Water
339,Wetland,Forest,Water,Non_Wetland,Forest
340,Bareland,NULL,NULL,Non_Wetland,Grassland
341,Bareland,NULL,NULL,Non_Wetland,Wetland
342,Bareland,NULL,NULL,Non_Wetland,Water
343,Bareland,NULL,NULL,Non_Wetland,Forest
344,Bareland,NULL,Non_Water,Non_Wetland,Water
345,Bareland,NULL,Water,Non_Wetland,Water
346,Bareland,Shrubland,NULL,Non_Wetland,Wetland
347,Bareland,Shrubland,NULL,Non_Wetland,Water
348,Bareland,Shrubland,NULL,Non_Wetland,Forest
349,Bareland,Shrubland,Water,Non_Wetland,Wetland
350,Bareland,Shrubland,Water,Non_Wetland,Water
351,Bareland,Grassland,NULL,Non_Wetland,Grassland
352,Bareland,Grassland,Water,Non_Wetland,Water
353,Bareland,Wetland,NULL,Wetland,Grassland
354,Bareland,Wetland,NULL,Wetland,Wetland
355,Bareland,Wetland,NULL,Wetland,Bareland
356,Bareland,Wetland,NULL,Wetland,Water
357,Bareland,Wetland,NULL,Wetland,Forest
358,Bareland,Wetland,Non_Water,Wetland,Wetland
359,Bareland,Wetland,Non_Water,Wetland,Water
360,Bareland,Wetland,Non_Water,Wetland,Forest
361,Bareland,Wetland,Water,Wetland,Grassland
362,Bareland,Wetland,Water,Wetland,Wetland
363,Bareland,Wetland,Water,Wetland,Bareland
364,Bareland,Wetland,Water,Wetland,Water
365,Bareland,Wetland,Water,Wetland,Forest
366,Bareland,Bareland,NULL,Non_Wetland,Grassland
367,Bareland,Bareland,NULL,Non_Wetland,Wetland
368,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
369,Bareland,Bareland,NULL,Non_Wetland,Bareland
370,Bareland,Bareland,NULL,Non_Wetland,Built-up
371,Bareland,Bareland,NULL,Non_Wetland,Water
372,Bareland,Bareland,NULL,Non_Wetland,Forest
373,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
374,Bareland,Bareland,Water,Non_Wetland,Grassland
375,Bareland,Bareland,Water,Non_Wetland,Wetland
376,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
377,Bareland,Bareland,Water,Non_Wetland,Bareland
378,Bareland,Bareland,Water,Non_Wetland,Built-up
379,Bareland,Bareland,Water,Non_Wetland,Water
380,Bareland,Bareland,Water,Non_Wetland,Forest
381,Bareland,Built-up,NULL,Non_Wetland,Grassland
382,Bareland,Built-up,NULL,Non_Wetland,Bareland
383,Bareland,Built-up,NULL,Non_Wetland,Built-up
384,Bareland,Built-up,NULL,Non_Wetland,Water
385,Bareland,Built-up,NULL,Non_Wetland,Forest
386,Bareland,Built-up,Water,Non_Wetland,Bareland
387,Bareland,Built-up,Water,Non_Wetland,Water
388,Bareland,Water,NULL,Water,Grassland
389,Bareland,Water,NULL,Water,Wetland
390,Bareland,Water,NULL,Water,Water
391,Bareland,Water,NULL,Water,Forest
392,Bareland,Water,Non_Water,Water,Water
393,Bareland,Water,Water,Water,Wetland
394,Bareland,Water,Water,Water,Bareland
395,Bareland,Water,Water,Water,Water
396,Bareland,Water,Water,Water,Forest
397,Bareland,Forest,NULL,Non_Wetland,Grassland
398,Bareland,Forest,NULL,Non_Wetland,Wetland
399,Bareland,Forest,NULL,Non_Wetland,Water
400,Bareland,Forest,NULL,Non_Wetland,Forest
401,Bareland,Forest,Non_Water,Non_Wetland,Forest
402,Bareland,Forest,Water,Non_Wetland,Wetland
403,Bareland,Forest,Water,Non_Wetland,Water
404,Bareland,Forest,Water,Non_Wetland,Forest
405,Built-up,NULL,NULL,Non_Wetland,Grassland
406,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
407,Built-up,NULL,NULL,Non_Wetland,Bareland
408,Built-up,NULL,NULL,Non_Wetland,Built-up
409,Built-up,NULL,NULL,Non_Wetland,Forest
410,Built-up,NULL,Non_Water,Non_Wetland,Forest
411,Built-up,NULL,Water,Non_Wetland,Forest
412,Built-up,Shrubland,NULL,Non_Wetland,Grassland
413,Built-up,Shrubland,NULL,Non_Wetland,Wetland
414,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
415,Built-up,Shrubland,NULL,Non_Wetland,Bareland
416,Built-up,Shrubland,NULL,Non_Wetland,Built-up
417,Built-up,Shrubland,NULL,Non_Wetland,Forest
418,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
419,Built-up,Shrubland,Water,Non_Wetland,Built-up
420,Built-up,Shrubland,Water,Non_Wetland,Forest
421,Built-up,Grassland,NULL,Non_Wetland,Grassland
422,Built-up,Grassland,NULL,Non_Wetland,Wetland
423,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
424,Built-up,Grassland,NULL,Non_Wetland,Bareland
425,Built-up,Grassland,NULL,Non_Wetland,Built-up
426,Built-up,Grassland,NULL,Non_Wetland,Forest
427,Built-up,Wetland,NULL,Wetland,Grassland
428,Built-up,Wetland,NULL,Wetland,Bareland
429,Built-up,Wetland,NULL,Wetland,Forest
430,Built-up,Wetland,Water,Wetland,Grassland
431,Built-up,Wetland,Water,Wetland,Wetland
432,Built-up,Wetland,Water,Wetland,Forest
433,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
434,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
435,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
436,Built-up,Bareland,NULL,Non_Wetland,Grassland
437,Built-up,Bareland,NULL,Non_Wetland,Wetland
438,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
439,Built-up,Bareland,NULL,Non_Wetland,Bareland
440,Built-up,Bareland,NULL,Non_Wetland,Built-up
441,Built-up,Bareland,NULL,Non_Wetland,Water
442,Built-up,Bareland,NULL,Non_Wetland,Forest
443,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
444,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
445,Built-up,Bareland,Non_Water,Non_Wetland,Water
446,Built-up,Bareland,Non_Water,Non_Wetland,Forest
447,Built-up,Bareland,Water,Non_Wetland,Grassland
448,Built-up,Bareland,Water,Non_Wetland,Wetland
449,Built-up,Bareland,Water,Non_Wetland,Bareland
450,Built-up,Bareland,Water,Non_Wetland,Built-up
451,Built-up,Bareland,Water,Non_Wetland,Water
452,Built-up,Bareland,Water,Non_Wetland,Forest
453,Built-up,Built-up,NULL,Non_Wetland,Grassland
454,Built-up,Built-up,NULL,Non_Wetland,Wetland
455,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
456,Built-up,Built-up,NULL,Non_Wetland,Bareland
457,Built-up,Built-up,NULL,Non_Wetland,Built-up
458,Built-up,Built-up,NULL,Non_Wetland,Water
459,Built-up,Built-up,NULL,Non_Wetland,Forest
460,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
461,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
462,Built-up,Built-up,Non_Water,Non_Wetland,Water
463,Built-up,Built-up,Non_Water,Non_Wetland,Forest
464,Built-up,Built-up,Water,Non_Wetland,Grassland
465,Built-up,Built-up,Water,Non_Wetland,Wetland
466,Built-up,Built-up,Water,Non_Wetland,Bareland
467,Built-up,Built-up,Water,Non_Wetland,Built-up
468,Built-up,Built-up,Water,Non_Wetland,Water
469,Built-up,Water,NULL,Water,Wetland
470,Built-up,Water,NULL,Water,Bareland
471,Built-up,Water,NULL,Water,Water
472,Built-up,Water,NULL,Water,Forest
473,Built-up,Water,Water,Water,Bareland
474,Built-up,Forest,NULL,Non_Wetland,Grassland
475,Built-up,Forest,NULL,Non_Wetland,Wetland
476,Built-up,Forest,NULL,Non_Wetland,Bareland
477,Built-up,Forest,NULL,Non_Wetland,Built-up
478,Built-up,Forest,NULL,Non_Wetland,Forest
479,Built-up,Forest,Non_Water,Non_Wetland,Forest
