Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFH_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFH_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFH_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFH_M_R,SIBERIA_2024_WorldCover_2021_43VFH_M_R
267,Wetland,Grassland,NULL,Non_Wetland,NULL
268,Wetland,Grassland,NULL,Non_Wetland,Grassland
269,Wetland,Grassland,NULL,Non_Wetland,Wetland
270,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
271,Wetland,Grassland,NULL,Non_Wetland,Bareland
272,Wetland,Grassland,NULL,Non_Wetland,Built-up
273,Wetland,Grassland,NULL,Non_Wetland,Water
274,Wetland,Grassland,NULL,Non_Wetland,Forest
275,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
276,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
277,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
278,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
279,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
280,Wetland,Grassland,Non_Water,Non_Wetland,Water
281,Wetland,Grassland,Non_Water,Non_Wetland,Forest
282,Wetland,Grassland,Water,Non_Wetland,Grassland
283,Wetland,Grassland,Water,Non_Wetland,Wetland
284,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
285,Wetland,Grassland,Water,Non_Wetland,Bareland
286,Wetland,Grassland,Water,Non_Wetland,Built-up
287,Wetland,Grassland,Water,Non_Wetland,Water
288,Wetland,Grassland,Water,Non_Wetland,Forest
289,Wetland,Cropland,NULL,Non_Wetland,Forest
290,Wetland,Wetland,NULL,Wetland,NULL
291,Wetland,Wetland,NULL,Wetland,Grassland
292,Wetland,Wetland,NULL,Wetland,Wetland
293,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
294,Wetland,Wetland,NULL,Wetland,Bareland
295,Wetland,Wetland,NULL,Wetland,Built-up
296,Wetland,Wetland,NULL,Wetland,Water
297,Wetland,Wetland,NULL,Wetland,Forest
298,Wetland,Wetland,Non_Water,Wetland,NULL
299,Wetland,Wetland,Non_Water,Wetland,Grassland
300,Wetland,Wetland,Non_Water,Wetland,Wetland
301,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
302,Wetland,Wetland,Non_Water,Wetland,Bareland
303,Wetland,Wetland,Non_Water,Wetland,Built-up
304,Wetland,Wetland,Non_Water,Wetland,Water
305,Wetland,Wetland,Non_Water,Wetland,Forest
306,Wetland,Wetland,Water,Wetland,NULL
307,Wetland,Wetland,Water,Wetland,Grassland
308,Wetland,Wetland,Water,Wetland,Wetland
309,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
310,Wetland,Wetland,Water,Wetland,Bareland
311,Wetland,Wetland,Water,Wetland,Built-up
312,Wetland,Wetland,Water,Wetland,Water
313,Wetland,Wetland,Water,Wetland,Forest
314,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
315,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
316,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
317,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
318,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
319,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
320,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
321,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
322,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
323,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
324,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
325,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
326,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
327,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
328,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
329,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
330,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
331,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
332,Wetland,Bareland,NULL,Non_Wetland,NULL
333,Wetland,Bareland,NULL,Non_Wetland,Grassland
334,Wetland,Bareland,NULL,Non_Wetland,Wetland
335,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
336,Wetland,Bareland,NULL,Non_Wetland,Bareland
337,Wetland,Bareland,NULL,Non_Wetland,Built-up
338,Wetland,Bareland,NULL,Non_Wetland,Water
339,Wetland,Bareland,NULL,Non_Wetland,Forest
340,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
341,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
342,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
343,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
344,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
345,Wetland,Bareland,Non_Water,Non_Wetland,Water
346,Wetland,Bareland,Non_Water,Non_Wetland,Forest
347,Wetland,Bareland,Water,Non_Wetland,NULL
348,Wetland,Bareland,Water,Non_Wetland,Grassland
349,Wetland,Bareland,Water,Non_Wetland,Wetland
350,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
351,Wetland,Bareland,Water,Non_Wetland,Bareland
352,Wetland,Bareland,Water,Non_Wetland,Built-up
353,Wetland,Bareland,Water,Non_Wetland,Water
354,Wetland,Bareland,Water,Non_Wetland,Forest
355,Wetland,Built-up,NULL,Non_Wetland,NULL
356,Wetland,Built-up,NULL,Non_Wetland,Grassland
357,Wetland,Built-up,NULL,Non_Wetland,Wetland
358,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
359,Wetland,Built-up,NULL,Non_Wetland,Bareland
360,Wetland,Built-up,NULL,Non_Wetland,Built-up
361,Wetland,Built-up,NULL,Non_Wetland,Water
362,Wetland,Built-up,NULL,Non_Wetland,Forest
363,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
364,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
365,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
366,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
367,Wetland,Built-up,Non_Water,Non_Wetland,Water
368,Wetland,Built-up,Non_Water,Non_Wetland,Forest
369,Wetland,Built-up,Water,Non_Wetland,Grassland
370,Wetland,Built-up,Water,Non_Wetland,Wetland
371,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
372,Wetland,Built-up,Water,Non_Wetland,Bareland
373,Wetland,Built-up,Water,Non_Wetland,Built-up
374,Wetland,Built-up,Water,Non_Wetland,Water
375,Wetland,Built-up,Water,Non_Wetland,Forest
376,Wetland,Water,NULL,Water,NULL
377,Wetland,Water,NULL,Water,Grassland
378,Wetland,Water,NULL,Water,Wetland
379,Wetland,Water,NULL,Water,Lichens_and_Mosses
380,Wetland,Water,NULL,Water,Bareland
381,Wetland,Water,NULL,Water,Built-up
382,Wetland,Water,NULL,Water,Water
383,Wetland,Water,NULL,Water,Forest
384,Wetland,Water,Non_Water,Water,NULL
385,Wetland,Water,Non_Water,Water,Grassland
386,Wetland,Water,Non_Water,Water,Wetland
387,Wetland,Water,Non_Water,Water,Bareland
388,Wetland,Water,Non_Water,Water,Water
389,Wetland,Water,Non_Water,Water,Forest
390,Wetland,Water,Water,Water,NULL
391,Wetland,Water,Water,Water,Grassland
392,Wetland,Water,Water,Water,Wetland
393,Wetland,Water,Water,Water,Lichens_and_Mosses
394,Wetland,Water,Water,Water,Bareland
395,Wetland,Water,Water,Water,Water
396,Wetland,Water,Water,Water,Forest
397,Wetland,Forest,NULL,Non_Wetland,NULL
398,Wetland,Forest,NULL,Non_Wetland,Grassland
399,Wetland,Forest,NULL,Non_Wetland,Wetland
400,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
401,Wetland,Forest,NULL,Non_Wetland,Bareland
402,Wetland,Forest,NULL,Non_Wetland,Built-up
403,Wetland,Forest,NULL,Non_Wetland,Water
404,Wetland,Forest,NULL,Non_Wetland,Forest
405,Wetland,Forest,Non_Water,Non_Wetland,NULL
406,Wetland,Forest,Non_Water,Non_Wetland,Grassland
407,Wetland,Forest,Non_Water,Non_Wetland,Wetland
408,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
409,Wetland,Forest,Non_Water,Non_Wetland,Bareland
410,Wetland,Forest,Non_Water,Non_Wetland,Built-up
411,Wetland,Forest,Non_Water,Non_Wetland,Water
412,Wetland,Forest,Non_Water,Non_Wetland,Forest
413,Wetland,Forest,Water,Non_Wetland,NULL
414,Wetland,Forest,Water,Non_Wetland,Grassland
415,Wetland,Forest,Water,Non_Wetland,Wetland
416,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
417,Wetland,Forest,Water,Non_Wetland,Bareland
418,Wetland,Forest,Water,Non_Wetland,Built-up
419,Wetland,Forest,Water,Non_Wetland,Water
420,Wetland,Forest,Water,Non_Wetland,Forest
421,Bareland,NULL,NULL,Non_Wetland,Forest
422,Bareland,NULL,Water,Non_Wetland,Water
423,Bareland,Shrubland,NULL,Non_Wetland,Grassland
424,Bareland,Shrubland,NULL,Non_Wetland,Wetland
425,Bareland,Shrubland,NULL,Non_Wetland,Bareland
426,Bareland,Shrubland,NULL,Non_Wetland,Built-up
427,Bareland,Shrubland,NULL,Non_Wetland,Forest
428,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
429,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
430,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
431,Bareland,Shrubland,Water,Non_Wetland,Grassland
432,Bareland,Grassland,NULL,Non_Wetland,Grassland
433,Bareland,Grassland,NULL,Non_Wetland,Bareland
434,Bareland,Grassland,NULL,Non_Wetland,Built-up
435,Bareland,Grassland,NULL,Non_Wetland,Forest
436,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
437,Bareland,Grassland,Non_Water,Non_Wetland,Forest
438,Bareland,Wetland,NULL,Wetland,NULL
439,Bareland,Wetland,NULL,Wetland,Grassland
440,Bareland,Wetland,NULL,Wetland,Wetland
441,Bareland,Wetland,NULL,Wetland,Bareland
442,Bareland,Wetland,NULL,Wetland,Built-up
443,Bareland,Wetland,NULL,Wetland,Water
444,Bareland,Wetland,NULL,Wetland,Forest
445,Bareland,Wetland,Non_Water,Wetland,Bareland
446,Bareland,Wetland,Water,Wetland,Grassland
447,Bareland,Wetland,Water,Wetland,Wetland
448,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
449,Bareland,Wetland,Water,Wetland,Bareland
450,Bareland,Wetland,Water,Wetland,Water
451,Bareland,Wetland,Water,Wetland,Forest
452,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
453,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
454,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
455,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
456,Bareland,Bareland,NULL,Non_Wetland,NULL
457,Bareland,Bareland,NULL,Non_Wetland,Grassland
458,Bareland,Bareland,NULL,Non_Wetland,Wetland
459,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
460,Bareland,Bareland,NULL,Non_Wetland,Bareland
461,Bareland,Bareland,NULL,Non_Wetland,Built-up
462,Bareland,Bareland,NULL,Non_Wetland,Water
463,Bareland,Bareland,NULL,Non_Wetland,Forest
464,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
465,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
466,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
467,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
468,Bareland,Bareland,Non_Water,Non_Wetland,Water
469,Bareland,Bareland,Non_Water,Non_Wetland,Forest
470,Bareland,Bareland,Water,Non_Wetland,Grassland
471,Bareland,Bareland,Water,Non_Wetland,Wetland
472,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
473,Bareland,Bareland,Water,Non_Wetland,Bareland
474,Bareland,Bareland,Water,Non_Wetland,Built-up
475,Bareland,Bareland,Water,Non_Wetland,Water
476,Bareland,Bareland,Water,Non_Wetland,Forest
477,Bareland,Built-up,NULL,Non_Wetland,Grassland
478,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
479,Bareland,Built-up,NULL,Non_Wetland,Bareland
480,Bareland,Built-up,NULL,Non_Wetland,Built-up
481,Bareland,Built-up,NULL,Non_Wetland,Water
482,Bareland,Built-up,NULL,Non_Wetland,Forest
