Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPJ_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPJ_M_R,SIBERIA_2024_WorldCover_2021_41VPJ_M_R
262,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
263,Wetland,Grassland,Non_Water,Non_Wetland,Water
264,Wetland,Grassland,Non_Water,Non_Wetland,Forest
265,Wetland,Grassland,Water,Non_Wetland,Grassland
266,Wetland,Grassland,Water,Non_Wetland,Wetland
267,Wetland,Cropland,NULL,Non_Wetland,NULL
268,Wetland,Cropland,NULL,Non_Wetland,Grassland
269,Wetland,Cropland,NULL,Non_Wetland,Wetland
270,Wetland,Cropland,NULL,Non_Wetland,Bareland
271,Wetland,Cropland,NULL,Non_Wetland,Water
272,Wetland,Cropland,NULL,Non_Wetland,Forest
273,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
274,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
275,Wetland,Cropland,Water,Non_Wetland,Grassland
276,Wetland,Wetland,NULL,Wetland,NULL
277,Wetland,Wetland,NULL,Wetland,Grassland
278,Wetland,Wetland,NULL,Wetland,Cropland
279,Wetland,Wetland,NULL,Wetland,Wetland
280,Wetland,Wetland,NULL,Wetland,Bareland
281,Wetland,Wetland,NULL,Wetland,Water
282,Wetland,Wetland,NULL,Wetland,Forest
283,Wetland,Wetland,Non_Water,Wetland,NULL
284,Wetland,Wetland,Non_Water,Wetland,Grassland
285,Wetland,Wetland,Non_Water,Wetland,Cropland
286,Wetland,Wetland,Non_Water,Wetland,Wetland
287,Wetland,Wetland,Non_Water,Wetland,Water
288,Wetland,Wetland,Non_Water,Wetland,Forest
289,Wetland,Wetland,Water,Wetland,NULL
290,Wetland,Wetland,Water,Wetland,Grassland
291,Wetland,Wetland,Water,Wetland,Wetland
292,Wetland,Wetland,Water,Wetland,Bareland
293,Wetland,Wetland,Water,Wetland,Water
294,Wetland,Wetland,Water,Wetland,Forest
295,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
296,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
297,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
298,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
299,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
300,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
301,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
302,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
303,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
304,Wetland,Bareland,NULL,Non_Wetland,NULL
305,Wetland,Bareland,NULL,Non_Wetland,Grassland
306,Wetland,Bareland,NULL,Non_Wetland,Wetland
307,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
308,Wetland,Bareland,NULL,Non_Wetland,Bareland
309,Wetland,Bareland,NULL,Non_Wetland,Built-up
310,Wetland,Bareland,NULL,Non_Wetland,Water
311,Wetland,Bareland,NULL,Non_Wetland,Forest
312,Wetland,Bareland,Non_Water,Non_Wetland,NULL
313,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
314,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
315,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
316,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
317,Wetland,Bareland,Non_Water,Non_Wetland,Water
318,Wetland,Bareland,Non_Water,Non_Wetland,Forest
319,Wetland,Bareland,Water,Non_Wetland,Grassland
320,Wetland,Bareland,Water,Non_Wetland,Wetland
321,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
322,Wetland,Bareland,Water,Non_Wetland,Bareland
323,Wetland,Bareland,Water,Non_Wetland,Water
324,Wetland,Bareland,Water,Non_Wetland,Forest
325,Wetland,Built-up,NULL,Non_Wetland,NULL
326,Wetland,Built-up,NULL,Non_Wetland,Grassland
327,Wetland,Built-up,NULL,Non_Wetland,Wetland
328,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
329,Wetland,Built-up,NULL,Non_Wetland,Bareland
330,Wetland,Built-up,NULL,Non_Wetland,Built-up
331,Wetland,Built-up,NULL,Non_Wetland,Forest
332,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
333,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
334,Wetland,Built-up,Non_Water,Non_Wetland,Forest
335,Wetland,Built-up,Water,Non_Wetland,Bareland
336,Wetland,Water,NULL,Water,NULL
337,Wetland,Water,NULL,Water,Grassland
338,Wetland,Water,NULL,Water,Wetland
339,Wetland,Water,NULL,Water,Water
340,Wetland,Water,NULL,Water,Forest
341,Wetland,Water,Non_Water,Water,NULL
342,Wetland,Water,Non_Water,Water,Grassland
343,Wetland,Water,Non_Water,Water,Wetland
344,Wetland,Water,Non_Water,Water,Water
345,Wetland,Water,Non_Water,Water,Forest
346,Wetland,Water,Water,Water,NULL
347,Wetland,Water,Water,Water,Grassland
348,Wetland,Water,Water,Water,Wetland
349,Wetland,Water,Water,Water,Water
350,Wetland,Water,Water,Water,Forest
351,Wetland,Forest,NULL,Non_Wetland,NULL
352,Wetland,Forest,NULL,Non_Wetland,Grassland
353,Wetland,Forest,NULL,Non_Wetland,Cropland
354,Wetland,Forest,NULL,Non_Wetland,Wetland
355,Wetland,Forest,NULL,Non_Wetland,Bareland
356,Wetland,Forest,NULL,Non_Wetland,Water
357,Wetland,Forest,NULL,Non_Wetland,Forest
358,Wetland,Forest,Non_Water,Non_Wetland,NULL
359,Wetland,Forest,Non_Water,Non_Wetland,Grassland
360,Wetland,Forest,Non_Water,Non_Wetland,Wetland
361,Wetland,Forest,Non_Water,Non_Wetland,Water
362,Wetland,Forest,Non_Water,Non_Wetland,Forest
363,Wetland,Forest,Water,Non_Wetland,NULL
364,Wetland,Forest,Water,Non_Wetland,Grassland
365,Wetland,Forest,Water,Non_Wetland,Wetland
366,Wetland,Forest,Water,Non_Wetland,Water
367,Wetland,Forest,Water,Non_Wetland,Forest
368,Bareland,NULL,NULL,Non_Wetland,Bareland
369,Bareland,NULL,NULL,Non_Wetland,Forest
370,Bareland,Shrubland,NULL,Non_Wetland,Grassland
371,Bareland,Shrubland,NULL,Non_Wetland,Bareland
372,Bareland,Shrubland,NULL,Non_Wetland,Built-up
373,Bareland,Shrubland,NULL,Non_Wetland,Forest
374,Bareland,Shrubland,Water,Non_Wetland,Water
375,Bareland,Grassland,NULL,Non_Wetland,Bareland
376,Bareland,Grassland,NULL,Non_Wetland,Forest
377,Bareland,Cropland,NULL,Non_Wetland,Grassland
378,Bareland,Cropland,NULL,Non_Wetland,Bareland
379,Bareland,Cropland,NULL,Non_Wetland,Built-up
380,Bareland,Cropland,NULL,Non_Wetland,Forest
381,Bareland,Wetland,NULL,Wetland,NULL
382,Bareland,Wetland,NULL,Wetland,Grassland
383,Bareland,Wetland,NULL,Wetland,Bareland
384,Bareland,Wetland,NULL,Wetland,Built-up
385,Bareland,Wetland,NULL,Wetland,Water
386,Bareland,Wetland,NULL,Wetland,Forest
387,Bareland,Wetland,Non_Water,Wetland,Wetland
388,Bareland,Wetland,Water,Wetland,Bareland
389,Bareland,Wetland,Water,Wetland,Water
390,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
391,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
392,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
393,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
394,Bareland,Bareland,NULL,Non_Wetland,NULL
395,Bareland,Bareland,NULL,Non_Wetland,Grassland
396,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
397,Bareland,Bareland,NULL,Non_Wetland,Bareland
398,Bareland,Bareland,NULL,Non_Wetland,Built-up
399,Bareland,Bareland,NULL,Non_Wetland,Water
400,Bareland,Bareland,NULL,Non_Wetland,Forest
401,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
402,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
403,Bareland,Bareland,Water,Non_Wetland,Bareland
404,Bareland,Bareland,Water,Non_Wetland,Water
405,Bareland,Built-up,NULL,Non_Wetland,Grassland
406,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
407,Bareland,Built-up,NULL,Non_Wetland,Bareland
408,Bareland,Built-up,NULL,Non_Wetland,Built-up
409,Bareland,Built-up,NULL,Non_Wetland,Water
410,Bareland,Built-up,NULL,Non_Wetland,Forest
411,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
412,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
413,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
414,Bareland,Built-up,Non_Water,Non_Wetland,Forest
415,Bareland,Built-up,Water,Non_Wetland,Grassland
416,Bareland,Built-up,Water,Non_Wetland,Bareland
417,Bareland,Built-up,Water,Non_Wetland,Built-up
418,Bareland,Built-up,Water,Non_Wetland,Water
419,Bareland,Water,NULL,Water,Grassland
420,Bareland,Water,NULL,Water,Bareland
421,Bareland,Water,NULL,Water,Water
422,Bareland,Water,Water,Water,Bareland
423,Bareland,Water,Water,Water,Water
424,Bareland,Forest,NULL,Non_Wetland,NULL
425,Bareland,Forest,NULL,Non_Wetland,Grassland
426,Bareland,Forest,NULL,Non_Wetland,Bareland
427,Bareland,Forest,NULL,Non_Wetland,Built-up
428,Bareland,Forest,NULL,Non_Wetland,Water
429,Bareland,Forest,NULL,Non_Wetland,Forest
430,Built-up,NULL,NULL,Non_Wetland,Grassland
431,Built-up,NULL,NULL,Non_Wetland,Wetland
432,Built-up,NULL,NULL,Non_Wetland,Bareland
433,Built-up,NULL,NULL,Non_Wetland,Built-up
434,Built-up,NULL,NULL,Non_Wetland,Water
435,Built-up,NULL,NULL,Non_Wetland,Forest
436,Built-up,NULL,Water,Non_Wetland,Forest
437,Built-up,Shrubland,NULL,Non_Wetland,Grassland
438,Built-up,Shrubland,NULL,Non_Wetland,Cropland
439,Built-up,Shrubland,NULL,Non_Wetland,Wetland
440,Built-up,Shrubland,NULL,Non_Wetland,Bareland
441,Built-up,Shrubland,NULL,Non_Wetland,Built-up
442,Built-up,Shrubland,NULL,Non_Wetland,Forest
443,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
444,Built-up,Shrubland,Non_Water,Non_Wetland,Water
445,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
446,Built-up,Grassland,NULL,Non_Wetland,Grassland
447,Built-up,Grassland,NULL,Non_Wetland,Cropland
448,Built-up,Grassland,NULL,Non_Wetland,Bareland
449,Built-up,Grassland,NULL,Non_Wetland,Built-up
450,Built-up,Grassland,NULL,Non_Wetland,Forest
451,Built-up,Grassland,Water,Non_Wetland,Grassland
452,Built-up,Cropland,NULL,Non_Wetland,NULL
453,Built-up,Cropland,NULL,Non_Wetland,Grassland
454,Built-up,Cropland,NULL,Non_Wetland,Cropland
455,Built-up,Cropland,NULL,Non_Wetland,Wetland
456,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
457,Built-up,Cropland,NULL,Non_Wetland,Bareland
458,Built-up,Cropland,NULL,Non_Wetland,Built-up
459,Built-up,Cropland,NULL,Non_Wetland,Forest
460,Built-up,Cropland,Non_Water,Non_Wetland,Forest
461,Built-up,Wetland,NULL,Wetland,NULL
462,Built-up,Wetland,NULL,Wetland,Grassland
463,Built-up,Wetland,NULL,Wetland,Wetland
464,Built-up,Wetland,NULL,Wetland,Bareland
465,Built-up,Wetland,NULL,Wetland,Built-up
466,Built-up,Wetland,NULL,Wetland,Water
467,Built-up,Wetland,NULL,Wetland,Forest
468,Built-up,Wetland,Non_Water,Wetland,Grassland
469,Built-up,Wetland,Non_Water,Wetland,Water
470,Built-up,Wetland,Non_Water,Wetland,Forest
471,Built-up,Wetland,Water,Wetland,Wetland
472,Built-up,Wetland,Water,Wetland,Bareland
473,Built-up,Wetland,Water,Wetland,Water
474,Built-up,Wetland,Water,Wetland,Forest
475,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
476,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
477,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
478,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
479,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
480,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
481,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
