Value,SIBERIA_2024_ESA_CALU_2024_44WND_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WND_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WND_M_R,SIBERIA_2024_GSW_Yearly_2021_44WND_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WND_M_R,SIBERIA_2024_WorldCover_2021_44WND_M_R
61,NULL,NULL,Wetland,Water,NULL,Wetland
62,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
63,NULL,NULL,Wetland,Water,NULL,Bareland
64,NULL,NULL,Wetland,Water,NULL,Water
65,NULL,NULL,Wetland,Water,NULL,Forest
66,NULL,NULL,Wetland,Water,Wetland,Grassland
67,NULL,NULL,Wetland,Water,Wetland,Wetland
68,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
69,NULL,NULL,Wetland,Water,Wetland,Bareland
70,NULL,NULL,Wetland,Water,Wetland,Water
71,NULL,NULL,Wetland,Water,Wetland,Forest
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
78,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
83,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
84,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
85,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
86,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
88,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Water
93,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
100,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
109,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Water
111,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
118,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
119,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
120,NULL,NULL,Built-up,Water,Non_Wetland,Water
121,NULL,NULL,Water,NULL,NULL,Grassland
122,NULL,NULL,Water,NULL,NULL,Wetland
123,NULL,NULL,Water,NULL,Water,Grassland
124,NULL,NULL,Water,NULL,Water,Wetland
125,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
126,NULL,NULL,Water,NULL,Water,Bareland
127,NULL,NULL,Water,NULL,Water,Water
128,NULL,NULL,Water,NULL,Water,Forest
129,NULL,NULL,Water,Non_Water,Water,Grassland
130,NULL,NULL,Water,Non_Water,Water,Wetland
131,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
132,NULL,NULL,Water,Non_Water,Water,Bareland
133,NULL,NULL,Water,Non_Water,Water,Water
134,NULL,NULL,Water,Non_Water,Water,Forest
135,NULL,NULL,Water,Water,NULL,Grassland
136,NULL,NULL,Water,Water,NULL,Wetland
137,NULL,NULL,Water,Water,NULL,Lichens_and_Mosses
138,NULL,NULL,Water,Water,NULL,Water
139,NULL,NULL,Water,Water,Water,Grassland
140,NULL,NULL,Water,Water,Water,Wetland
141,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
142,NULL,NULL,Water,Water,Water,Bareland
143,NULL,NULL,Water,Water,Water,Water
144,NULL,NULL,Water,Water,Water,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
147,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,NULL,Forest,NULL,Non_Wetland,Water
149,NULL,NULL,Forest,NULL,Non_Wetland,Forest
150,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
151,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
152,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
153,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
154,NULL,NULL,Forest,Water,Non_Wetland,Grassland
155,NULL,NULL,Forest,Water,Non_Wetland,Wetland
156,NULL,NULL,Forest,Water,Non_Wetland,Water
157,NULL,NULL,Forest,Water,Non_Wetland,Forest
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
159,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
161,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
162,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
164,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
165,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
166,NULL,Cropland,Wetland,NULL,Wetland,Wetland
167,NULL,Cropland,Wetland,Non_Water,NULL,Wetland
168,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
169,NULL,Cropland,Wetland,Non_Water,Wetland,Water
170,NULL,Cropland,Wetland,Water,NULL,Wetland
171,NULL,Cropland,Wetland,Water,NULL,Bareland
172,NULL,Cropland,Wetland,Water,NULL,Water
173,NULL,Cropland,Wetland,Water,Wetland,Wetland
174,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
175,NULL,Cropland,Built-up,Water,Non_Wetland,Wetland
176,NULL,Cropland,Water,NULL,Water,Wetland
177,NULL,Cropland,Water,NULL,Water,Water
178,NULL,Cropland,Water,Non_Water,Water,Wetland
179,NULL,Cropland,Water,Water,Water,Wetland
180,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
181,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
182,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
183,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
184,NULL,Wetland,NULL,NULL,Non_Wetland,Water
185,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
186,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
187,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
188,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
189,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
190,NULL,Wetland,NULL,Water,Non_Wetland,Water
191,NULL,Wetland,NULL,Water,Non_Wetland,Forest
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
197,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
198,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
199,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
200,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
201,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
202,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
203,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
204,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
205,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
206,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
207,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
208,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
209,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
210,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
211,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
212,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
213,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
214,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
215,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
216,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
217,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
218,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
219,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
220,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
221,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
222,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
223,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
224,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
225,NULL,Wetland,Grassland,Water,Non_Wetland,Water
226,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
227,NULL,Wetland,Wetland,NULL,NULL,Grassland
228,NULL,Wetland,Wetland,NULL,NULL,Wetland
229,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
230,NULL,Wetland,Wetland,NULL,NULL,Bareland
231,NULL,Wetland,Wetland,NULL,NULL,Water
232,NULL,Wetland,Wetland,NULL,NULL,Forest
233,NULL,Wetland,Wetland,NULL,Wetland,Grassland
234,NULL,Wetland,Wetland,NULL,Wetland,Wetland
235,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
236,NULL,Wetland,Wetland,NULL,Wetland,Bareland
237,NULL,Wetland,Wetland,NULL,Wetland,Built-up
238,NULL,Wetland,Wetland,NULL,Wetland,Water
239,NULL,Wetland,Wetland,NULL,Wetland,Forest
240,NULL,Wetland,Wetland,Non_Water,NULL,Grassland
241,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
242,NULL,Wetland,Wetland,Non_Water,NULL,Lichens_and_Mosses
243,NULL,Wetland,Wetland,Non_Water,NULL,Bareland
244,NULL,Wetland,Wetland,Non_Water,NULL,Water
245,NULL,Wetland,Wetland,Non_Water,NULL,Forest
246,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
247,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
248,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
249,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
250,NULL,Wetland,Wetland,Non_Water,Wetland,Water
251,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
252,NULL,Wetland,Wetland,Water,NULL,Grassland
253,NULL,Wetland,Wetland,Water,NULL,Wetland
254,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
255,NULL,Wetland,Wetland,Water,NULL,Bareland
256,NULL,Wetland,Wetland,Water,NULL,Water
257,NULL,Wetland,Wetland,Water,NULL,Forest
258,NULL,Wetland,Wetland,Water,Wetland,Grassland
259,NULL,Wetland,Wetland,Water,Wetland,Wetland
260,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
261,NULL,Wetland,Wetland,Water,Wetland,Bareland
262,NULL,Wetland,Wetland,Water,Wetland,Water
263,NULL,Wetland,Wetland,Water,Wetland,Forest
264,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
265,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
266,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
267,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
268,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
269,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
270,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
271,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
272,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
273,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
274,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
275,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
276,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
277,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
278,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
279,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
280,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
281,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
282,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
283,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
284,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
285,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
286,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
287,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
288,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
289,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
290,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
291,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
292,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
293,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
294,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
295,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
296,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
297,NULL,Wetland,Bareland,Water,Non_Wetland,Water
298,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
299,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
300,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
301,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
302,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
303,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
304,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
305,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
306,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
307,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
308,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
309,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
310,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
311,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
312,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
313,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
314,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
315,NULL,Wetland,Built-up,Water,Non_Wetland,Water
316,NULL,Wetland,Water,NULL,NULL,Grassland
317,NULL,Wetland,Water,NULL,NULL,Wetland
318,NULL,Wetland,Water,NULL,NULL,Water
319,NULL,Wetland,Water,NULL,NULL,Forest
320,NULL,Wetland,Water,NULL,Water,Grassland
321,NULL,Wetland,Water,NULL,Water,Wetland
322,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
323,NULL,Wetland,Water,NULL,Water,Bareland
324,NULL,Wetland,Water,NULL,Water,Water
325,NULL,Wetland,Water,NULL,Water,Forest
326,NULL,Wetland,Water,Non_Water,NULL,Wetland
327,NULL,Wetland,Water,Non_Water,NULL,Water
328,NULL,Wetland,Water,Non_Water,Water,Grassland
329,NULL,Wetland,Water,Non_Water,Water,Wetland
330,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
331,NULL,Wetland,Water,Non_Water,Water,Bareland
332,NULL,Wetland,Water,Non_Water,Water,Water
333,NULL,Wetland,Water,Non_Water,Water,Forest
334,NULL,Wetland,Water,Water,NULL,Grassland
335,NULL,Wetland,Water,Water,NULL,Wetland
336,NULL,Wetland,Water,Water,NULL,Lichens_and_Mosses
337,NULL,Wetland,Water,Water,NULL,Water
338,NULL,Wetland,Water,Water,NULL,Forest
339,NULL,Wetland,Water,Water,Water,Grassland
340,NULL,Wetland,Water,Water,Water,Wetland
341,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
342,NULL,Wetland,Water,Water,Water,Bareland
343,NULL,Wetland,Water,Water,Water,Water
344,NULL,Wetland,Water,Water,Water,Forest
345,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
346,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
347,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
348,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
349,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
350,NULL,Wetland,Forest,NULL,Non_Wetland,Water
351,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
352,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
353,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
354,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
355,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
356,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
357,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
358,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
359,NULL,Wetland,Forest,Water,Non_Wetland,Water
360,NULL,Wetland,Forest,Water,Non_Wetland,Forest
361,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
362,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
363,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
364,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
365,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
366,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
367,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
368,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
369,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
370,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
371,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
372,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
373,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
374,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
375,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
376,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
377,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
378,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
379,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
380,NULL,Bareland,Wetland,NULL,NULL,Bareland
381,NULL,Bareland,Wetland,NULL,NULL,Water
382,NULL,Bareland,Wetland,NULL,Wetland,Wetland
383,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
384,NULL,Bareland,Wetland,NULL,Wetland,Bareland
385,NULL,Bareland,Wetland,NULL,Wetland,Water
386,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
387,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
388,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
389,NULL,Bareland,Wetland,Non_Water,Wetland,Water
390,NULL,Bareland,Wetland,Water,NULL,Wetland
391,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
392,NULL,Bareland,Wetland,Water,NULL,Bareland
393,NULL,Bareland,Wetland,Water,NULL,Water
394,NULL,Bareland,Wetland,Water,Wetland,Wetland
395,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
396,NULL,Bareland,Wetland,Water,Wetland,Bareland
397,NULL,Bareland,Wetland,Water,Wetland,Water
398,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
399,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
400,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
401,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
402,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
403,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
404,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
405,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
406,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
407,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
408,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
409,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
410,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
411,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
412,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
413,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
414,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
415,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
416,NULL,Bareland,Bareland,Water,Non_Wetland,Water
417,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
418,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
