Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPK_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPK_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPK_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPK_M_R,SIBERIA_2024_WorldCover_2021_41VPK_M_R
265,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
266,Wetland,Cropland,Non_Water,Non_Wetland,Water
267,Wetland,Cropland,Non_Water,Non_Wetland,Forest
268,Wetland,Cropland,Water,Non_Wetland,Grassland
269,Wetland,Cropland,Water,Non_Wetland,Wetland
270,Wetland,Cropland,Water,Non_Wetland,Built-up
271,Wetland,Cropland,Water,Non_Wetland,Water
272,Wetland,Cropland,Water,Non_Wetland,Forest
273,Wetland,Wetland,NULL,Wetland,NULL
274,Wetland,Wetland,NULL,Wetland,Grassland
275,Wetland,Wetland,NULL,Wetland,Cropland
276,Wetland,Wetland,NULL,Wetland,Wetland
277,Wetland,Wetland,NULL,Wetland,Bareland
278,Wetland,Wetland,NULL,Wetland,Built-up
279,Wetland,Wetland,NULL,Wetland,Water
280,Wetland,Wetland,NULL,Wetland,Forest
281,Wetland,Wetland,Non_Water,Wetland,NULL
282,Wetland,Wetland,Non_Water,Wetland,Grassland
283,Wetland,Wetland,Non_Water,Wetland,Cropland
284,Wetland,Wetland,Non_Water,Wetland,Wetland
285,Wetland,Wetland,Non_Water,Wetland,Bareland
286,Wetland,Wetland,Non_Water,Wetland,Built-up
287,Wetland,Wetland,Non_Water,Wetland,Water
288,Wetland,Wetland,Non_Water,Wetland,Forest
289,Wetland,Wetland,Water,Wetland,NULL
290,Wetland,Wetland,Water,Wetland,Grassland
291,Wetland,Wetland,Water,Wetland,Cropland
292,Wetland,Wetland,Water,Wetland,Wetland
293,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
294,Wetland,Wetland,Water,Wetland,Bareland
295,Wetland,Wetland,Water,Wetland,Water
296,Wetland,Wetland,Water,Wetland,Forest
297,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
298,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
299,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
300,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
301,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
302,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
303,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
304,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
305,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
306,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
307,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
308,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
309,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
310,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
311,Wetland,Bareland,NULL,Non_Wetland,NULL
312,Wetland,Bareland,NULL,Non_Wetland,Grassland
313,Wetland,Bareland,NULL,Non_Wetland,Wetland
314,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
315,Wetland,Bareland,NULL,Non_Wetland,Bareland
316,Wetland,Bareland,NULL,Non_Wetland,Built-up
317,Wetland,Bareland,NULL,Non_Wetland,Water
318,Wetland,Bareland,NULL,Non_Wetland,Forest
319,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
320,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
321,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
322,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
323,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
324,Wetland,Bareland,Non_Water,Non_Wetland,Water
325,Wetland,Bareland,Non_Water,Non_Wetland,Forest
326,Wetland,Bareland,Water,Non_Wetland,Grassland
327,Wetland,Bareland,Water,Non_Wetland,Wetland
328,Wetland,Bareland,Water,Non_Wetland,Built-up
329,Wetland,Bareland,Water,Non_Wetland,Water
330,Wetland,Bareland,Water,Non_Wetland,Forest
331,Wetland,Built-up,NULL,Non_Wetland,Grassland
332,Wetland,Built-up,NULL,Non_Wetland,Wetland
333,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
334,Wetland,Built-up,NULL,Non_Wetland,Bareland
335,Wetland,Built-up,NULL,Non_Wetland,Built-up
336,Wetland,Built-up,NULL,Non_Wetland,Water
337,Wetland,Built-up,NULL,Non_Wetland,Forest
338,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
339,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
340,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
341,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
342,Wetland,Built-up,Non_Water,Non_Wetland,Water
343,Wetland,Built-up,Water,Non_Wetland,Grassland
344,Wetland,Built-up,Water,Non_Wetland,Bareland
345,Wetland,Built-up,Water,Non_Wetland,Water
346,Wetland,Built-up,Water,Non_Wetland,Forest
347,Wetland,Water,NULL,Water,NULL
348,Wetland,Water,NULL,Water,Grassland
349,Wetland,Water,NULL,Water,Wetland
350,Wetland,Water,NULL,Water,Water
351,Wetland,Water,NULL,Water,Forest
352,Wetland,Water,Non_Water,Water,Grassland
353,Wetland,Water,Non_Water,Water,Wetland
354,Wetland,Water,Non_Water,Water,Built-up
355,Wetland,Water,Non_Water,Water,Water
356,Wetland,Water,Non_Water,Water,Forest
357,Wetland,Water,Water,Water,NULL
358,Wetland,Water,Water,Water,Grassland
359,Wetland,Water,Water,Water,Wetland
360,Wetland,Water,Water,Water,Water
361,Wetland,Water,Water,Water,Forest
362,Wetland,Forest,NULL,Non_Wetland,NULL
363,Wetland,Forest,NULL,Non_Wetland,Grassland
364,Wetland,Forest,NULL,Non_Wetland,Wetland
365,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
366,Wetland,Forest,NULL,Non_Wetland,Bareland
367,Wetland,Forest,NULL,Non_Wetland,Built-up
368,Wetland,Forest,NULL,Non_Wetland,Water
369,Wetland,Forest,NULL,Non_Wetland,Forest
370,Wetland,Forest,Non_Water,Non_Wetland,Grassland
371,Wetland,Forest,Non_Water,Non_Wetland,Cropland
372,Wetland,Forest,Non_Water,Non_Wetland,Wetland
373,Wetland,Forest,Non_Water,Non_Wetland,Water
374,Wetland,Forest,Non_Water,Non_Wetland,Forest
375,Wetland,Forest,Water,Non_Wetland,NULL
376,Wetland,Forest,Water,Non_Wetland,Grassland
377,Wetland,Forest,Water,Non_Wetland,Wetland
378,Wetland,Forest,Water,Non_Wetland,Water
379,Wetland,Forest,Water,Non_Wetland,Forest
380,Bareland,NULL,NULL,Non_Wetland,Water
381,Bareland,NULL,NULL,Non_Wetland,Forest
382,Bareland,Shrubland,NULL,Non_Wetland,Grassland
383,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
384,Bareland,Shrubland,NULL,Non_Wetland,Bareland
385,Bareland,Shrubland,NULL,Non_Wetland,Built-up
386,Bareland,Shrubland,NULL,Non_Wetland,Forest
387,Bareland,Grassland,NULL,Non_Wetland,Grassland
388,Bareland,Grassland,NULL,Non_Wetland,Bareland
389,Bareland,Grassland,NULL,Non_Wetland,Built-up
390,Bareland,Grassland,NULL,Non_Wetland,Forest
391,Bareland,Cropland,NULL,Non_Wetland,Grassland
392,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
393,Bareland,Cropland,NULL,Non_Wetland,Bareland
394,Bareland,Cropland,NULL,Non_Wetland,Built-up
395,Bareland,Cropland,NULL,Non_Wetland,Forest
396,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
397,Bareland,Wetland,NULL,Wetland,Grassland
398,Bareland,Wetland,NULL,Wetland,Wetland
399,Bareland,Wetland,NULL,Wetland,Bareland
400,Bareland,Wetland,NULL,Wetland,Water
401,Bareland,Wetland,NULL,Wetland,Forest
402,Bareland,Wetland,Non_Water,Wetland,Wetland
403,Bareland,Wetland,Non_Water,Wetland,Bareland
404,Bareland,Wetland,Water,Wetland,Grassland
405,Bareland,Wetland,Water,Wetland,Bareland
406,Bareland,Wetland,Water,Wetland,Water
407,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
408,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
409,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
410,Bareland,Bareland,NULL,Non_Wetland,Grassland
411,Bareland,Bareland,NULL,Non_Wetland,Wetland
412,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
413,Bareland,Bareland,NULL,Non_Wetland,Bareland
414,Bareland,Bareland,NULL,Non_Wetland,Built-up
415,Bareland,Bareland,NULL,Non_Wetland,Water
416,Bareland,Bareland,NULL,Non_Wetland,Forest
417,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
418,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
419,Bareland,Bareland,Water,Non_Wetland,Grassland
420,Bareland,Bareland,Water,Non_Wetland,Bareland
421,Bareland,Built-up,NULL,Non_Wetland,Grassland
422,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
423,Bareland,Built-up,NULL,Non_Wetland,Bareland
424,Bareland,Built-up,NULL,Non_Wetland,Built-up
425,Bareland,Built-up,NULL,Non_Wetland,Water
426,Bareland,Built-up,NULL,Non_Wetland,Forest
427,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
428,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
429,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
430,Bareland,Built-up,Water,Non_Wetland,Bareland
431,Bareland,Built-up,Water,Non_Wetland,Built-up
432,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
433,Bareland,Water,Water,Water,Bareland
434,Bareland,Water,Water,Water,Water
435,Bareland,Water,Water,Water,Forest
436,Bareland,Forest,NULL,Non_Wetland,Grassland
437,Bareland,Forest,NULL,Non_Wetland,Wetland
438,Bareland,Forest,NULL,Non_Wetland,Bareland
439,Bareland,Forest,NULL,Non_Wetland,Water
440,Bareland,Forest,NULL,Non_Wetland,Forest
441,Built-up,NULL,NULL,Non_Wetland,Grassland
442,Built-up,NULL,NULL,Non_Wetland,Wetland
443,Built-up,NULL,NULL,Non_Wetland,Built-up
444,Built-up,NULL,NULL,Non_Wetland,Water
445,Built-up,NULL,NULL,Non_Wetland,Forest
446,Built-up,NULL,Water,Non_Wetland,Forest
447,Built-up,Shrubland,NULL,Non_Wetland,Grassland
448,Built-up,Shrubland,NULL,Non_Wetland,Cropland
449,Built-up,Shrubland,NULL,Non_Wetland,Wetland
450,Built-up,Shrubland,NULL,Non_Wetland,Bareland
451,Built-up,Shrubland,NULL,Non_Wetland,Built-up
452,Built-up,Shrubland,NULL,Non_Wetland,Forest
453,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
454,Built-up,Shrubland,Non_Water,Non_Wetland,Water
455,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
456,Built-up,Grassland,NULL,Non_Wetland,Grassland
457,Built-up,Grassland,NULL,Non_Wetland,Cropland
458,Built-up,Grassland,NULL,Non_Wetland,Wetland
459,Built-up,Grassland,NULL,Non_Wetland,Built-up
460,Built-up,Grassland,NULL,Non_Wetland,Forest
461,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
462,Built-up,Grassland,Water,Non_Wetland,Grassland
463,Built-up,Cropland,NULL,Non_Wetland,Grassland
464,Built-up,Cropland,NULL,Non_Wetland,Cropland
465,Built-up,Cropland,NULL,Non_Wetland,Wetland
466,Built-up,Cropland,NULL,Non_Wetland,Bareland
467,Built-up,Cropland,NULL,Non_Wetland,Built-up
468,Built-up,Cropland,NULL,Non_Wetland,Water
469,Built-up,Cropland,NULL,Non_Wetland,Forest
470,Built-up,Cropland,Non_Water,Non_Wetland,Forest
471,Built-up,Wetland,NULL,Wetland,Grassland
472,Built-up,Wetland,NULL,Wetland,Wetland
473,Built-up,Wetland,NULL,Wetland,Bareland
474,Built-up,Wetland,NULL,Wetland,Built-up
475,Built-up,Wetland,NULL,Wetland,Water
476,Built-up,Wetland,NULL,Wetland,Forest
477,Built-up,Wetland,Non_Water,Wetland,Grassland
478,Built-up,Wetland,Non_Water,Wetland,Wetland
479,Built-up,Wetland,Non_Water,Wetland,Built-up
480,Built-up,Wetland,Non_Water,Wetland,Water
481,Built-up,Wetland,Non_Water,Wetland,Forest
482,Built-up,Wetland,Water,Wetland,Grassland
483,Built-up,Wetland,Water,Wetland,Wetland
484,Built-up,Wetland,Water,Wetland,Bareland
