Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,SIBERIA_2024_WorldCover_2021_44VLM_M_R
261,Wetland,Built-up,NULL,Non_Wetland,Forest
262,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
263,Wetland,Built-up,Non_Water,Non_Wetland,Forest
264,Wetland,Built-up,Water,Non_Wetland,Grassland
265,Wetland,Built-up,Water,Non_Wetland,Wetland
266,Wetland,Built-up,Water,Non_Wetland,Water
267,Wetland,Built-up,Water,Non_Wetland,Forest
268,Wetland,Water,NULL,Water,NULL
269,Wetland,Water,NULL,Water,Grassland
270,Wetland,Water,NULL,Water,Wetland
271,Wetland,Water,NULL,Water,Lichens_and_Mosses
272,Wetland,Water,NULL,Water,Water
273,Wetland,Water,NULL,Water,Forest
274,Wetland,Water,Non_Water,Water,Grassland
275,Wetland,Water,Non_Water,Water,Wetland
276,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
277,Wetland,Water,Non_Water,Water,Water
278,Wetland,Water,Non_Water,Water,Forest
279,Wetland,Water,Water,Water,NULL
280,Wetland,Water,Water,Water,Grassland
281,Wetland,Water,Water,Water,Wetland
282,Wetland,Water,Water,Water,Lichens_and_Mosses
283,Wetland,Water,Water,Water,Bareland
284,Wetland,Water,Water,Water,Water
285,Wetland,Water,Water,Water,Forest
286,Wetland,Forest,NULL,Non_Wetland,NULL
287,Wetland,Forest,NULL,Non_Wetland,Grassland
288,Wetland,Forest,NULL,Non_Wetland,Wetland
289,Wetland,Forest,NULL,Non_Wetland,Water
290,Wetland,Forest,NULL,Non_Wetland,Forest
291,Wetland,Forest,Non_Water,Non_Wetland,NULL
292,Wetland,Forest,Non_Water,Non_Wetland,Grassland
293,Wetland,Forest,Non_Water,Non_Wetland,Wetland
294,Wetland,Forest,Non_Water,Non_Wetland,Water
295,Wetland,Forest,Non_Water,Non_Wetland,Forest
296,Wetland,Forest,Water,Non_Wetland,NULL
297,Wetland,Forest,Water,Non_Wetland,Grassland
298,Wetland,Forest,Water,Non_Wetland,Wetland
299,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
300,Wetland,Forest,Water,Non_Wetland,Water
301,Wetland,Forest,Water,Non_Wetland,Forest
302,Bareland,Shrubland,NULL,Non_Wetland,Forest
303,Bareland,Grassland,NULL,Non_Wetland,Bareland
304,Bareland,Cropland,NULL,Non_Wetland,Grassland
305,Bareland,Wetland,NULL,Wetland,Water
306,Bareland,Wetland,NULL,Wetland,Forest
307,Bareland,Wetland,Water,Wetland,Wetland
308,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
309,Bareland,Wetland,Water,Wetland,Bareland
310,Bareland,Wetland,Water,Wetland,Water
311,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
312,Bareland,Bareland,NULL,Non_Wetland,Grassland
313,Bareland,Bareland,NULL,Non_Wetland,Bareland
314,Bareland,Bareland,NULL,Non_Wetland,Forest
315,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
316,Bareland,Bareland,Water,Non_Wetland,Water
317,Bareland,Built-up,NULL,Non_Wetland,Grassland
318,Bareland,Built-up,NULL,Non_Wetland,Bareland
319,Bareland,Built-up,NULL,Non_Wetland,Built-up
320,Bareland,Built-up,NULL,Non_Wetland,Forest
321,Bareland,Water,Water,Water,Lichens_and_Mosses
322,Bareland,Water,Water,Water,Water
323,Bareland,Water,Water,Water,Forest
324,Bareland,Forest,NULL,Non_Wetland,Water
325,Bareland,Forest,NULL,Non_Wetland,Forest
326,Bareland,Forest,Non_Water,Non_Wetland,Forest
327,Built-up,NULL,NULL,Non_Wetland,Grassland
328,Built-up,NULL,NULL,Non_Wetland,Forest
329,Built-up,Shrubland,NULL,Non_Wetland,Grassland
330,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
331,Built-up,Shrubland,NULL,Non_Wetland,Built-up
332,Built-up,Shrubland,NULL,Non_Wetland,Forest
333,Built-up,Grassland,NULL,Non_Wetland,Grassland
334,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
335,Built-up,Grassland,NULL,Non_Wetland,Bareland
336,Built-up,Grassland,NULL,Non_Wetland,Built-up
337,Built-up,Grassland,NULL,Non_Wetland,Forest
338,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
339,Built-up,Grassland,Non_Water,Non_Wetland,Forest
340,Built-up,Grassland,Water,Non_Wetland,Grassland
341,Built-up,Cropland,NULL,Non_Wetland,Grassland
342,Built-up,Cropland,NULL,Non_Wetland,Bareland
343,Built-up,Cropland,NULL,Non_Wetland,Built-up
344,Built-up,Cropland,NULL,Non_Wetland,Forest
345,Built-up,Cropland,Water,Non_Wetland,Grassland
346,Built-up,Wetland,NULL,Wetland,Grassland
347,Built-up,Wetland,NULL,Wetland,Built-up
348,Built-up,Wetland,NULL,Wetland,Forest
349,Built-up,Wetland,Water,Wetland,Forest
350,Built-up,Bareland,NULL,Non_Wetland,Grassland
351,Built-up,Bareland,NULL,Non_Wetland,Wetland
352,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
353,Built-up,Bareland,NULL,Non_Wetland,Bareland
354,Built-up,Bareland,NULL,Non_Wetland,Built-up
355,Built-up,Bareland,NULL,Non_Wetland,Water
356,Built-up,Bareland,NULL,Non_Wetland,Forest
357,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
358,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
359,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
360,Built-up,Bareland,Non_Water,Non_Wetland,Forest
361,Built-up,Bareland,Water,Non_Wetland,Grassland
362,Built-up,Bareland,Water,Non_Wetland,Bareland
363,Built-up,Bareland,Water,Non_Wetland,Built-up
364,Built-up,Bareland,Water,Non_Wetland,Forest
365,Built-up,Built-up,NULL,Non_Wetland,Grassland
366,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
367,Built-up,Built-up,NULL,Non_Wetland,Bareland
368,Built-up,Built-up,NULL,Non_Wetland,Built-up
369,Built-up,Built-up,NULL,Non_Wetland,Forest
370,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
371,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
372,Built-up,Built-up,Non_Water,Non_Wetland,Forest
373,Built-up,Built-up,Water,Non_Wetland,Grassland
374,Built-up,Built-up,Water,Non_Wetland,Built-up
375,Built-up,Built-up,Water,Non_Wetland,Forest
376,Built-up,Water,NULL,Water,Forest
377,Built-up,Water,Water,Water,Grassland
378,Built-up,Water,Water,Water,Bareland
379,Built-up,Forest,NULL,Non_Wetland,NULL
380,Built-up,Forest,NULL,Non_Wetland,Grassland
381,Built-up,Forest,NULL,Non_Wetland,Bareland
382,Built-up,Forest,NULL,Non_Wetland,Built-up
383,Built-up,Forest,NULL,Non_Wetland,Water
384,Built-up,Forest,NULL,Non_Wetland,Forest
385,Built-up,Forest,Non_Water,Non_Wetland,Forest
386,Built-up,Forest,Water,Non_Wetland,Grassland
387,Built-up,Forest,Water,Non_Wetland,Forest
388,Water,NULL,NULL,Non_Wetland,Grassland
389,Water,NULL,NULL,Non_Wetland,Wetland
390,Water,NULL,NULL,Non_Wetland,Water
391,Water,NULL,NULL,Non_Wetland,Forest
392,Water,NULL,Non_Water,Non_Wetland,Grassland
393,Water,NULL,Non_Water,Non_Wetland,Wetland
394,Water,NULL,Non_Water,Non_Wetland,Water
395,Water,NULL,Non_Water,Non_Wetland,Forest
396,Water,NULL,Water,Non_Wetland,Grassland
397,Water,NULL,Water,Non_Wetland,Wetland
398,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
399,Water,NULL,Water,Non_Wetland,Water
400,Water,NULL,Water,Non_Wetland,Forest
401,Water,Shrubland,NULL,Non_Wetland,Grassland
402,Water,Shrubland,NULL,Non_Wetland,Wetland
403,Water,Shrubland,NULL,Non_Wetland,Bareland
404,Water,Shrubland,NULL,Non_Wetland,Water
405,Water,Shrubland,NULL,Non_Wetland,Forest
406,Water,Shrubland,Non_Water,Non_Wetland,Grassland
407,Water,Shrubland,Non_Water,Non_Wetland,Wetland
408,Water,Shrubland,Non_Water,Non_Wetland,Water
409,Water,Shrubland,Non_Water,Non_Wetland,Forest
410,Water,Shrubland,Water,Non_Wetland,Grassland
411,Water,Shrubland,Water,Non_Wetland,Wetland
412,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
413,Water,Shrubland,Water,Non_Wetland,Water
414,Water,Shrubland,Water,Non_Wetland,Forest
415,Water,Grassland,NULL,Non_Wetland,Grassland
416,Water,Grassland,NULL,Non_Wetland,Wetland
417,Water,Grassland,NULL,Non_Wetland,Bareland
418,Water,Grassland,NULL,Non_Wetland,Water
419,Water,Grassland,NULL,Non_Wetland,Forest
420,Water,Grassland,Non_Water,Non_Wetland,Grassland
421,Water,Grassland,Non_Water,Non_Wetland,Wetland
422,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
423,Water,Grassland,Non_Water,Non_Wetland,Water
424,Water,Grassland,Non_Water,Non_Wetland,Forest
425,Water,Grassland,Water,Non_Wetland,Grassland
426,Water,Grassland,Water,Non_Wetland,Wetland
427,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
428,Water,Grassland,Water,Non_Wetland,Bareland
429,Water,Grassland,Water,Non_Wetland,Water
430,Water,Grassland,Water,Non_Wetland,Forest
431,Water,Cropland,NULL,Non_Wetland,Grassland
432,Water,Cropland,NULL,Non_Wetland,Wetland
433,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
434,Water,Cropland,NULL,Non_Wetland,Bareland
435,Water,Cropland,NULL,Non_Wetland,Built-up
436,Water,Cropland,NULL,Non_Wetland,Water
437,Water,Cropland,NULL,Non_Wetland,Forest
438,Water,Cropland,Non_Water,Non_Wetland,Grassland
439,Water,Cropland,Non_Water,Non_Wetland,Wetland
440,Water,Cropland,Non_Water,Non_Wetland,Water
441,Water,Cropland,Non_Water,Non_Wetland,Forest
442,Water,Cropland,Water,Non_Wetland,Grassland
443,Water,Cropland,Water,Non_Wetland,Wetland
444,Water,Cropland,Water,Non_Wetland,Lichens_and_Mosses
445,Water,Cropland,Water,Non_Wetland,Bareland
446,Water,Cropland,Water,Non_Wetland,Water
447,Water,Cropland,Water,Non_Wetland,Forest
448,Water,Wetland,NULL,Wetland,NULL
449,Water,Wetland,NULL,Wetland,Grassland
450,Water,Wetland,NULL,Wetland,Wetland
451,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
452,Water,Wetland,NULL,Wetland,Bareland
453,Water,Wetland,NULL,Wetland,Water
454,Water,Wetland,NULL,Wetland,Forest
455,Water,Wetland,Non_Water,Wetland,Grassland
456,Water,Wetland,Non_Water,Wetland,Wetland
457,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
458,Water,Wetland,Non_Water,Wetland,Water
459,Water,Wetland,Non_Water,Wetland,Forest
460,Water,Wetland,Water,Wetland,NULL
461,Water,Wetland,Water,Wetland,Grassland
462,Water,Wetland,Water,Wetland,Wetland
463,Water,Wetland,Water,Wetland,Lichens_and_Mosses
464,Water,Wetland,Water,Wetland,Bareland
465,Water,Wetland,Water,Wetland,Water
466,Water,Wetland,Water,Wetland,Forest
467,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
468,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
469,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
470,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
471,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
472,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
473,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
474,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
475,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
476,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
477,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
478,Water,Bareland,NULL,Non_Wetland,NULL
479,Water,Bareland,NULL,Non_Wetland,Grassland
480,Water,Bareland,NULL,Non_Wetland,Wetland
481,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
482,Water,Bareland,NULL,Non_Wetland,Bareland
483,Water,Bareland,NULL,Non_Wetland,Water
484,Water,Bareland,NULL,Non_Wetland,Forest
485,Water,Bareland,Non_Water,Non_Wetland,Grassland
486,Water,Bareland,Non_Water,Non_Wetland,Wetland
487,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
