Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPG_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPG_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPG_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,SIBERIA_2024_WorldCover_2021_41VPG_M_R
262,Cropland,Built-up,Water,Non_Wetland,Grassland
263,Cropland,Water,NULL,Water,Bareland
264,Cropland,Water,Non_Water,Water,Wetland
265,Cropland,Water,Water,Water,Wetland
266,Cropland,Forest,NULL,Non_Wetland,NULL
267,Cropland,Forest,NULL,Non_Wetland,Grassland
268,Cropland,Forest,NULL,Non_Wetland,Cropland
269,Cropland,Forest,NULL,Non_Wetland,Wetland
270,Cropland,Forest,NULL,Non_Wetland,Built-up
271,Cropland,Forest,NULL,Non_Wetland,Forest
272,Cropland,Forest,Non_Water,Non_Wetland,Grassland
273,Cropland,Forest,Non_Water,Non_Wetland,Cropland
274,Cropland,Forest,Non_Water,Non_Wetland,Wetland
275,Cropland,Forest,Water,Non_Wetland,Grassland
276,Cropland,Forest,Water,Non_Wetland,Wetland
277,Wetland,NULL,NULL,Non_Wetland,NULL
278,Wetland,NULL,NULL,Non_Wetland,Grassland
279,Wetland,NULL,NULL,Non_Wetland,Cropland
280,Wetland,NULL,NULL,Non_Wetland,Wetland
281,Wetland,NULL,NULL,Non_Wetland,Water
282,Wetland,NULL,NULL,Non_Wetland,Forest
283,Wetland,NULL,Non_Water,Non_Wetland,Grassland
284,Wetland,NULL,Non_Water,Non_Wetland,Cropland
285,Wetland,NULL,Non_Water,Non_Wetland,Wetland
286,Wetland,NULL,Non_Water,Non_Wetland,Water
287,Wetland,NULL,Non_Water,Non_Wetland,Forest
288,Wetland,NULL,Water,Non_Wetland,Grassland
289,Wetland,NULL,Water,Non_Wetland,Cropland
290,Wetland,NULL,Water,Non_Wetland,Wetland
291,Wetland,NULL,Water,Non_Wetland,Water
292,Wetland,NULL,Water,Non_Wetland,Forest
293,Wetland,Shrubland,NULL,Non_Wetland,NULL
294,Wetland,Shrubland,NULL,Non_Wetland,Grassland
295,Wetland,Shrubland,NULL,Non_Wetland,Cropland
296,Wetland,Shrubland,NULL,Non_Wetland,Wetland
297,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
298,Wetland,Shrubland,NULL,Non_Wetland,Built-up
299,Wetland,Shrubland,NULL,Non_Wetland,Water
300,Wetland,Shrubland,NULL,Non_Wetland,Forest
301,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
302,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
303,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
304,Wetland,Shrubland,Non_Water,Non_Wetland,Water
305,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
306,Wetland,Shrubland,Water,Non_Wetland,Grassland
307,Wetland,Shrubland,Water,Non_Wetland,Cropland
308,Wetland,Shrubland,Water,Non_Wetland,Wetland
309,Wetland,Shrubland,Water,Non_Wetland,Water
310,Wetland,Shrubland,Water,Non_Wetland,Forest
311,Wetland,Grassland,NULL,Non_Wetland,Grassland
312,Wetland,Grassland,NULL,Non_Wetland,Cropland
313,Wetland,Grassland,NULL,Non_Wetland,Wetland
314,Wetland,Grassland,NULL,Non_Wetland,Forest
315,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
316,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
317,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
318,Wetland,Grassland,Water,Non_Wetland,Grassland
319,Wetland,Grassland,Water,Non_Wetland,Wetland
320,Wetland,Cropland,NULL,Non_Wetland,Grassland
321,Wetland,Cropland,NULL,Non_Wetland,Cropland
322,Wetland,Cropland,NULL,Non_Wetland,Wetland
323,Wetland,Cropland,NULL,Non_Wetland,Bareland
324,Wetland,Cropland,NULL,Non_Wetland,Built-up
325,Wetland,Cropland,NULL,Non_Wetland,Water
326,Wetland,Cropland,NULL,Non_Wetland,Forest
327,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
328,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
329,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
330,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
331,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
332,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
333,Wetland,Cropland,Non_Water,Non_Wetland,Water
334,Wetland,Cropland,Non_Water,Non_Wetland,Forest
335,Wetland,Cropland,Water,Non_Wetland,Grassland
336,Wetland,Cropland,Water,Non_Wetland,Cropland
337,Wetland,Cropland,Water,Non_Wetland,Wetland
338,Wetland,Cropland,Water,Non_Wetland,Water
339,Wetland,Cropland,Water,Non_Wetland,Forest
340,Wetland,Wetland,NULL,Wetland,NULL
341,Wetland,Wetland,NULL,Wetland,Grassland
342,Wetland,Wetland,NULL,Wetland,Cropland
343,Wetland,Wetland,NULL,Wetland,Wetland
344,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
345,Wetland,Wetland,NULL,Wetland,Water
346,Wetland,Wetland,NULL,Wetland,Forest
347,Wetland,Wetland,Non_Water,Wetland,NULL
348,Wetland,Wetland,Non_Water,Wetland,Grassland
349,Wetland,Wetland,Non_Water,Wetland,Cropland
350,Wetland,Wetland,Non_Water,Wetland,Wetland
351,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
352,Wetland,Wetland,Non_Water,Wetland,Bareland
353,Wetland,Wetland,Non_Water,Wetland,Water
354,Wetland,Wetland,Non_Water,Wetland,Forest
355,Wetland,Wetland,Water,Wetland,NULL
356,Wetland,Wetland,Water,Wetland,Grassland
357,Wetland,Wetland,Water,Wetland,Cropland
358,Wetland,Wetland,Water,Wetland,Wetland
359,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
360,Wetland,Wetland,Water,Wetland,Bareland
361,Wetland,Wetland,Water,Wetland,Water
362,Wetland,Wetland,Water,Wetland,Forest
363,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
364,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
365,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
366,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
367,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
368,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
369,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
370,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
371,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
372,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
373,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
374,Wetland,Bareland,NULL,Non_Wetland,NULL
375,Wetland,Bareland,NULL,Non_Wetland,Grassland
376,Wetland,Bareland,NULL,Non_Wetland,Cropland
377,Wetland,Bareland,NULL,Non_Wetland,Wetland
378,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
379,Wetland,Bareland,NULL,Non_Wetland,Built-up
380,Wetland,Bareland,NULL,Non_Wetland,Water
381,Wetland,Bareland,NULL,Non_Wetland,Forest
382,Wetland,Bareland,Non_Water,Non_Wetland,NULL
383,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
384,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
385,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
386,Wetland,Bareland,Non_Water,Non_Wetland,Water
387,Wetland,Bareland,Non_Water,Non_Wetland,Forest
388,Wetland,Bareland,Water,Non_Wetland,Grassland
389,Wetland,Bareland,Water,Non_Wetland,Cropland
390,Wetland,Bareland,Water,Non_Wetland,Wetland
391,Wetland,Bareland,Water,Non_Wetland,Bareland
392,Wetland,Bareland,Water,Non_Wetland,Water
393,Wetland,Bareland,Water,Non_Wetland,Forest
394,Wetland,Built-up,NULL,Non_Wetland,Grassland
395,Wetland,Built-up,NULL,Non_Wetland,Cropland
396,Wetland,Built-up,NULL,Non_Wetland,Wetland
397,Wetland,Built-up,NULL,Non_Wetland,Bareland
398,Wetland,Built-up,NULL,Non_Wetland,Built-up
399,Wetland,Built-up,NULL,Non_Wetland,Water
400,Wetland,Built-up,NULL,Non_Wetland,Forest
401,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
402,Wetland,Built-up,Non_Water,Non_Wetland,Cropland
403,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
404,Wetland,Built-up,Non_Water,Non_Wetland,Water
405,Wetland,Built-up,Non_Water,Non_Wetland,Forest
406,Wetland,Built-up,Water,Non_Wetland,Grassland
407,Wetland,Built-up,Water,Non_Wetland,Cropland
408,Wetland,Built-up,Water,Non_Wetland,Wetland
409,Wetland,Built-up,Water,Non_Wetland,Bareland
410,Wetland,Built-up,Water,Non_Wetland,Water
411,Wetland,Built-up,Water,Non_Wetland,Forest
412,Wetland,Water,NULL,Water,NULL
413,Wetland,Water,NULL,Water,Grassland
414,Wetland,Water,NULL,Water,Cropland
415,Wetland,Water,NULL,Water,Wetland
416,Wetland,Water,NULL,Water,Bareland
417,Wetland,Water,NULL,Water,Water
418,Wetland,Water,NULL,Water,Forest
419,Wetland,Water,Non_Water,Water,Grassland
420,Wetland,Water,Non_Water,Water,Cropland
421,Wetland,Water,Non_Water,Water,Wetland
422,Wetland,Water,Non_Water,Water,Water
423,Wetland,Water,Non_Water,Water,Forest
424,Wetland,Water,Water,Water,NULL
425,Wetland,Water,Water,Water,Grassland
426,Wetland,Water,Water,Water,Cropland
427,Wetland,Water,Water,Water,Wetland
428,Wetland,Water,Water,Water,Bareland
429,Wetland,Water,Water,Water,Water
430,Wetland,Water,Water,Water,Forest
431,Wetland,Forest,NULL,Non_Wetland,NULL
432,Wetland,Forest,NULL,Non_Wetland,Grassland
433,Wetland,Forest,NULL,Non_Wetland,Cropland
434,Wetland,Forest,NULL,Non_Wetland,Wetland
435,Wetland,Forest,NULL,Non_Wetland,Water
436,Wetland,Forest,NULL,Non_Wetland,Forest
437,Wetland,Forest,Non_Water,Non_Wetland,NULL
438,Wetland,Forest,Non_Water,Non_Wetland,Grassland
439,Wetland,Forest,Non_Water,Non_Wetland,Cropland
440,Wetland,Forest,Non_Water,Non_Wetland,Wetland
441,Wetland,Forest,Non_Water,Non_Wetland,Water
442,Wetland,Forest,Non_Water,Non_Wetland,Forest
443,Wetland,Forest,Water,Non_Wetland,NULL
444,Wetland,Forest,Water,Non_Wetland,Grassland
445,Wetland,Forest,Water,Non_Wetland,Cropland
446,Wetland,Forest,Water,Non_Wetland,Wetland
447,Wetland,Forest,Water,Non_Wetland,Bareland
448,Wetland,Forest,Water,Non_Wetland,Water
449,Wetland,Forest,Water,Non_Wetland,Forest
450,Bareland,NULL,NULL,Non_Wetland,Grassland
451,Bareland,NULL,NULL,Non_Wetland,Bareland
452,Bareland,NULL,NULL,Non_Wetland,Forest
453,Bareland,NULL,Non_Water,Non_Wetland,Water
454,Bareland,NULL,Water,Non_Wetland,Water
455,Bareland,NULL,Water,Non_Wetland,Forest
456,Bareland,Shrubland,NULL,Non_Wetland,Cropland
457,Bareland,Shrubland,NULL,Non_Wetland,Built-up
458,Bareland,Shrubland,NULL,Non_Wetland,Forest
459,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
460,Bareland,Cropland,NULL,Non_Wetland,Grassland
461,Bareland,Cropland,NULL,Non_Wetland,Wetland
462,Bareland,Cropland,NULL,Non_Wetland,Bareland
463,Bareland,Cropland,NULL,Non_Wetland,Built-up
464,Bareland,Cropland,NULL,Non_Wetland,Forest
465,Bareland,Cropland,Non_Water,Non_Wetland,Forest
466,Bareland,Cropland,Water,Non_Wetland,Grassland
467,Bareland,Cropland,Water,Non_Wetland,Water
468,Bareland,Cropland,Water,Non_Wetland,Forest
469,Bareland,Wetland,NULL,Wetland,NULL
470,Bareland,Wetland,NULL,Wetland,Grassland
471,Bareland,Wetland,NULL,Wetland,Wetland
472,Bareland,Wetland,NULL,Wetland,Bareland
473,Bareland,Wetland,NULL,Wetland,Water
474,Bareland,Wetland,NULL,Wetland,Forest
475,Bareland,Wetland,Non_Water,Wetland,Wetland
476,Bareland,Wetland,Non_Water,Wetland,Bareland
477,Bareland,Wetland,Non_Water,Wetland,Water
478,Bareland,Wetland,Non_Water,Wetland,Forest
479,Bareland,Wetland,Water,Wetland,Grassland
480,Bareland,Wetland,Water,Wetland,Wetland
481,Bareland,Wetland,Water,Wetland,Bareland
482,Bareland,Wetland,Water,Wetland,Water
483,Bareland,Wetland,Water,Wetland,Forest
484,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
