Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVP_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVP_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVP_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVP_M_R,SIBERIA_2024_WorldCover_2021_45WVP_M_R
174,Wetland,Shrubland,NULL,Non_Wetland,Forest
175,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
176,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
177,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
178,Wetland,Shrubland,Non_Water,Non_Wetland,Water
179,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
180,Wetland,Shrubland,Water,Non_Wetland,Grassland
181,Wetland,Shrubland,Water,Non_Wetland,Wetland
182,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
183,Wetland,Shrubland,Water,Non_Wetland,Bareland
184,Wetland,Shrubland,Water,Non_Wetland,Water
185,Wetland,Shrubland,Water,Non_Wetland,Forest
186,Wetland,Grassland,NULL,Non_Wetland,Grassland
187,Wetland,Grassland,NULL,Non_Wetland,Wetland
188,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
189,Wetland,Grassland,NULL,Non_Wetland,Water
190,Wetland,Grassland,NULL,Non_Wetland,Forest
191,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
192,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
193,Wetland,Grassland,Non_Water,Non_Wetland,Forest
194,Wetland,Grassland,Water,Non_Wetland,Grassland
195,Wetland,Grassland,Water,Non_Wetland,Wetland
196,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
197,Wetland,Grassland,Water,Non_Wetland,Water
198,Wetland,Grassland,Water,Non_Wetland,Forest
199,Wetland,Wetland,NULL,Wetland,Grassland
200,Wetland,Wetland,NULL,Wetland,Wetland
201,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
202,Wetland,Wetland,NULL,Wetland,Bareland
203,Wetland,Wetland,NULL,Wetland,Water
204,Wetland,Wetland,NULL,Wetland,Forest
205,Wetland,Wetland,Non_Water,Wetland,Grassland
206,Wetland,Wetland,Non_Water,Wetland,Wetland
207,Wetland,Wetland,Non_Water,Wetland,Water
208,Wetland,Wetland,Non_Water,Wetland,Forest
209,Wetland,Wetland,Water,Wetland,Grassland
210,Wetland,Wetland,Water,Wetland,Wetland
211,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
212,Wetland,Wetland,Water,Wetland,Bareland
213,Wetland,Wetland,Water,Wetland,Water
214,Wetland,Wetland,Water,Wetland,Forest
215,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
216,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
217,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
218,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
219,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
220,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
221,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
222,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
223,Wetland,Bareland,NULL,Non_Wetland,Grassland
224,Wetland,Bareland,NULL,Non_Wetland,Wetland
225,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
226,Wetland,Bareland,NULL,Non_Wetland,Bareland
227,Wetland,Bareland,NULL,Non_Wetland,Water
228,Wetland,Bareland,NULL,Non_Wetland,Forest
229,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
230,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
231,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
232,Wetland,Bareland,Non_Water,Non_Wetland,Water
233,Wetland,Bareland,Non_Water,Non_Wetland,Forest
234,Wetland,Bareland,Water,Non_Wetland,Grassland
235,Wetland,Bareland,Water,Non_Wetland,Wetland
236,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
237,Wetland,Bareland,Water,Non_Wetland,Bareland
238,Wetland,Bareland,Water,Non_Wetland,Water
239,Wetland,Bareland,Water,Non_Wetland,Forest
240,Wetland,Built-up,NULL,Non_Wetland,Grassland
241,Wetland,Built-up,NULL,Non_Wetland,Wetland
242,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
243,Wetland,Built-up,NULL,Non_Wetland,Bareland
244,Wetland,Built-up,NULL,Non_Wetland,Water
245,Wetland,Built-up,NULL,Non_Wetland,Forest
246,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
247,Wetland,Built-up,Non_Water,Non_Wetland,Water
248,Wetland,Built-up,Non_Water,Non_Wetland,Forest
249,Wetland,Built-up,Water,Non_Wetland,Grassland
250,Wetland,Built-up,Water,Non_Wetland,Wetland
251,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
252,Wetland,Built-up,Water,Non_Wetland,Bareland
253,Wetland,Built-up,Water,Non_Wetland,Water
254,Wetland,Built-up,Water,Non_Wetland,Forest
255,Wetland,Water,NULL,Water,Grassland
256,Wetland,Water,NULL,Water,Wetland
257,Wetland,Water,NULL,Water,Lichens_and_Mosses
258,Wetland,Water,NULL,Water,Bareland
259,Wetland,Water,NULL,Water,Water
260,Wetland,Water,NULL,Water,Forest
261,Wetland,Water,Non_Water,Water,Grassland
262,Wetland,Water,Non_Water,Water,Wetland
263,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
264,Wetland,Water,Non_Water,Water,Water
265,Wetland,Water,Non_Water,Water,Forest
266,Wetland,Water,Water,Water,Grassland
267,Wetland,Water,Water,Water,Wetland
268,Wetland,Water,Water,Water,Lichens_and_Mosses
269,Wetland,Water,Water,Water,Bareland
270,Wetland,Water,Water,Water,Water
271,Wetland,Water,Water,Water,Forest
272,Wetland,Forest,NULL,Non_Wetland,Grassland
273,Wetland,Forest,NULL,Non_Wetland,Wetland
274,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
275,Wetland,Forest,NULL,Non_Wetland,Bareland
276,Wetland,Forest,NULL,Non_Wetland,Water
277,Wetland,Forest,NULL,Non_Wetland,Forest
278,Wetland,Forest,Non_Water,Non_Wetland,Grassland
279,Wetland,Forest,Non_Water,Non_Wetland,Wetland
280,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
281,Wetland,Forest,Non_Water,Non_Wetland,Water
282,Wetland,Forest,Non_Water,Non_Wetland,Forest
283,Wetland,Forest,Water,Non_Wetland,Grassland
284,Wetland,Forest,Water,Non_Wetland,Wetland
285,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
286,Wetland,Forest,Water,Non_Wetland,Bareland
287,Wetland,Forest,Water,Non_Wetland,Water
288,Wetland,Forest,Water,Non_Wetland,Forest
289,Bareland,NULL,NULL,Non_Wetland,Grassland
290,Bareland,NULL,NULL,Non_Wetland,Wetland
291,Bareland,NULL,NULL,Non_Wetland,Water
292,Bareland,NULL,NULL,Non_Wetland,Forest
293,Bareland,NULL,Non_Water,Non_Wetland,Wetland
294,Bareland,NULL,Water,Non_Wetland,Water
295,Bareland,NULL,Water,Non_Wetland,Forest
296,Bareland,Shrubland,NULL,Non_Wetland,Grassland
297,Bareland,Shrubland,NULL,Non_Wetland,Wetland
298,Bareland,Shrubland,NULL,Non_Wetland,Bareland
299,Bareland,Shrubland,NULL,Non_Wetland,Water
300,Bareland,Shrubland,NULL,Non_Wetland,Forest
301,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
302,Bareland,Shrubland,Water,Non_Wetland,Grassland
303,Bareland,Shrubland,Water,Non_Wetland,Wetland
304,Bareland,Shrubland,Water,Non_Wetland,Water
305,Bareland,Grassland,NULL,Non_Wetland,Grassland
306,Bareland,Grassland,NULL,Non_Wetland,Forest
307,Bareland,Grassland,Water,Non_Wetland,Water
308,Bareland,Wetland,NULL,Wetland,Grassland
309,Bareland,Wetland,NULL,Wetland,Wetland
310,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
311,Bareland,Wetland,NULL,Wetland,Bareland
312,Bareland,Wetland,NULL,Wetland,Water
313,Bareland,Wetland,NULL,Wetland,Forest
314,Bareland,Wetland,Non_Water,Wetland,Wetland
315,Bareland,Wetland,Water,Wetland,Grassland
316,Bareland,Wetland,Water,Wetland,Wetland
317,Bareland,Wetland,Water,Wetland,Bareland
318,Bareland,Wetland,Water,Wetland,Water
319,Bareland,Wetland,Water,Wetland,Forest
320,Bareland,Bareland,NULL,Non_Wetland,Grassland
321,Bareland,Bareland,NULL,Non_Wetland,Wetland
322,Bareland,Bareland,NULL,Non_Wetland,Bareland
323,Bareland,Bareland,NULL,Non_Wetland,Water
324,Bareland,Bareland,NULL,Non_Wetland,Forest
325,Bareland,Bareland,Water,Non_Wetland,Grassland
326,Bareland,Bareland,Water,Non_Wetland,Wetland
327,Bareland,Bareland,Water,Non_Wetland,Bareland
328,Bareland,Bareland,Water,Non_Wetland,Water
329,Bareland,Bareland,Water,Non_Wetland,Forest
330,Bareland,Built-up,NULL,Non_Wetland,Grassland
331,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
332,Bareland,Built-up,NULL,Non_Wetland,Bareland
333,Bareland,Built-up,NULL,Non_Wetland,Water
334,Bareland,Built-up,NULL,Non_Wetland,Forest
335,Bareland,Built-up,Water,Non_Wetland,Grassland
336,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
337,Bareland,Built-up,Water,Non_Wetland,Bareland
338,Bareland,Built-up,Water,Non_Wetland,Water
339,Bareland,Water,NULL,Water,Grassland
340,Bareland,Water,NULL,Water,Wetland
341,Bareland,Water,NULL,Water,Water
342,Bareland,Water,NULL,Water,Forest
343,Bareland,Water,Water,Water,Wetland
344,Bareland,Water,Water,Water,Lichens_and_Mosses
345,Bareland,Water,Water,Water,Bareland
346,Bareland,Water,Water,Water,Water
347,Bareland,Water,Water,Water,Forest
348,Bareland,Forest,NULL,Non_Wetland,Grassland
349,Bareland,Forest,NULL,Non_Wetland,Wetland
350,Bareland,Forest,NULL,Non_Wetland,Water
351,Bareland,Forest,NULL,Non_Wetland,Forest
352,Bareland,Forest,Non_Water,Non_Wetland,Wetland
353,Bareland,Forest,Water,Non_Wetland,Wetland
354,Bareland,Forest,Water,Non_Wetland,Water
355,Bareland,Forest,Water,Non_Wetland,Forest
356,Built-up,NULL,NULL,Non_Wetland,Forest
357,Built-up,Shrubland,NULL,Non_Wetland,Grassland
358,Built-up,Shrubland,NULL,Non_Wetland,Bareland
359,Built-up,Shrubland,NULL,Non_Wetland,Built-up
360,Built-up,Shrubland,NULL,Non_Wetland,Forest
361,Built-up,Grassland,NULL,Non_Wetland,Grassland
362,Built-up,Grassland,NULL,Non_Wetland,Wetland
363,Built-up,Grassland,NULL,Non_Wetland,Bareland
364,Built-up,Grassland,NULL,Non_Wetland,Built-up
365,Built-up,Grassland,NULL,Non_Wetland,Forest
366,Built-up,Wetland,NULL,Wetland,Grassland
367,Built-up,Wetland,NULL,Wetland,Forest
368,Built-up,Bareland,NULL,Non_Wetland,Grassland
369,Built-up,Bareland,NULL,Non_Wetland,Bareland
370,Built-up,Bareland,NULL,Non_Wetland,Built-up
371,Built-up,Bareland,NULL,Non_Wetland,Forest
372,Built-up,Built-up,NULL,Non_Wetland,Grassland
373,Built-up,Built-up,NULL,Non_Wetland,Bareland
374,Built-up,Built-up,NULL,Non_Wetland,Built-up
375,Built-up,Built-up,NULL,Non_Wetland,Forest
376,Built-up,Built-up,Water,Non_Wetland,Grassland
377,Built-up,Forest,NULL,Non_Wetland,Grassland
378,Built-up,Forest,NULL,Non_Wetland,Bareland
379,Built-up,Forest,NULL,Non_Wetland,Forest
380,Water,NULL,NULL,Non_Wetland,Grassland
381,Water,NULL,NULL,Non_Wetland,Wetland
382,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
383,Water,NULL,NULL,Non_Wetland,Bareland
384,Water,NULL,NULL,Non_Wetland,Water
385,Water,NULL,NULL,Non_Wetland,Forest
386,Water,NULL,Non_Water,Non_Wetland,Grassland
387,Water,NULL,Non_Water,Non_Wetland,Wetland
388,Water,NULL,Non_Water,Non_Wetland,Water
389,Water,NULL,Non_Water,Non_Wetland,Forest
390,Water,NULL,Water,Non_Wetland,Grassland
391,Water,NULL,Water,Non_Wetland,Wetland
392,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
393,Water,NULL,Water,Non_Wetland,Bareland
394,Water,NULL,Water,Non_Wetland,Water
395,Water,NULL,Water,Non_Wetland,Forest
396,Water,Shrubland,NULL,Non_Wetland,Grassland
397,Water,Shrubland,NULL,Non_Wetland,Wetland
398,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
399,Water,Shrubland,NULL,Non_Wetland,Bareland
400,Water,Shrubland,NULL,Non_Wetland,Water
401,Water,Shrubland,NULL,Non_Wetland,Forest
402,Water,Shrubland,Non_Water,Non_Wetland,Grassland
403,Water,Shrubland,Non_Water,Non_Wetland,Wetland
404,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
405,Water,Shrubland,Non_Water,Non_Wetland,Bareland
406,Water,Shrubland,Non_Water,Non_Wetland,Water
407,Water,Shrubland,Non_Water,Non_Wetland,Forest
408,Water,Shrubland,Water,Non_Wetland,Grassland
409,Water,Shrubland,Water,Non_Wetland,Wetland
410,Water,Shrubland,Water,Non_Wetland,Bareland
411,Water,Shrubland,Water,Non_Wetland,Water
412,Water,Shrubland,Water,Non_Wetland,Forest
413,Water,Grassland,NULL,Non_Wetland,Grassland
414,Water,Grassland,NULL,Non_Wetland,Wetland
415,Water,Grassland,NULL,Non_Wetland,Bareland
416,Water,Grassland,NULL,Non_Wetland,Water
417,Water,Grassland,NULL,Non_Wetland,Forest
418,Water,Grassland,Non_Water,Non_Wetland,Wetland
419,Water,Grassland,Water,Non_Wetland,Grassland
420,Water,Grassland,Water,Non_Wetland,Wetland
421,Water,Grassland,Water,Non_Wetland,Bareland
422,Water,Grassland,Water,Non_Wetland,Water
423,Water,Grassland,Water,Non_Wetland,Forest
424,Water,Wetland,NULL,Wetland,Grassland
425,Water,Wetland,NULL,Wetland,Wetland
426,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
427,Water,Wetland,NULL,Wetland,Bareland
428,Water,Wetland,NULL,Wetland,Water
429,Water,Wetland,NULL,Wetland,Forest
430,Water,Wetland,Non_Water,Wetland,Grassland
431,Water,Wetland,Non_Water,Wetland,Wetland
432,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
433,Water,Wetland,Non_Water,Wetland,Water
434,Water,Wetland,Non_Water,Wetland,Forest
435,Water,Wetland,Water,Wetland,Grassland
436,Water,Wetland,Water,Wetland,Wetland
437,Water,Wetland,Water,Wetland,Lichens_and_Mosses
438,Water,Wetland,Water,Wetland,Bareland
439,Water,Wetland,Water,Wetland,Water
440,Water,Wetland,Water,Wetland,Forest
441,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
442,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
443,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
444,Water,Bareland,NULL,Non_Wetland,Grassland
445,Water,Bareland,NULL,Non_Wetland,Wetland
446,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
447,Water,Bareland,NULL,Non_Wetland,Bareland
448,Water,Bareland,NULL,Non_Wetland,Water
449,Water,Bareland,NULL,Non_Wetland,Forest
450,Water,Bareland,Non_Water,Non_Wetland,Grassland
451,Water,Bareland,Non_Water,Non_Wetland,Wetland
452,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
453,Water,Bareland,Non_Water,Non_Wetland,Bareland
454,Water,Bareland,Non_Water,Non_Wetland,Water
455,Water,Bareland,Non_Water,Non_Wetland,Forest
456,Water,Bareland,Water,Non_Wetland,Grassland
457,Water,Bareland,Water,Non_Wetland,Wetland
458,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
459,Water,Bareland,Water,Non_Wetland,Bareland
460,Water,Bareland,Water,Non_Wetland,Water
461,Water,Bareland,Water,Non_Wetland,Forest
462,Water,Built-up,NULL,Non_Wetland,Grassland
463,Water,Built-up,NULL,Non_Wetland,Wetland
464,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
465,Water,Built-up,NULL,Non_Wetland,Bareland
466,Water,Built-up,NULL,Non_Wetland,Water
467,Water,Built-up,NULL,Non_Wetland,Forest
468,Water,Built-up,Non_Water,Non_Wetland,Wetland
469,Water,Built-up,Non_Water,Non_Wetland,Bareland
470,Water,Built-up,Non_Water,Non_Wetland,Water
471,Water,Built-up,Non_Water,Non_Wetland,Forest
472,Water,Built-up,Water,Non_Wetland,Grassland
473,Water,Built-up,Water,Non_Wetland,Wetland
474,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
475,Water,Built-up,Water,Non_Wetland,Bareland
476,Water,Built-up,Water,Non_Wetland,Water
477,Water,Built-up,Water,Non_Wetland,Forest
478,Water,Water,NULL,Water,Grassland
479,Water,Water,NULL,Water,Wetland
480,Water,Water,NULL,Water,Lichens_and_Mosses
481,Water,Water,NULL,Water,Bareland
482,Water,Water,NULL,Water,Water
483,Water,Water,NULL,Water,Forest
484,Water,Water,Non_Water,Water,Grassland
485,Water,Water,Non_Water,Water,Wetland
486,Water,Water,Non_Water,Water,Lichens_and_Mosses
487,Water,Water,Non_Water,Water,Bareland
488,Water,Water,Non_Water,Water,Water
489,Water,Water,Non_Water,Water,Forest
490,Water,Water,Water,Water,Grassland
491,Water,Water,Water,Water,Wetland
492,Water,Water,Water,Water,Lichens_and_Mosses
493,Water,Water,Water,Water,Bareland
494,Water,Water,Water,Water,Water
