Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVP_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVP_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVP_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVP_M_R,SIBERIA_2024_WorldCover_2021_42VVP_M_R
260,Cropland,Forest,NULL,Non_Wetland,Grassland
261,Cropland,Forest,NULL,Non_Wetland,Wetland
262,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
263,Cropland,Forest,NULL,Non_Wetland,Forest
264,Cropland,Forest,Non_Water,Non_Wetland,Grassland
265,Cropland,Forest,Non_Water,Non_Wetland,Wetland
266,Cropland,Forest,Non_Water,Non_Wetland,Forest
267,Wetland,NULL,NULL,Non_Wetland,NULL
268,Wetland,NULL,NULL,Non_Wetland,Grassland
269,Wetland,NULL,NULL,Non_Wetland,Wetland
270,Wetland,NULL,NULL,Non_Wetland,Bareland
271,Wetland,NULL,NULL,Non_Wetland,Water
272,Wetland,NULL,NULL,Non_Wetland,Forest
273,Wetland,NULL,Non_Water,Non_Wetland,Grassland
274,Wetland,NULL,Non_Water,Non_Wetland,Wetland
275,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
276,Wetland,NULL,Non_Water,Non_Wetland,Water
277,Wetland,NULL,Non_Water,Non_Wetland,Forest
278,Wetland,NULL,Water,Non_Wetland,Grassland
279,Wetland,NULL,Water,Non_Wetland,Wetland
280,Wetland,NULL,Water,Non_Wetland,Water
281,Wetland,NULL,Water,Non_Wetland,Forest
282,Wetland,Shrubland,NULL,Non_Wetland,NULL
283,Wetland,Shrubland,NULL,Non_Wetland,Grassland
284,Wetland,Shrubland,NULL,Non_Wetland,Wetland
285,Wetland,Shrubland,NULL,Non_Wetland,Bareland
286,Wetland,Shrubland,NULL,Non_Wetland,Built-up
287,Wetland,Shrubland,NULL,Non_Wetland,Water
288,Wetland,Shrubland,NULL,Non_Wetland,Forest
289,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
290,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
291,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
292,Wetland,Shrubland,Non_Water,Non_Wetland,Water
293,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
294,Wetland,Shrubland,Water,Non_Wetland,Grassland
295,Wetland,Shrubland,Water,Non_Wetland,Wetland
296,Wetland,Shrubland,Water,Non_Wetland,Bareland
297,Wetland,Shrubland,Water,Non_Wetland,Water
298,Wetland,Shrubland,Water,Non_Wetland,Forest
299,Wetland,Grassland,NULL,Non_Wetland,Grassland
300,Wetland,Grassland,NULL,Non_Wetland,Wetland
301,Wetland,Grassland,NULL,Non_Wetland,Bareland
302,Wetland,Grassland,NULL,Non_Wetland,Built-up
303,Wetland,Grassland,NULL,Non_Wetland,Water
304,Wetland,Grassland,NULL,Non_Wetland,Forest
305,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
306,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
307,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
308,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
309,Wetland,Grassland,Non_Water,Non_Wetland,Water
310,Wetland,Grassland,Non_Water,Non_Wetland,Forest
311,Wetland,Grassland,Water,Non_Wetland,Grassland
312,Wetland,Grassland,Water,Non_Wetland,Wetland
313,Wetland,Grassland,Water,Non_Wetland,Water
314,Wetland,Cropland,NULL,Non_Wetland,Grassland
315,Wetland,Cropland,NULL,Non_Wetland,Wetland
316,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
317,Wetland,Cropland,NULL,Non_Wetland,Bareland
318,Wetland,Cropland,NULL,Non_Wetland,Built-up
319,Wetland,Cropland,NULL,Non_Wetland,Water
320,Wetland,Cropland,NULL,Non_Wetland,Forest
321,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
322,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
323,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
324,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
325,Wetland,Cropland,Non_Water,Non_Wetland,Water
326,Wetland,Cropland,Non_Water,Non_Wetland,Forest
327,Wetland,Cropland,Water,Non_Wetland,Grassland
328,Wetland,Cropland,Water,Non_Wetland,Wetland
329,Wetland,Cropland,Water,Non_Wetland,Bareland
330,Wetland,Cropland,Water,Non_Wetland,Water
331,Wetland,Cropland,Water,Non_Wetland,Forest
332,Wetland,Wetland,NULL,Wetland,NULL
333,Wetland,Wetland,NULL,Wetland,Grassland
334,Wetland,Wetland,NULL,Wetland,Cropland
335,Wetland,Wetland,NULL,Wetland,Wetland
336,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
337,Wetland,Wetland,NULL,Wetland,Bareland
338,Wetland,Wetland,NULL,Wetland,Built-up
339,Wetland,Wetland,NULL,Wetland,Water
340,Wetland,Wetland,NULL,Wetland,Forest
341,Wetland,Wetland,Non_Water,Wetland,NULL
342,Wetland,Wetland,Non_Water,Wetland,Grassland
343,Wetland,Wetland,Non_Water,Wetland,Cropland
344,Wetland,Wetland,Non_Water,Wetland,Wetland
345,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
346,Wetland,Wetland,Non_Water,Wetland,Bareland
347,Wetland,Wetland,Non_Water,Wetland,Built-up
348,Wetland,Wetland,Non_Water,Wetland,Water
349,Wetland,Wetland,Non_Water,Wetland,Forest
350,Wetland,Wetland,Water,Wetland,NULL
351,Wetland,Wetland,Water,Wetland,Grassland
352,Wetland,Wetland,Water,Wetland,Cropland
353,Wetland,Wetland,Water,Wetland,Wetland
354,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
355,Wetland,Wetland,Water,Wetland,Bareland
356,Wetland,Wetland,Water,Wetland,Built-up
357,Wetland,Wetland,Water,Wetland,Water
358,Wetland,Wetland,Water,Wetland,Forest
359,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
360,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
361,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
362,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
363,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
364,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
365,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
366,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
367,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
368,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
369,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
370,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
371,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
372,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
373,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
374,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
375,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
376,Wetland,Bareland,NULL,Non_Wetland,NULL
377,Wetland,Bareland,NULL,Non_Wetland,Grassland
378,Wetland,Bareland,NULL,Non_Wetland,Cropland
379,Wetland,Bareland,NULL,Non_Wetland,Wetland
380,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
381,Wetland,Bareland,NULL,Non_Wetland,Bareland
382,Wetland,Bareland,NULL,Non_Wetland,Built-up
383,Wetland,Bareland,NULL,Non_Wetland,Water
384,Wetland,Bareland,NULL,Non_Wetland,Forest
385,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
386,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
387,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
388,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
389,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
390,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
391,Wetland,Bareland,Non_Water,Non_Wetland,Water
392,Wetland,Bareland,Non_Water,Non_Wetland,Forest
393,Wetland,Bareland,Water,Non_Wetland,Grassland
394,Wetland,Bareland,Water,Non_Wetland,Cropland
395,Wetland,Bareland,Water,Non_Wetland,Wetland
396,Wetland,Bareland,Water,Non_Wetland,Bareland
397,Wetland,Bareland,Water,Non_Wetland,Water
398,Wetland,Bareland,Water,Non_Wetland,Forest
399,Wetland,Built-up,NULL,Non_Wetland,NULL
400,Wetland,Built-up,NULL,Non_Wetland,Grassland
401,Wetland,Built-up,NULL,Non_Wetland,Wetland
402,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
403,Wetland,Built-up,NULL,Non_Wetland,Bareland
404,Wetland,Built-up,NULL,Non_Wetland,Built-up
405,Wetland,Built-up,NULL,Non_Wetland,Water
406,Wetland,Built-up,NULL,Non_Wetland,Forest
407,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
408,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
409,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
410,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
411,Wetland,Built-up,Non_Water,Non_Wetland,Water
412,Wetland,Built-up,Non_Water,Non_Wetland,Forest
413,Wetland,Built-up,Water,Non_Wetland,Grassland
414,Wetland,Built-up,Water,Non_Wetland,Wetland
415,Wetland,Built-up,Water,Non_Wetland,Bareland
416,Wetland,Built-up,Water,Non_Wetland,Built-up
417,Wetland,Built-up,Water,Non_Wetland,Water
418,Wetland,Water,NULL,Water,NULL
419,Wetland,Water,NULL,Water,Grassland
420,Wetland,Water,NULL,Water,Wetland
421,Wetland,Water,NULL,Water,Bareland
422,Wetland,Water,NULL,Water,Water
423,Wetland,Water,NULL,Water,Forest
424,Wetland,Water,Non_Water,Water,Grassland
425,Wetland,Water,Non_Water,Water,Cropland
426,Wetland,Water,Non_Water,Water,Wetland
427,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
428,Wetland,Water,Non_Water,Water,Bareland
429,Wetland,Water,Non_Water,Water,Water
430,Wetland,Water,Non_Water,Water,Forest
431,Wetland,Water,Water,Water,NULL
432,Wetland,Water,Water,Water,Grassland
433,Wetland,Water,Water,Water,Cropland
434,Wetland,Water,Water,Water,Wetland
435,Wetland,Water,Water,Water,Lichens_and_Mosses
436,Wetland,Water,Water,Water,Bareland
437,Wetland,Water,Water,Water,Built-up
438,Wetland,Water,Water,Water,Water
439,Wetland,Water,Water,Water,Forest
440,Wetland,Forest,NULL,Non_Wetland,NULL
441,Wetland,Forest,NULL,Non_Wetland,Grassland
442,Wetland,Forest,NULL,Non_Wetland,Cropland
443,Wetland,Forest,NULL,Non_Wetland,Wetland
444,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
445,Wetland,Forest,NULL,Non_Wetland,Bareland
446,Wetland,Forest,NULL,Non_Wetland,Built-up
447,Wetland,Forest,NULL,Non_Wetland,Water
448,Wetland,Forest,NULL,Non_Wetland,Forest
449,Wetland,Forest,Non_Water,Non_Wetland,NULL
450,Wetland,Forest,Non_Water,Non_Wetland,Grassland
451,Wetland,Forest,Non_Water,Non_Wetland,Wetland
452,Wetland,Forest,Non_Water,Non_Wetland,Bareland
453,Wetland,Forest,Non_Water,Non_Wetland,Built-up
454,Wetland,Forest,Non_Water,Non_Wetland,Water
455,Wetland,Forest,Non_Water,Non_Wetland,Forest
456,Wetland,Forest,Water,Non_Wetland,NULL
457,Wetland,Forest,Water,Non_Wetland,Grassland
458,Wetland,Forest,Water,Non_Wetland,Wetland
459,Wetland,Forest,Water,Non_Wetland,Bareland
460,Wetland,Forest,Water,Non_Wetland,Water
461,Wetland,Forest,Water,Non_Wetland,Forest
462,Bareland,NULL,NULL,Non_Wetland,Grassland
463,Bareland,NULL,NULL,Non_Wetland,Cropland
464,Bareland,NULL,NULL,Non_Wetland,Wetland
465,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
466,Bareland,NULL,NULL,Non_Wetland,Bareland
467,Bareland,NULL,NULL,Non_Wetland,Water
468,Bareland,NULL,NULL,Non_Wetland,Forest
469,Bareland,NULL,Non_Water,Non_Wetland,Forest
470,Bareland,NULL,Water,Non_Wetland,Water
471,Bareland,NULL,Water,Non_Wetland,Forest
472,Bareland,Shrubland,NULL,Non_Wetland,Grassland
473,Bareland,Shrubland,NULL,Non_Wetland,Cropland
474,Bareland,Shrubland,NULL,Non_Wetland,Wetland
475,Bareland,Shrubland,NULL,Non_Wetland,Bareland
476,Bareland,Shrubland,NULL,Non_Wetland,Built-up
477,Bareland,Shrubland,NULL,Non_Wetland,Water
