Value,SIBERIA_2024_ESA_CALU_2024_41XPA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41XPA_M_R,SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,SIBERIA_2024_GWL_FCS30D_2022_41XPA_M_R,SIBERIA_2024_WorldCover_2021_41XPA_M_R
106,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
107,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
108,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
109,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
110,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
111,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
112,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
113,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
114,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,NULL
115,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,NULL
116,NULL,Permanent_ice_and_snow,Water,NULL,NULL,NULL
117,NULL,Permanent_ice_and_snow,Water,NULL,Water,NULL
118,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,NULL
119,NULL,Permanent_ice_and_snow,Water,Water,NULL,NULL
120,NULL,Permanent_ice_and_snow,Water,Water,Water,NULL
121,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
122,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
123,NULL,Forest,Wetland,NULL,Wetland,NULL
124,NULL,Forest,Wetland,Water,Wetland,NULL
125,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
126,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
127,NULL,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
128,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
129,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
130,NULL,Forest,Bareland,Water,Non_Wetland,NULL
131,NULL,Forest,Water,NULL,Water,NULL
132,NULL,Forest,Water,Non_Water,Water,NULL
133,NULL,Forest,Water,Water,Water,NULL
134,Shrubland,NULL,Shrubland,NULL,Non_Wetland,NULL
135,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
136,Shrubland,NULL,Shrubland,Water,Non_Wetland,NULL
137,Shrubland,NULL,Grassland,NULL,Non_Wetland,NULL
138,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,NULL
139,Shrubland,NULL,Grassland,Water,Non_Wetland,NULL
140,Shrubland,NULL,Wetland,NULL,Wetland,NULL
141,Shrubland,NULL,Wetland,Non_Water,Wetland,NULL
142,Shrubland,NULL,Wetland,Water,Wetland,NULL
143,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
144,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
145,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
146,Shrubland,NULL,Bareland,NULL,Non_Wetland,NULL
147,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,NULL
148,Shrubland,NULL,Bareland,Water,Non_Wetland,NULL
149,Shrubland,NULL,Built-up,NULL,Non_Wetland,NULL
150,Shrubland,NULL,Water,NULL,Water,NULL
151,Shrubland,NULL,Water,Non_Water,Water,NULL
152,Shrubland,NULL,Water,Water,Water,NULL
153,Shrubland,Wetland,Shrubland,NULL,Non_Wetland,NULL
154,Shrubland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
155,Shrubland,Wetland,Shrubland,Water,Non_Wetland,NULL
156,Shrubland,Wetland,Grassland,NULL,Non_Wetland,NULL
157,Shrubland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
158,Shrubland,Wetland,Grassland,Water,Non_Wetland,NULL
159,Shrubland,Wetland,Wetland,NULL,Wetland,NULL
160,Shrubland,Wetland,Wetland,Non_Water,Wetland,NULL
161,Shrubland,Wetland,Wetland,Water,Wetland,NULL
162,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
163,Shrubland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
164,Shrubland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
165,Shrubland,Wetland,Bareland,NULL,Non_Wetland,NULL
166,Shrubland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
167,Shrubland,Wetland,Bareland,Water,Non_Wetland,NULL
168,Shrubland,Wetland,Built-up,NULL,Non_Wetland,NULL
169,Shrubland,Wetland,Built-up,Water,Non_Wetland,NULL
170,Shrubland,Wetland,Water,NULL,Water,NULL
171,Shrubland,Wetland,Water,Non_Water,Water,NULL
172,Shrubland,Wetland,Water,Water,Water,NULL
173,Shrubland,Water,Shrubland,NULL,Non_Wetland,NULL
174,Shrubland,Water,Shrubland,Water,Non_Wetland,NULL
175,Shrubland,Water,Wetland,NULL,Wetland,NULL
176,Shrubland,Water,Wetland,Non_Water,Wetland,NULL
177,Shrubland,Water,Wetland,Water,Wetland,NULL
178,Shrubland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
179,Shrubland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
180,Shrubland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
181,Shrubland,Water,Bareland,NULL,Non_Wetland,NULL
182,Shrubland,Water,Bareland,Water,Non_Wetland,NULL
183,Shrubland,Water,Water,NULL,Water,NULL
184,Shrubland,Water,Water,Non_Water,Water,NULL
185,Shrubland,Water,Water,Water,Water,NULL
186,Shrubland,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
187,Shrubland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
188,Shrubland,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
189,Shrubland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
190,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
191,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
192,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
193,Shrubland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
194,Shrubland,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
195,Shrubland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
196,Shrubland,Permanent_ice_and_snow,Water,Water,Water,NULL
197,Shrubland,Forest,Shrubland,NULL,Non_Wetland,NULL
198,Shrubland,Forest,Wetland,NULL,Wetland,NULL
199,Shrubland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
200,Shrubland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
201,Shrubland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
202,Shrubland,Forest,Bareland,NULL,Non_Wetland,NULL
203,Shrubland,Forest,Bareland,Non_Water,Non_Wetland,NULL
204,Shrubland,Forest,Bareland,Water,Non_Wetland,NULL
205,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
206,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
207,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
208,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
209,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
210,Wetland,NULL,Grassland,Water,Non_Wetland,NULL
211,Wetland,NULL,Wetland,NULL,Wetland,NULL
212,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
213,Wetland,NULL,Wetland,Water,Wetland,NULL
214,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
215,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
216,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
217,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
218,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
219,Wetland,NULL,Bareland,Water,Non_Wetland,NULL
220,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
221,Wetland,NULL,Water,NULL,Water,NULL
222,Wetland,NULL,Water,Non_Water,Water,NULL
223,Wetland,NULL,Water,Water,Water,NULL
224,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
225,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
226,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL
227,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
228,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
229,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL
230,Wetland,Wetland,Wetland,NULL,Wetland,NULL
231,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
232,Wetland,Wetland,Wetland,Water,Wetland,NULL
233,Wetland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
234,Wetland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
235,Wetland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
236,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
237,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
238,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL
239,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
240,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
241,Wetland,Wetland,Water,NULL,Water,NULL
242,Wetland,Wetland,Water,Non_Water,Water,NULL
243,Wetland,Wetland,Water,Water,Water,NULL
244,Wetland,Bareland,Wetland,Water,Wetland,NULL
245,Wetland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
246,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL
247,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
248,Wetland,Bareland,Bareland,Water,Non_Wetland,NULL
249,Wetland,Bareland,Water,NULL,Water,NULL
250,Wetland,Bareland,Water,Water,Water,NULL
251,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
252,Wetland,Water,Shrubland,Water,Non_Wetland,NULL
253,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
254,Wetland,Water,Wetland,NULL,Wetland,NULL
255,Wetland,Water,Wetland,Non_Water,Wetland,NULL
256,Wetland,Water,Wetland,Water,Wetland,NULL
257,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
258,Wetland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
259,Wetland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
260,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
261,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL
262,Wetland,Water,Bareland,Water,Non_Wetland,NULL
263,Wetland,Water,Built-up,NULL,Non_Wetland,NULL
264,Wetland,Water,Built-up,Water,Non_Wetland,NULL
265,Wetland,Water,Water,NULL,Water,NULL
266,Wetland,Water,Water,Non_Water,Water,NULL
267,Wetland,Water,Water,Water,Water,NULL
268,Wetland,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
269,Wetland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
270,Wetland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
271,Wetland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
272,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
273,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
274,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
275,Wetland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
276,Wetland,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
277,Wetland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
278,Wetland,Permanent_ice_and_snow,Water,NULL,Water,NULL
279,Wetland,Permanent_ice_and_snow,Water,Water,Water,NULL
280,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
281,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
282,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
283,Wetland,Forest,Wetland,NULL,Wetland,NULL
284,Wetland,Forest,Wetland,Non_Water,Wetland,NULL
285,Wetland,Forest,Wetland,Water,Wetland,NULL
286,Wetland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
287,Wetland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
288,Wetland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
289,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
290,Wetland,Forest,Bareland,Non_Water,Non_Wetland,NULL
291,Wetland,Forest,Bareland,Water,Non_Wetland,NULL
292,Wetland,Forest,Water,NULL,Water,NULL
293,Wetland,Forest,Water,Non_Water,Water,NULL
294,Wetland,Forest,Water,Water,Water,NULL
295,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
296,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
297,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL
298,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
299,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
300,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
301,Bareland,NULL,Wetland,NULL,Wetland,NULL
302,Bareland,NULL,Wetland,Non_Water,Wetland,NULL
303,Bareland,NULL,Wetland,Water,Wetland,NULL
304,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
305,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
306,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
307,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
308,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL
309,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
310,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
311,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
312,Bareland,NULL,Built-up,Water,Non_Wetland,NULL
313,Bareland,NULL,Water,NULL,Water,NULL
314,Bareland,NULL,Water,Non_Water,Water,NULL
315,Bareland,NULL,Water,Water,Water,NULL
316,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL
317,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
318,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL
319,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL
320,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
321,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL
322,Bareland,Wetland,Wetland,NULL,Wetland,NULL
323,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL
324,Bareland,Wetland,Wetland,Water,Wetland,NULL
325,Bareland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
326,Bareland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
327,Bareland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
328,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
329,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
330,Bareland,Wetland,Bareland,Water,Non_Wetland,NULL
331,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL
332,Bareland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
333,Bareland,Wetland,Built-up,Water,Non_Wetland,NULL
334,Bareland,Wetland,Water,NULL,Water,NULL
335,Bareland,Wetland,Water,Non_Water,Water,NULL
336,Bareland,Wetland,Water,Water,Water,NULL
337,Bareland,Bareland,Wetland,NULL,Wetland,NULL
338,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL
339,Bareland,Bareland,Wetland,Water,Wetland,NULL
340,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
341,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
342,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
343,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
344,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
345,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL
346,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
347,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL
348,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL
349,Bareland,Bareland,Water,NULL,Water,NULL
350,Bareland,Bareland,Water,Non_Water,Water,NULL
351,Bareland,Bareland,Water,Water,Water,NULL
352,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
353,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
354,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
355,Bareland,Water,Wetland,NULL,Wetland,NULL
356,Bareland,Water,Wetland,Non_Water,Wetland,NULL
357,Bareland,Water,Wetland,Water,Wetland,NULL
358,Bareland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
359,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
360,Bareland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
361,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
362,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL
363,Bareland,Water,Bareland,Water,Non_Wetland,NULL
364,Bareland,Water,Built-up,NULL,Non_Wetland,NULL
365,Bareland,Water,Water,NULL,Water,NULL
366,Bareland,Water,Water,Non_Water,Water,NULL
367,Bareland,Water,Water,Water,Water,NULL
368,Bareland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
369,Bareland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
370,Bareland,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
371,Bareland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
372,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
373,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
374,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
375,Bareland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
376,Bareland,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
377,Bareland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
378,Bareland,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
379,Bareland,Permanent_ice_and_snow,Water,NULL,Water,NULL
380,Bareland,Permanent_ice_and_snow,Water,Non_Water,Water,NULL
381,Bareland,Permanent_ice_and_snow,Water,Water,Water,NULL
382,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL
383,Bareland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
384,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
385,Bareland,Forest,Bareland,Water,Non_Wetland,NULL
386,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL
387,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
388,Water,Wetland,Wetland,NULL,Wetland,NULL
389,Water,Wetland,Wetland,Non_Water,Wetland,NULL
390,Water,Wetland,Wetland,Water,Wetland,NULL
391,Water,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
392,Water,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
393,Water,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
394,Water,Wetland,Bareland,NULL,Non_Wetland,NULL
395,Water,Wetland,Bareland,Non_Water,Non_Wetland,NULL
396,Water,Wetland,Bareland,Water,Non_Wetland,NULL
397,Water,Wetland,Water,NULL,Water,NULL
398,Water,Wetland,Water,Non_Water,Water,NULL
399,Water,Wetland,Water,Water,Water,NULL
400,Water,Bareland,Water,NULL,Water,NULL
401,Water,Bareland,Water,Non_Water,Water,NULL
402,Water,Bareland,Water,Water,Water,NULL
403,Water,Water,Shrubland,Water,Non_Wetland,NULL
404,Water,Water,Wetland,NULL,Wetland,NULL
405,Water,Water,Wetland,Non_Water,Wetland,NULL
406,Water,Water,Wetland,Water,Wetland,NULL
407,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
408,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
409,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
410,Water,Water,Bareland,NULL,Non_Wetland,NULL
411,Water,Water,Bareland,Water,Non_Wetland,NULL
