Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VNJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VNJ_M_R,SIBERIA_2024_GSW_Yearly_2021_41VNJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VNJ_M_R,SIBERIA_2024_WorldCover_2021_41VNJ_M_R
264,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
265,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
266,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
267,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
268,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
269,Bareland,Bareland,NULL,Non_Wetland,Grassland
270,Bareland,Bareland,NULL,Non_Wetland,Cropland
271,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
272,Bareland,Bareland,NULL,Non_Wetland,Bareland
273,Bareland,Bareland,NULL,Non_Wetland,Built-up
274,Bareland,Bareland,NULL,Non_Wetland,Water
275,Bareland,Bareland,NULL,Non_Wetland,Forest
276,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
277,Bareland,Bareland,Water,Non_Wetland,Water
278,Bareland,Built-up,NULL,Non_Wetland,Grassland
279,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
280,Bareland,Built-up,NULL,Non_Wetland,Bareland
281,Bareland,Built-up,NULL,Non_Wetland,Built-up
282,Bareland,Built-up,NULL,Non_Wetland,Water
283,Bareland,Built-up,NULL,Non_Wetland,Forest
284,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
285,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
286,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
287,Bareland,Built-up,Water,Non_Wetland,Grassland
288,Bareland,Built-up,Water,Non_Wetland,Built-up
289,Bareland,Water,NULL,Water,Water
290,Bareland,Water,Water,Water,Forest
291,Bareland,Forest,NULL,Non_Wetland,Grassland
292,Bareland,Forest,NULL,Non_Wetland,Bareland
293,Bareland,Forest,NULL,Non_Wetland,Built-up
294,Bareland,Forest,NULL,Non_Wetland,Water
295,Bareland,Forest,NULL,Non_Wetland,Forest
296,Built-up,NULL,NULL,Non_Wetland,Grassland
297,Built-up,NULL,NULL,Non_Wetland,Cropland
298,Built-up,NULL,NULL,Non_Wetland,Wetland
299,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
300,Built-up,NULL,NULL,Non_Wetland,Bareland
301,Built-up,NULL,NULL,Non_Wetland,Built-up
302,Built-up,NULL,NULL,Non_Wetland,Water
303,Built-up,NULL,NULL,Non_Wetland,Forest
304,Built-up,Shrubland,NULL,Non_Wetland,NULL
305,Built-up,Shrubland,NULL,Non_Wetland,Grassland
306,Built-up,Shrubland,NULL,Non_Wetland,Cropland
307,Built-up,Shrubland,NULL,Non_Wetland,Wetland
308,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
309,Built-up,Shrubland,NULL,Non_Wetland,Bareland
310,Built-up,Shrubland,NULL,Non_Wetland,Built-up
311,Built-up,Shrubland,NULL,Non_Wetland,Forest
312,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
313,Built-up,Grassland,NULL,Non_Wetland,Grassland
314,Built-up,Grassland,NULL,Non_Wetland,Cropland
315,Built-up,Grassland,NULL,Non_Wetland,Wetland
316,Built-up,Grassland,NULL,Non_Wetland,Bareland
317,Built-up,Grassland,NULL,Non_Wetland,Built-up
318,Built-up,Grassland,NULL,Non_Wetland,Forest
319,Built-up,Grassland,Non_Water,Non_Wetland,Forest
320,Built-up,Cropland,NULL,Non_Wetland,NULL
321,Built-up,Cropland,NULL,Non_Wetland,Grassland
322,Built-up,Cropland,NULL,Non_Wetland,Cropland
323,Built-up,Cropland,NULL,Non_Wetland,Bareland
324,Built-up,Cropland,NULL,Non_Wetland,Built-up
325,Built-up,Cropland,NULL,Non_Wetland,Forest
326,Built-up,Wetland,NULL,Wetland,NULL
327,Built-up,Wetland,NULL,Wetland,Grassland
328,Built-up,Wetland,NULL,Wetland,Wetland
329,Built-up,Wetland,NULL,Wetland,Bareland
330,Built-up,Wetland,NULL,Wetland,Built-up
331,Built-up,Wetland,NULL,Wetland,Water
332,Built-up,Wetland,NULL,Wetland,Forest
333,Built-up,Wetland,Non_Water,Wetland,Water
334,Built-up,Wetland,Non_Water,Wetland,Forest
335,Built-up,Wetland,Water,Wetland,Grassland
336,Built-up,Wetland,Water,Wetland,Bareland
337,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
338,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
339,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
340,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
341,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
342,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
343,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
344,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
345,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Water
346,Built-up,Bareland,NULL,Non_Wetland,NULL
347,Built-up,Bareland,NULL,Non_Wetland,Grassland
348,Built-up,Bareland,NULL,Non_Wetland,Cropland
349,Built-up,Bareland,NULL,Non_Wetland,Wetland
350,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
351,Built-up,Bareland,NULL,Non_Wetland,Bareland
352,Built-up,Bareland,NULL,Non_Wetland,Built-up
353,Built-up,Bareland,NULL,Non_Wetland,Water
354,Built-up,Bareland,NULL,Non_Wetland,Forest
355,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
356,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
357,Built-up,Built-up,NULL,Non_Wetland,NULL
358,Built-up,Built-up,NULL,Non_Wetland,Grassland
359,Built-up,Built-up,NULL,Non_Wetland,Cropland
360,Built-up,Built-up,NULL,Non_Wetland,Wetland
361,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
362,Built-up,Built-up,NULL,Non_Wetland,Bareland
363,Built-up,Built-up,NULL,Non_Wetland,Built-up
364,Built-up,Built-up,NULL,Non_Wetland,Water
365,Built-up,Built-up,NULL,Non_Wetland,Forest
366,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
367,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
368,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
369,Built-up,Built-up,Non_Water,Non_Wetland,Forest
370,Built-up,Built-up,Water,Non_Wetland,Grassland
371,Built-up,Built-up,Water,Non_Wetland,Built-up
372,Built-up,Built-up,Water,Non_Wetland,Water
373,Built-up,Water,NULL,Water,Grassland
374,Built-up,Water,NULL,Water,Built-up
375,Built-up,Water,NULL,Water,Water
376,Built-up,Water,NULL,Water,Forest
377,Built-up,Water,Water,Water,Grassland
378,Built-up,Water,Water,Water,Water
379,Built-up,Water,Water,Water,Forest
380,Built-up,Forest,NULL,Non_Wetland,NULL
381,Built-up,Forest,NULL,Non_Wetland,Grassland
382,Built-up,Forest,NULL,Non_Wetland,Cropland
383,Built-up,Forest,NULL,Non_Wetland,Wetland
384,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
385,Built-up,Forest,NULL,Non_Wetland,Bareland
386,Built-up,Forest,NULL,Non_Wetland,Built-up
387,Built-up,Forest,NULL,Non_Wetland,Water
388,Built-up,Forest,NULL,Non_Wetland,Forest
389,Built-up,Forest,Non_Water,Non_Wetland,Bareland
390,Built-up,Forest,Non_Water,Non_Wetland,Built-up
391,Built-up,Forest,Non_Water,Non_Wetland,Forest
392,Built-up,Forest,Water,Non_Wetland,Water
393,Water,NULL,NULL,Non_Wetland,Grassland
394,Water,NULL,NULL,Non_Wetland,Wetland
395,Water,NULL,NULL,Non_Wetland,Water
396,Water,NULL,NULL,Non_Wetland,Forest
397,Water,NULL,Non_Water,Non_Wetland,Water
398,Water,NULL,Non_Water,Non_Wetland,Forest
399,Water,NULL,Water,Non_Wetland,Wetland
400,Water,NULL,Water,Non_Wetland,Water
401,Water,NULL,Water,Non_Wetland,Forest
402,Water,Shrubland,NULL,Non_Wetland,Wetland
403,Water,Shrubland,NULL,Non_Wetland,Water
404,Water,Shrubland,NULL,Non_Wetland,Forest
405,Water,Shrubland,Water,Non_Wetland,Wetland
406,Water,Shrubland,Water,Non_Wetland,Water
407,Water,Cropland,NULL,Non_Wetland,Forest
408,Water,Wetland,NULL,Wetland,NULL
409,Water,Wetland,NULL,Wetland,Grassland
410,Water,Wetland,NULL,Wetland,Wetland
411,Water,Wetland,NULL,Wetland,Built-up
412,Water,Wetland,NULL,Wetland,Water
413,Water,Wetland,NULL,Wetland,Forest
414,Water,Wetland,Non_Water,Wetland,Grassland
415,Water,Wetland,Non_Water,Wetland,Wetland
416,Water,Wetland,Non_Water,Wetland,Water
417,Water,Wetland,Non_Water,Wetland,Forest
418,Water,Wetland,Water,Wetland,Grassland
419,Water,Wetland,Water,Wetland,Wetland
420,Water,Wetland,Water,Wetland,Water
421,Water,Wetland,Water,Wetland,Forest
422,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
423,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
424,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
425,Water,Bareland,NULL,Non_Wetland,Grassland
426,Water,Bareland,NULL,Non_Wetland,Wetland
427,Water,Bareland,NULL,Non_Wetland,Bareland
428,Water,Bareland,NULL,Non_Wetland,Built-up
429,Water,Bareland,NULL,Non_Wetland,Water
430,Water,Bareland,NULL,Non_Wetland,Forest
431,Water,Bareland,Non_Water,Non_Wetland,Grassland
432,Water,Bareland,Water,Non_Wetland,Wetland
433,Water,Bareland,Water,Non_Wetland,Water
434,Water,Built-up,NULL,Non_Wetland,Grassland
435,Water,Built-up,NULL,Non_Wetland,Wetland
436,Water,Built-up,NULL,Non_Wetland,Bareland
437,Water,Built-up,NULL,Non_Wetland,Built-up
438,Water,Built-up,NULL,Non_Wetland,Water
439,Water,Built-up,NULL,Non_Wetland,Forest
440,Water,Built-up,Non_Water,Non_Wetland,Grassland
441,Water,Built-up,Non_Water,Non_Wetland,Forest
442,Water,Built-up,Water,Non_Wetland,Grassland
443,Water,Built-up,Water,Non_Wetland,Bareland
444,Water,Built-up,Water,Non_Wetland,Water
445,Water,Built-up,Water,Non_Wetland,Forest
446,Water,Water,NULL,Water,Grassland
447,Water,Water,NULL,Water,Wetland
448,Water,Water,NULL,Water,Water
449,Water,Water,NULL,Water,Forest
450,Water,Water,Non_Water,Water,Wetland
451,Water,Water,Non_Water,Water,Water
452,Water,Water,Non_Water,Water,Forest
453,Water,Water,Water,Water,NULL
454,Water,Water,Water,Water,Grassland
455,Water,Water,Water,Water,Wetland
456,Water,Water,Water,Water,Water
457,Water,Water,Water,Water,Forest
458,Water,Forest,NULL,Non_Wetland,Grassland
459,Water,Forest,NULL,Non_Wetland,Wetland
460,Water,Forest,NULL,Non_Wetland,Built-up
461,Water,Forest,NULL,Non_Wetland,Water
462,Water,Forest,NULL,Non_Wetland,Forest
463,Water,Forest,Non_Water,Non_Wetland,Water
464,Water,Forest,Non_Water,Non_Wetland,Forest
465,Water,Forest,Water,Non_Wetland,Grassland
466,Water,Forest,Water,Non_Wetland,Wetland
467,Water,Forest,Water,Non_Wetland,Water
468,Water,Forest,Water,Non_Wetland,Forest
469,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
470,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
471,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
472,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
473,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
474,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
475,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
476,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Built-up
477,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
478,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
479,Permanent_ice_and_snow,Wetland,NULL,Wetland,Built-up
480,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
481,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
482,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
483,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
484,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
485,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
