Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,SIBERIA_2024_WorldCover_2021_44VLL_M_R
274,Bareland,Built-up,NULL,Non_Wetland,Bareland
275,Bareland,Built-up,NULL,Non_Wetland,Built-up
276,Bareland,Built-up,NULL,Non_Wetland,Forest
277,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
278,Bareland,Water,NULL,Water,Wetland
279,Bareland,Water,NULL,Water,Water
280,Bareland,Water,NULL,Water,Forest
281,Bareland,Water,Water,Water,Water
282,Bareland,Water,Water,Water,Forest
283,Bareland,Forest,NULL,Non_Wetland,Water
284,Bareland,Forest,NULL,Non_Wetland,Forest
285,Bareland,Forest,Water,Non_Wetland,Water
286,Bareland,Forest,Water,Non_Wetland,Forest
287,Built-up,NULL,NULL,Non_Wetland,Grassland
288,Built-up,NULL,NULL,Non_Wetland,Forest
289,Built-up,Grassland,NULL,Non_Wetland,Grassland
290,Built-up,Grassland,NULL,Non_Wetland,Cropland
291,Built-up,Grassland,NULL,Non_Wetland,Bareland
292,Built-up,Grassland,NULL,Non_Wetland,Built-up
293,Built-up,Grassland,NULL,Non_Wetland,Forest
294,Built-up,Grassland,Water,Non_Wetland,Forest
295,Built-up,Cropland,NULL,Non_Wetland,Grassland
296,Built-up,Cropland,NULL,Non_Wetland,Cropland
297,Built-up,Cropland,NULL,Non_Wetland,Wetland
298,Built-up,Cropland,NULL,Non_Wetland,Bareland
299,Built-up,Cropland,NULL,Non_Wetland,Built-up
300,Built-up,Cropland,NULL,Non_Wetland,Forest
301,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
302,Built-up,Wetland,NULL,Wetland,Grassland
303,Built-up,Wetland,NULL,Wetland,Water
304,Built-up,Wetland,NULL,Wetland,Forest
305,Built-up,Wetland,Non_Water,Wetland,Grassland
306,Built-up,Wetland,Water,Wetland,Grassland
307,Built-up,Wetland,Water,Wetland,Forest
308,Built-up,Bareland,NULL,Non_Wetland,Grassland
309,Built-up,Bareland,NULL,Non_Wetland,Cropland
310,Built-up,Bareland,NULL,Non_Wetland,Wetland
311,Built-up,Bareland,NULL,Non_Wetland,Bareland
312,Built-up,Bareland,NULL,Non_Wetland,Built-up
313,Built-up,Bareland,NULL,Non_Wetland,Forest
314,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
315,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
316,Built-up,Bareland,Water,Non_Wetland,Forest
317,Built-up,Built-up,NULL,Non_Wetland,Grassland
318,Built-up,Built-up,NULL,Non_Wetland,Cropland
319,Built-up,Built-up,NULL,Non_Wetland,Bareland
320,Built-up,Built-up,NULL,Non_Wetland,Built-up
321,Built-up,Built-up,NULL,Non_Wetland,Forest
322,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
323,Built-up,Forest,NULL,Non_Wetland,NULL
324,Built-up,Forest,NULL,Non_Wetland,Grassland
325,Built-up,Forest,NULL,Non_Wetland,Cropland
326,Built-up,Forest,NULL,Non_Wetland,Wetland
327,Built-up,Forest,NULL,Non_Wetland,Bareland
328,Built-up,Forest,NULL,Non_Wetland,Built-up
329,Built-up,Forest,NULL,Non_Wetland,Forest
330,Built-up,Forest,Non_Water,Non_Wetland,Grassland
331,Built-up,Forest,Water,Non_Wetland,Grassland
332,Built-up,Forest,Water,Non_Wetland,Forest
333,Water,NULL,NULL,Non_Wetland,Grassland
334,Water,NULL,NULL,Non_Wetland,Wetland
335,Water,NULL,NULL,Non_Wetland,Water
336,Water,NULL,NULL,Non_Wetland,Forest
337,Water,NULL,Non_Water,Non_Wetland,Grassland
338,Water,NULL,Non_Water,Non_Wetland,Wetland
339,Water,NULL,Non_Water,Non_Wetland,Water
340,Water,NULL,Non_Water,Non_Wetland,Forest
341,Water,NULL,Water,Non_Wetland,Grassland
342,Water,NULL,Water,Non_Wetland,Wetland
343,Water,NULL,Water,Non_Wetland,Water
344,Water,NULL,Water,Non_Wetland,Forest
345,Water,Shrubland,Water,Non_Wetland,Forest
346,Water,Grassland,NULL,Non_Wetland,Grassland
347,Water,Grassland,NULL,Non_Wetland,Bareland
348,Water,Grassland,NULL,Non_Wetland,Water
349,Water,Grassland,NULL,Non_Wetland,Forest
350,Water,Grassland,Non_Water,Non_Wetland,Grassland
351,Water,Grassland,Water,Non_Wetland,Grassland
352,Water,Grassland,Water,Non_Wetland,Bareland
353,Water,Grassland,Water,Non_Wetland,Water
354,Water,Grassland,Water,Non_Wetland,Forest
355,Water,Cropland,NULL,Non_Wetland,Grassland
356,Water,Cropland,NULL,Non_Wetland,Wetland
357,Water,Cropland,NULL,Non_Wetland,Bareland
358,Water,Cropland,NULL,Non_Wetland,Built-up
359,Water,Cropland,NULL,Non_Wetland,Water
360,Water,Cropland,NULL,Non_Wetland,Forest
361,Water,Cropland,Non_Water,Non_Wetland,Grassland
362,Water,Cropland,Non_Water,Non_Wetland,Wetland
363,Water,Cropland,Non_Water,Non_Wetland,Water
364,Water,Cropland,Non_Water,Non_Wetland,Forest
365,Water,Cropland,Water,Non_Wetland,Grassland
366,Water,Cropland,Water,Non_Wetland,Wetland
367,Water,Cropland,Water,Non_Wetland,Water
368,Water,Cropland,Water,Non_Wetland,Forest
369,Water,Wetland,NULL,Wetland,NULL
370,Water,Wetland,NULL,Wetland,Grassland
371,Water,Wetland,NULL,Wetland,Wetland
372,Water,Wetland,NULL,Wetland,Water
373,Water,Wetland,NULL,Wetland,Forest
374,Water,Wetland,Non_Water,Wetland,Grassland
375,Water,Wetland,Non_Water,Wetland,Wetland
376,Water,Wetland,Non_Water,Wetland,Water
377,Water,Wetland,Non_Water,Wetland,Forest
378,Water,Wetland,Water,Wetland,Grassland
379,Water,Wetland,Water,Wetland,Cropland
380,Water,Wetland,Water,Wetland,Wetland
381,Water,Wetland,Water,Wetland,Lichens_and_Mosses
382,Water,Wetland,Water,Wetland,Bareland
383,Water,Wetland,Water,Wetland,Water
384,Water,Wetland,Water,Wetland,Forest
385,Water,Bareland,NULL,Non_Wetland,Grassland
386,Water,Bareland,NULL,Non_Wetland,Wetland
387,Water,Bareland,NULL,Non_Wetland,Bareland
388,Water,Bareland,NULL,Non_Wetland,Water
389,Water,Bareland,NULL,Non_Wetland,Forest
390,Water,Bareland,Non_Water,Non_Wetland,Grassland
391,Water,Bareland,Non_Water,Non_Wetland,Wetland
392,Water,Bareland,Non_Water,Non_Wetland,Water
393,Water,Bareland,Non_Water,Non_Wetland,Forest
394,Water,Bareland,Water,Non_Wetland,Grassland
395,Water,Bareland,Water,Non_Wetland,Wetland
396,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
397,Water,Bareland,Water,Non_Wetland,Water
398,Water,Bareland,Water,Non_Wetland,Forest
399,Water,Built-up,NULL,Non_Wetland,Grassland
400,Water,Built-up,NULL,Non_Wetland,Bareland
401,Water,Built-up,NULL,Non_Wetland,Built-up
402,Water,Built-up,NULL,Non_Wetland,Water
403,Water,Built-up,NULL,Non_Wetland,Forest
404,Water,Built-up,Non_Water,Non_Wetland,Grassland
405,Water,Built-up,Water,Non_Wetland,Grassland
406,Water,Built-up,Water,Non_Wetland,Bareland
407,Water,Built-up,Water,Non_Wetland,Water
408,Water,Built-up,Water,Non_Wetland,Forest
409,Water,Water,NULL,Water,Grassland
410,Water,Water,NULL,Water,Wetland
411,Water,Water,NULL,Water,Bareland
412,Water,Water,NULL,Water,Water
413,Water,Water,NULL,Water,Forest
414,Water,Water,Non_Water,Water,Grassland
415,Water,Water,Non_Water,Water,Wetland
416,Water,Water,Non_Water,Water,Water
417,Water,Water,Non_Water,Water,Forest
418,Water,Water,Water,Water,Grassland
419,Water,Water,Water,Water,Wetland
420,Water,Water,Water,Water,Lichens_and_Mosses
421,Water,Water,Water,Water,Bareland
422,Water,Water,Water,Water,Water
423,Water,Water,Water,Water,Forest
424,Water,Forest,NULL,Non_Wetland,NULL
425,Water,Forest,NULL,Non_Wetland,Grassland
426,Water,Forest,NULL,Non_Wetland,Wetland
427,Water,Forest,NULL,Non_Wetland,Water
428,Water,Forest,NULL,Non_Wetland,Forest
429,Water,Forest,Non_Water,Non_Wetland,Grassland
430,Water,Forest,Non_Water,Non_Wetland,Wetland
431,Water,Forest,Non_Water,Non_Wetland,Water
432,Water,Forest,Non_Water,Non_Wetland,Forest
433,Water,Forest,Water,Non_Wetland,Grassland
434,Water,Forest,Water,Non_Wetland,Wetland
435,Water,Forest,Water,Non_Wetland,Water
436,Water,Forest,Water,Non_Wetland,Forest
437,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
438,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
439,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
440,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
441,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
442,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
443,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
444,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
445,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
446,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
447,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
448,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
449,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
450,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
451,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
452,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
453,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
454,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
455,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
456,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
457,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
458,Permanent_ice_and_snow,Water,NULL,Water,Grassland
459,Permanent_ice_and_snow,Water,NULL,Water,Water
460,Permanent_ice_and_snow,Water,Water,Water,Water
461,Permanent_ice_and_snow,Water,Water,Water,Forest
462,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
463,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Cropland
464,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
465,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
466,Forest,NULL,NULL,Non_Wetland,NULL
467,Forest,NULL,NULL,Non_Wetland,Grassland
468,Forest,NULL,NULL,Non_Wetland,Wetland
469,Forest,NULL,NULL,Non_Wetland,Built-up
470,Forest,NULL,NULL,Non_Wetland,Water
471,Forest,NULL,NULL,Non_Wetland,Forest
472,Forest,NULL,Non_Water,Non_Wetland,NULL
473,Forest,NULL,Non_Water,Non_Wetland,Grassland
474,Forest,NULL,Non_Water,Non_Wetland,Wetland
475,Forest,NULL,Non_Water,Non_Wetland,Forest
476,Forest,NULL,Water,Non_Wetland,Grassland
477,Forest,NULL,Water,Non_Wetland,Wetland
478,Forest,NULL,Water,Non_Wetland,Water
479,Forest,NULL,Water,Non_Wetland,Forest
480,Forest,Shrubland,NULL,Non_Wetland,Grassland
481,Forest,Shrubland,NULL,Non_Wetland,Wetland
482,Forest,Shrubland,NULL,Non_Wetland,Forest
483,Forest,Grassland,NULL,Non_Wetland,Grassland
484,Forest,Grassland,NULL,Non_Wetland,Wetland
485,Forest,Grassland,NULL,Non_Wetland,Built-up
486,Forest,Grassland,NULL,Non_Wetland,Forest
487,Forest,Grassland,Non_Water,Non_Wetland,Forest
488,Forest,Grassland,Water,Non_Wetland,Grassland
489,Forest,Cropland,NULL,Non_Wetland,Grassland
490,Forest,Cropland,NULL,Non_Wetland,Cropland
491,Forest,Cropland,NULL,Non_Wetland,Wetland
492,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
493,Forest,Cropland,NULL,Non_Wetland,Built-up
494,Forest,Cropland,NULL,Non_Wetland,Forest
495,Forest,Cropland,Non_Water,Non_Wetland,Grassland
496,Forest,Cropland,Non_Water,Non_Wetland,Forest
497,Forest,Cropland,Water,Non_Wetland,Grassland
498,Forest,Cropland,Water,Non_Wetland,Forest
499,Forest,Wetland,NULL,Wetland,NULL
500,Forest,Wetland,NULL,Wetland,Grassland
501,Forest,Wetland,NULL,Wetland,Wetland
502,Forest,Wetland,NULL,Wetland,Built-up
503,Forest,Wetland,NULL,Wetland,Water
