Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNT_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNT_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNT_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNT_M_R,SIBERIA_2024_WorldCover_2021_44WNT_M_R
263,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
264,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
265,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
266,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
267,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
268,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
269,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
270,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
271,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
272,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
273,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
274,Wetland,Bareland,NULL,Non_Wetland,NULL
275,Wetland,Bareland,NULL,Non_Wetland,Grassland
276,Wetland,Bareland,NULL,Non_Wetland,Wetland
277,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
278,Wetland,Bareland,NULL,Non_Wetland,Bareland
279,Wetland,Bareland,NULL,Non_Wetland,Water
280,Wetland,Bareland,NULL,Non_Wetland,Forest
281,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
282,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
283,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
284,Wetland,Bareland,Non_Water,Non_Wetland,Water
285,Wetland,Bareland,Non_Water,Non_Wetland,Forest
286,Wetland,Bareland,Water,Non_Wetland,Grassland
287,Wetland,Bareland,Water,Non_Wetland,Wetland
288,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
289,Wetland,Bareland,Water,Non_Wetland,Bareland
290,Wetland,Bareland,Water,Non_Wetland,Water
291,Wetland,Bareland,Water,Non_Wetland,Forest
292,Wetland,Built-up,NULL,Non_Wetland,Grassland
293,Wetland,Built-up,NULL,Non_Wetland,Wetland
294,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
295,Wetland,Built-up,NULL,Non_Wetland,Bareland
296,Wetland,Built-up,NULL,Non_Wetland,Water
297,Wetland,Built-up,NULL,Non_Wetland,Forest
298,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
299,Wetland,Built-up,Non_Water,Non_Wetland,Water
300,Wetland,Built-up,Non_Water,Non_Wetland,Forest
301,Wetland,Built-up,Water,Non_Wetland,Grassland
302,Wetland,Built-up,Water,Non_Wetland,Wetland
303,Wetland,Built-up,Water,Non_Wetland,Water
304,Wetland,Built-up,Water,Non_Wetland,Forest
305,Wetland,Water,NULL,Water,Grassland
306,Wetland,Water,NULL,Water,Wetland
307,Wetland,Water,NULL,Water,Lichens_and_Mosses
308,Wetland,Water,NULL,Water,Water
309,Wetland,Water,NULL,Water,Forest
310,Wetland,Water,Non_Water,Water,Grassland
311,Wetland,Water,Non_Water,Water,Wetland
312,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
313,Wetland,Water,Non_Water,Water,Water
314,Wetland,Water,Non_Water,Water,Forest
315,Wetland,Water,Water,Water,Grassland
316,Wetland,Water,Water,Water,Wetland
317,Wetland,Water,Water,Water,Lichens_and_Mosses
318,Wetland,Water,Water,Water,Bareland
319,Wetland,Water,Water,Water,Water
320,Wetland,Water,Water,Water,Forest
321,Wetland,Forest,NULL,Non_Wetland,NULL
322,Wetland,Forest,NULL,Non_Wetland,Grassland
323,Wetland,Forest,NULL,Non_Wetland,Wetland
324,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
325,Wetland,Forest,NULL,Non_Wetland,Bareland
326,Wetland,Forest,NULL,Non_Wetland,Water
327,Wetland,Forest,NULL,Non_Wetland,Forest
328,Wetland,Forest,Non_Water,Non_Wetland,Grassland
329,Wetland,Forest,Non_Water,Non_Wetland,Wetland
330,Wetland,Forest,Non_Water,Non_Wetland,Water
331,Wetland,Forest,Non_Water,Non_Wetland,Forest
332,Wetland,Forest,Water,Non_Wetland,Grassland
333,Wetland,Forest,Water,Non_Wetland,Wetland
334,Wetland,Forest,Water,Non_Wetland,Bareland
335,Wetland,Forest,Water,Non_Wetland,Water
336,Wetland,Forest,Water,Non_Wetland,Forest
337,Bareland,NULL,NULL,Non_Wetland,Grassland
338,Bareland,NULL,NULL,Non_Wetland,Wetland
339,Bareland,NULL,NULL,Non_Wetland,Water
340,Bareland,NULL,NULL,Non_Wetland,Forest
341,Bareland,NULL,Non_Water,Non_Wetland,Grassland
342,Bareland,NULL,Water,Non_Wetland,Grassland
343,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
344,Bareland,NULL,Water,Non_Wetland,Bareland
345,Bareland,NULL,Water,Non_Wetland,Water
346,Bareland,Shrubland,NULL,Non_Wetland,Grassland
347,Bareland,Shrubland,NULL,Non_Wetland,Wetland
348,Bareland,Shrubland,NULL,Non_Wetland,Bareland
349,Bareland,Shrubland,NULL,Non_Wetland,Forest
350,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
351,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
352,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
353,Bareland,Shrubland,Water,Non_Wetland,Grassland
354,Bareland,Shrubland,Water,Non_Wetland,Wetland
355,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
356,Bareland,Shrubland,Water,Non_Wetland,Bareland
357,Bareland,Shrubland,Water,Non_Wetland,Water
358,Bareland,Shrubland,Water,Non_Wetland,Forest
359,Bareland,Grassland,NULL,Non_Wetland,Forest
360,Bareland,Wetland,NULL,Wetland,Grassland
361,Bareland,Wetland,NULL,Wetland,Wetland
362,Bareland,Wetland,NULL,Wetland,Bareland
363,Bareland,Wetland,NULL,Wetland,Water
364,Bareland,Wetland,NULL,Wetland,Forest
365,Bareland,Wetland,Non_Water,Wetland,Grassland
366,Bareland,Wetland,Non_Water,Wetland,Bareland
367,Bareland,Wetland,Non_Water,Wetland,Water
368,Bareland,Wetland,Water,Wetland,Grassland
369,Bareland,Wetland,Water,Wetland,Wetland
370,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
371,Bareland,Wetland,Water,Wetland,Bareland
372,Bareland,Wetland,Water,Wetland,Water
373,Bareland,Wetland,Water,Wetland,Forest
374,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
375,Bareland,Bareland,NULL,Non_Wetland,Grassland
376,Bareland,Bareland,NULL,Non_Wetland,Wetland
377,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
378,Bareland,Bareland,NULL,Non_Wetland,Bareland
379,Bareland,Bareland,NULL,Non_Wetland,Built-up
380,Bareland,Bareland,NULL,Non_Wetland,Water
381,Bareland,Bareland,NULL,Non_Wetland,Forest
382,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
383,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
384,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
385,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
386,Bareland,Bareland,Non_Water,Non_Wetland,Water
387,Bareland,Bareland,Water,Non_Wetland,Grassland
388,Bareland,Bareland,Water,Non_Wetland,Wetland
389,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
390,Bareland,Bareland,Water,Non_Wetland,Bareland
391,Bareland,Bareland,Water,Non_Wetland,Water
392,Bareland,Bareland,Water,Non_Wetland,Forest
393,Bareland,Built-up,NULL,Non_Wetland,Grassland
394,Bareland,Built-up,NULL,Non_Wetland,Bareland
395,Bareland,Built-up,NULL,Non_Wetland,Built-up
396,Bareland,Built-up,NULL,Non_Wetland,Forest
397,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
398,Bareland,Built-up,Water,Non_Wetland,Grassland
399,Bareland,Built-up,Water,Non_Wetland,Wetland
400,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
401,Bareland,Built-up,Water,Non_Wetland,Bareland
402,Bareland,Built-up,Water,Non_Wetland,Water
403,Bareland,Water,NULL,Water,Grassland
404,Bareland,Water,NULL,Water,Lichens_and_Mosses
405,Bareland,Water,NULL,Water,Bareland
406,Bareland,Water,NULL,Water,Water
407,Bareland,Water,NULL,Water,Forest
408,Bareland,Water,Non_Water,Water,Grassland
409,Bareland,Water,Non_Water,Water,Bareland
410,Bareland,Water,Non_Water,Water,Water
411,Bareland,Water,Water,Water,Grassland
412,Bareland,Water,Water,Water,Wetland
413,Bareland,Water,Water,Water,Lichens_and_Mosses
414,Bareland,Water,Water,Water,Bareland
415,Bareland,Water,Water,Water,Water
416,Bareland,Water,Water,Water,Forest
417,Bareland,Forest,NULL,Non_Wetland,Grassland
418,Bareland,Forest,NULL,Non_Wetland,Wetland
419,Bareland,Forest,NULL,Non_Wetland,Bareland
420,Bareland,Forest,NULL,Non_Wetland,Water
421,Bareland,Forest,NULL,Non_Wetland,Forest
422,Bareland,Forest,Water,Non_Wetland,Grassland
423,Bareland,Forest,Water,Non_Wetland,Wetland
424,Bareland,Forest,Water,Non_Wetland,Bareland
425,Bareland,Forest,Water,Non_Wetland,Water
426,Built-up,NULL,NULL,Non_Wetland,Grassland
427,Built-up,NULL,NULL,Non_Wetland,Wetland
428,Built-up,NULL,NULL,Non_Wetland,Built-up
429,Built-up,NULL,NULL,Non_Wetland,Forest
430,Built-up,NULL,Water,Non_Wetland,Grassland
431,Built-up,Shrubland,NULL,Non_Wetland,Grassland
432,Built-up,Shrubland,NULL,Non_Wetland,Wetland
433,Built-up,Shrubland,NULL,Non_Wetland,Built-up
434,Built-up,Shrubland,NULL,Non_Wetland,Forest
435,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
436,Built-up,Shrubland,Water,Non_Wetland,Wetland
437,Built-up,Grassland,NULL,Non_Wetland,Grassland
438,Built-up,Grassland,NULL,Non_Wetland,Wetland
439,Built-up,Grassland,NULL,Non_Wetland,Bareland
440,Built-up,Grassland,NULL,Non_Wetland,Built-up
441,Built-up,Grassland,NULL,Non_Wetland,Forest
442,Built-up,Wetland,NULL,Wetland,Grassland
443,Built-up,Wetland,NULL,Wetland,Wetland
444,Built-up,Wetland,NULL,Wetland,Bareland
445,Built-up,Wetland,NULL,Wetland,Built-up
446,Built-up,Wetland,NULL,Wetland,Forest
447,Built-up,Wetland,Water,Wetland,Bareland
448,Built-up,Wetland,Water,Wetland,Water
449,Built-up,Wetland,Water,Wetland,Forest
450,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
451,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
452,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
453,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
454,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
455,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
456,Built-up,Bareland,NULL,Non_Wetland,Grassland
457,Built-up,Bareland,NULL,Non_Wetland,Wetland
458,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
459,Built-up,Bareland,NULL,Non_Wetland,Bareland
460,Built-up,Bareland,NULL,Non_Wetland,Built-up
461,Built-up,Bareland,NULL,Non_Wetland,Water
462,Built-up,Bareland,NULL,Non_Wetland,Forest
463,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
464,Built-up,Bareland,Non_Water,Non_Wetland,Forest
465,Built-up,Bareland,Water,Non_Wetland,Grassland
466,Built-up,Bareland,Water,Non_Wetland,Wetland
467,Built-up,Bareland,Water,Non_Wetland,Bareland
468,Built-up,Bareland,Water,Non_Wetland,Water
469,Built-up,Bareland,Water,Non_Wetland,Forest
470,Built-up,Built-up,NULL,Non_Wetland,Grassland
471,Built-up,Built-up,NULL,Non_Wetland,Wetland
472,Built-up,Built-up,NULL,Non_Wetland,Bareland
473,Built-up,Built-up,NULL,Non_Wetland,Built-up
474,Built-up,Built-up,NULL,Non_Wetland,Water
475,Built-up,Built-up,NULL,Non_Wetland,Forest
476,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
477,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
478,Built-up,Built-up,Water,Non_Wetland,Built-up
479,Built-up,Built-up,Water,Non_Wetland,Forest
480,Built-up,Water,NULL,Water,Grassland
481,Built-up,Water,NULL,Water,Forest
482,Built-up,Water,Water,Water,Grassland
483,Built-up,Water,Water,Water,Water
