Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDG_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDG_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDG_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDG_M_R,SIBERIA_2024_WorldCover_2021_43VDG_M_R
264,Wetland,Water,NULL,Water,Wetland
265,Wetland,Water,NULL,Water,Water
266,Wetland,Water,NULL,Water,Forest
267,Wetland,Water,Non_Water,Water,Wetland
268,Wetland,Water,Non_Water,Water,Water
269,Wetland,Water,Non_Water,Water,Forest
270,Wetland,Water,Water,Water,NULL
271,Wetland,Water,Water,Water,Grassland
272,Wetland,Water,Water,Water,Wetland
273,Wetland,Water,Water,Water,Water
274,Wetland,Water,Water,Water,Forest
275,Wetland,Forest,NULL,Non_Wetland,NULL
276,Wetland,Forest,NULL,Non_Wetland,Grassland
277,Wetland,Forest,NULL,Non_Wetland,Wetland
278,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
279,Wetland,Forest,NULL,Non_Wetland,Bareland
280,Wetland,Forest,NULL,Non_Wetland,Built-up
281,Wetland,Forest,NULL,Non_Wetland,Water
282,Wetland,Forest,NULL,Non_Wetland,Forest
283,Wetland,Forest,Non_Water,Non_Wetland,Grassland
284,Wetland,Forest,Non_Water,Non_Wetland,Wetland
285,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
286,Wetland,Forest,Non_Water,Non_Wetland,Water
287,Wetland,Forest,Non_Water,Non_Wetland,Forest
288,Wetland,Forest,Water,Non_Wetland,NULL
289,Wetland,Forest,Water,Non_Wetland,Grassland
290,Wetland,Forest,Water,Non_Wetland,Wetland
291,Wetland,Forest,Water,Non_Wetland,Water
292,Wetland,Forest,Water,Non_Wetland,Forest
293,Bareland,NULL,NULL,Non_Wetland,Water
294,Bareland,NULL,NULL,Non_Wetland,Forest
295,Bareland,NULL,Non_Water,Non_Wetland,Forest
296,Bareland,NULL,Water,Non_Wetland,Water
297,Bareland,NULL,Water,Non_Wetland,Forest
298,Bareland,Shrubland,NULL,Non_Wetland,Grassland
299,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
300,Bareland,Shrubland,NULL,Non_Wetland,Bareland
301,Bareland,Shrubland,NULL,Non_Wetland,Built-up
302,Bareland,Shrubland,NULL,Non_Wetland,Water
303,Bareland,Shrubland,NULL,Non_Wetland,Forest
304,Bareland,Shrubland,Water,Non_Wetland,Bareland
305,Bareland,Grassland,NULL,Non_Wetland,Forest
306,Bareland,Wetland,NULL,Wetland,NULL
307,Bareland,Wetland,NULL,Wetland,Grassland
308,Bareland,Wetland,NULL,Wetland,Wetland
309,Bareland,Wetland,NULL,Wetland,Bareland
310,Bareland,Wetland,NULL,Wetland,Built-up
311,Bareland,Wetland,NULL,Wetland,Water
312,Bareland,Wetland,NULL,Wetland,Forest
313,Bareland,Wetland,Non_Water,Wetland,Water
314,Bareland,Wetland,Non_Water,Wetland,Forest
315,Bareland,Wetland,Water,Wetland,Water
316,Bareland,Wetland,Water,Wetland,Forest
317,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
318,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
319,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
320,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
321,Bareland,Bareland,NULL,Non_Wetland,NULL
322,Bareland,Bareland,NULL,Non_Wetland,Grassland
323,Bareland,Bareland,NULL,Non_Wetland,Cropland
324,Bareland,Bareland,NULL,Non_Wetland,Wetland
325,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
326,Bareland,Bareland,NULL,Non_Wetland,Bareland
327,Bareland,Bareland,NULL,Non_Wetland,Built-up
328,Bareland,Bareland,NULL,Non_Wetland,Water
329,Bareland,Bareland,NULL,Non_Wetland,Forest
330,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
331,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
332,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
333,Bareland,Bareland,Non_Water,Non_Wetland,Water
334,Bareland,Bareland,Non_Water,Non_Wetland,Forest
335,Bareland,Bareland,Water,Non_Wetland,Grassland
336,Bareland,Bareland,Water,Non_Wetland,Bareland
337,Bareland,Bareland,Water,Non_Wetland,Water
338,Bareland,Bareland,Water,Non_Wetland,Forest
339,Bareland,Built-up,NULL,Non_Wetland,Grassland
340,Bareland,Built-up,NULL,Non_Wetland,Bareland
341,Bareland,Built-up,NULL,Non_Wetland,Built-up
342,Bareland,Built-up,NULL,Non_Wetland,Water
343,Bareland,Built-up,NULL,Non_Wetland,Forest
344,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
345,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
346,Bareland,Built-up,Water,Non_Wetland,Bareland
347,Bareland,Built-up,Water,Non_Wetland,Built-up
348,Bareland,Built-up,Water,Non_Wetland,Water
349,Bareland,Water,NULL,Water,Bareland
350,Bareland,Water,NULL,Water,Water
351,Bareland,Water,NULL,Water,Forest
352,Bareland,Water,Non_Water,Water,Bareland
353,Bareland,Water,Non_Water,Water,Water
354,Bareland,Water,Non_Water,Water,Forest
355,Bareland,Water,Water,Water,Grassland
356,Bareland,Water,Water,Water,Water
357,Bareland,Water,Water,Water,Forest
358,Bareland,Forest,NULL,Non_Wetland,NULL
359,Bareland,Forest,NULL,Non_Wetland,Grassland
360,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
361,Bareland,Forest,NULL,Non_Wetland,Bareland
362,Bareland,Forest,NULL,Non_Wetland,Built-up
363,Bareland,Forest,NULL,Non_Wetland,Water
364,Bareland,Forest,NULL,Non_Wetland,Forest
365,Bareland,Forest,Non_Water,Non_Wetland,Bareland
366,Bareland,Forest,Non_Water,Non_Wetland,Water
367,Bareland,Forest,Non_Water,Non_Wetland,Forest
368,Bareland,Forest,Water,Non_Wetland,Water
369,Bareland,Forest,Water,Non_Wetland,Forest
370,Built-up,NULL,NULL,Non_Wetland,Grassland
371,Built-up,NULL,NULL,Non_Wetland,Bareland
372,Built-up,NULL,NULL,Non_Wetland,Forest
373,Built-up,Shrubland,NULL,Non_Wetland,Grassland
374,Built-up,Shrubland,NULL,Non_Wetland,Wetland
375,Built-up,Shrubland,NULL,Non_Wetland,Bareland
376,Built-up,Shrubland,NULL,Non_Wetland,Built-up
377,Built-up,Shrubland,NULL,Non_Wetland,Forest
378,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
379,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
380,Built-up,Grassland,NULL,Non_Wetland,Grassland
381,Built-up,Grassland,NULL,Non_Wetland,Built-up
382,Built-up,Grassland,NULL,Non_Wetland,Forest
383,Built-up,Cropland,NULL,Non_Wetland,Bareland
384,Built-up,Wetland,NULL,Wetland,NULL
385,Built-up,Wetland,NULL,Wetland,Grassland
386,Built-up,Wetland,NULL,Wetland,Wetland
387,Built-up,Wetland,NULL,Wetland,Bareland
388,Built-up,Wetland,NULL,Wetland,Forest
389,Built-up,Wetland,Water,Wetland,Wetland
390,Built-up,Wetland,Water,Wetland,Bareland
391,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
392,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
393,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
394,Built-up,Bareland,NULL,Non_Wetland,NULL
395,Built-up,Bareland,NULL,Non_Wetland,Grassland
396,Built-up,Bareland,NULL,Non_Wetland,Wetland
397,Built-up,Bareland,NULL,Non_Wetland,Bareland
398,Built-up,Bareland,NULL,Non_Wetland,Built-up
399,Built-up,Bareland,NULL,Non_Wetland,Water
400,Built-up,Bareland,NULL,Non_Wetland,Forest
401,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
402,Built-up,Bareland,Non_Water,Non_Wetland,Forest
403,Built-up,Bareland,Water,Non_Wetland,Grassland
404,Built-up,Bareland,Water,Non_Wetland,Bareland
405,Built-up,Bareland,Water,Non_Wetland,Water
406,Built-up,Built-up,NULL,Non_Wetland,Grassland
407,Built-up,Built-up,NULL,Non_Wetland,Wetland
408,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
409,Built-up,Built-up,NULL,Non_Wetland,Bareland
410,Built-up,Built-up,NULL,Non_Wetland,Built-up
411,Built-up,Built-up,NULL,Non_Wetland,Water
412,Built-up,Built-up,NULL,Non_Wetland,Forest
413,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
414,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
415,Built-up,Built-up,Water,Non_Wetland,Bareland
416,Built-up,Built-up,Water,Non_Wetland,Built-up
417,Built-up,Built-up,Water,Non_Wetland,Water
418,Built-up,Built-up,Water,Non_Wetland,Forest
419,Built-up,Water,Non_Water,Water,Bareland
420,Built-up,Water,Non_Water,Water,Water
421,Built-up,Water,Water,Water,Wetland
422,Built-up,Water,Water,Water,Water
423,Built-up,Forest,NULL,Non_Wetland,NULL
424,Built-up,Forest,NULL,Non_Wetland,Grassland
425,Built-up,Forest,NULL,Non_Wetland,Wetland
426,Built-up,Forest,NULL,Non_Wetland,Bareland
427,Built-up,Forest,NULL,Non_Wetland,Built-up
428,Built-up,Forest,NULL,Non_Wetland,Forest
429,Built-up,Forest,Water,Non_Wetland,Wetland
430,Water,NULL,NULL,Non_Wetland,Grassland
431,Water,NULL,NULL,Non_Wetland,Wetland
432,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
433,Water,NULL,NULL,Non_Wetland,Bareland
434,Water,NULL,NULL,Non_Wetland,Water
435,Water,NULL,NULL,Non_Wetland,Forest
436,Water,NULL,Non_Water,Non_Wetland,Grassland
437,Water,NULL,Non_Water,Non_Wetland,Wetland
438,Water,NULL,Non_Water,Non_Wetland,Water
439,Water,NULL,Non_Water,Non_Wetland,Forest
440,Water,NULL,Water,Non_Wetland,Grassland
441,Water,NULL,Water,Non_Wetland,Wetland
442,Water,NULL,Water,Non_Wetland,Water
443,Water,NULL,Water,Non_Wetland,Forest
444,Water,Shrubland,NULL,Non_Wetland,NULL
445,Water,Shrubland,NULL,Non_Wetland,Grassland
446,Water,Shrubland,NULL,Non_Wetland,Wetland
447,Water,Shrubland,NULL,Non_Wetland,Bareland
448,Water,Shrubland,NULL,Non_Wetland,Built-up
449,Water,Shrubland,NULL,Non_Wetland,Water
450,Water,Shrubland,NULL,Non_Wetland,Forest
451,Water,Shrubland,Non_Water,Non_Wetland,Grassland
452,Water,Shrubland,Non_Water,Non_Wetland,Bareland
453,Water,Shrubland,Non_Water,Non_Wetland,Water
454,Water,Shrubland,Non_Water,Non_Wetland,Forest
455,Water,Shrubland,Water,Non_Wetland,Grassland
456,Water,Shrubland,Water,Non_Wetland,Wetland
457,Water,Shrubland,Water,Non_Wetland,Bareland
458,Water,Shrubland,Water,Non_Wetland,Built-up
459,Water,Shrubland,Water,Non_Wetland,Water
460,Water,Shrubland,Water,Non_Wetland,Forest
461,Water,Grassland,NULL,Non_Wetland,Grassland
462,Water,Grassland,NULL,Non_Wetland,Forest
463,Water,Grassland,Water,Non_Wetland,Bareland
464,Water,Grassland,Water,Non_Wetland,Water
465,Water,Cropland,NULL,Non_Wetland,Water
466,Water,Cropland,NULL,Non_Wetland,Forest
467,Water,Cropland,Non_Water,Non_Wetland,Grassland
468,Water,Cropland,Water,Non_Wetland,Grassland
469,Water,Cropland,Water,Non_Wetland,Water
470,Water,Wetland,NULL,Wetland,NULL
471,Water,Wetland,NULL,Wetland,Grassland
472,Water,Wetland,NULL,Wetland,Wetland
473,Water,Wetland,NULL,Wetland,Bareland
474,Water,Wetland,NULL,Wetland,Water
475,Water,Wetland,NULL,Wetland,Forest
476,Water,Wetland,Non_Water,Wetland,NULL
477,Water,Wetland,Non_Water,Wetland,Grassland
478,Water,Wetland,Non_Water,Wetland,Wetland
479,Water,Wetland,Non_Water,Wetland,Bareland
480,Water,Wetland,Non_Water,Wetland,Water
481,Water,Wetland,Non_Water,Wetland,Forest
482,Water,Wetland,Water,Wetland,NULL
483,Water,Wetland,Water,Wetland,Grassland
484,Water,Wetland,Water,Wetland,Wetland
485,Water,Wetland,Water,Wetland,Lichens_and_Mosses
486,Water,Wetland,Water,Wetland,Bareland
487,Water,Wetland,Water,Wetland,Built-up
488,Water,Wetland,Water,Wetland,Water
489,Water,Wetland,Water,Wetland,Forest
490,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
491,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
492,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
493,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
