Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPB_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,SIBERIA_2024_WorldCover_2021_44WPB_M_R
170,Wetland,NULL,Non_Water,Non_Wetland,Water
171,Wetland,NULL,Non_Water,Non_Wetland,Forest
172,Wetland,NULL,Water,Non_Wetland,Grassland
173,Wetland,NULL,Water,Non_Wetland,Wetland
174,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
175,Wetland,NULL,Water,Non_Wetland,Bareland
176,Wetland,NULL,Water,Non_Wetland,Water
177,Wetland,NULL,Water,Non_Wetland,Forest
178,Wetland,Shrubland,NULL,Non_Wetland,Grassland
179,Wetland,Shrubland,NULL,Non_Wetland,Wetland
180,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
181,Wetland,Shrubland,NULL,Non_Wetland,Bareland
182,Wetland,Shrubland,NULL,Non_Wetland,Water
183,Wetland,Shrubland,NULL,Non_Wetland,Forest
184,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
185,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
186,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
187,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
188,Wetland,Shrubland,Non_Water,Non_Wetland,Water
189,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
190,Wetland,Shrubland,Water,Non_Wetland,Grassland
191,Wetland,Shrubland,Water,Non_Wetland,Wetland
192,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
193,Wetland,Shrubland,Water,Non_Wetland,Bareland
194,Wetland,Shrubland,Water,Non_Wetland,Water
195,Wetland,Shrubland,Water,Non_Wetland,Forest
196,Wetland,Grassland,NULL,Non_Wetland,Grassland
197,Wetland,Grassland,NULL,Non_Wetland,Wetland
198,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
199,Wetland,Grassland,NULL,Non_Wetland,Bareland
200,Wetland,Grassland,NULL,Non_Wetland,Water
201,Wetland,Grassland,NULL,Non_Wetland,Forest
202,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
203,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
204,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
205,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
206,Wetland,Grassland,Non_Water,Non_Wetland,Water
207,Wetland,Grassland,Non_Water,Non_Wetland,Forest
208,Wetland,Grassland,Water,Non_Wetland,Grassland
209,Wetland,Grassland,Water,Non_Wetland,Wetland
210,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
211,Wetland,Grassland,Water,Non_Wetland,Bareland
212,Wetland,Grassland,Water,Non_Wetland,Water
213,Wetland,Grassland,Water,Non_Wetland,Forest
214,Wetland,Wetland,NULL,Wetland,Grassland
215,Wetland,Wetland,NULL,Wetland,Wetland
216,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
217,Wetland,Wetland,NULL,Wetland,Bareland
218,Wetland,Wetland,NULL,Wetland,Water
219,Wetland,Wetland,NULL,Wetland,Forest
220,Wetland,Wetland,Non_Water,Wetland,Grassland
221,Wetland,Wetland,Non_Water,Wetland,Wetland
222,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
223,Wetland,Wetland,Non_Water,Wetland,Bareland
224,Wetland,Wetland,Non_Water,Wetland,Water
225,Wetland,Wetland,Non_Water,Wetland,Forest
226,Wetland,Wetland,Water,Wetland,Grassland
227,Wetland,Wetland,Water,Wetland,Wetland
228,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
229,Wetland,Wetland,Water,Wetland,Bareland
230,Wetland,Wetland,Water,Wetland,Water
231,Wetland,Wetland,Water,Wetland,Forest
232,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
233,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
234,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
235,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
236,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
237,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
238,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
239,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
240,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
241,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
242,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
243,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
244,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
245,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
246,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
247,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
248,Wetland,Bareland,NULL,Non_Wetland,Grassland
249,Wetland,Bareland,NULL,Non_Wetland,Wetland
250,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
251,Wetland,Bareland,NULL,Non_Wetland,Bareland
252,Wetland,Bareland,NULL,Non_Wetland,Built-up
253,Wetland,Bareland,NULL,Non_Wetland,Water
254,Wetland,Bareland,NULL,Non_Wetland,Forest
255,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
256,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
257,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
258,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
259,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
260,Wetland,Bareland,Non_Water,Non_Wetland,Water
261,Wetland,Bareland,Non_Water,Non_Wetland,Forest
262,Wetland,Bareland,Water,Non_Wetland,Grassland
263,Wetland,Bareland,Water,Non_Wetland,Wetland
264,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
265,Wetland,Bareland,Water,Non_Wetland,Bareland
266,Wetland,Bareland,Water,Non_Wetland,Water
267,Wetland,Bareland,Water,Non_Wetland,Forest
268,Wetland,Built-up,NULL,Non_Wetland,Grassland
269,Wetland,Built-up,NULL,Non_Wetland,Wetland
270,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
271,Wetland,Built-up,NULL,Non_Wetland,Bareland
272,Wetland,Built-up,NULL,Non_Wetland,Built-up
273,Wetland,Built-up,NULL,Non_Wetland,Water
274,Wetland,Built-up,NULL,Non_Wetland,Forest
275,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
276,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
277,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
278,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
279,Wetland,Built-up,Non_Water,Non_Wetland,Water
280,Wetland,Built-up,Non_Water,Non_Wetland,Forest
281,Wetland,Built-up,Water,Non_Wetland,Grassland
282,Wetland,Built-up,Water,Non_Wetland,Wetland
283,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
284,Wetland,Built-up,Water,Non_Wetland,Bareland
285,Wetland,Built-up,Water,Non_Wetland,Water
286,Wetland,Built-up,Water,Non_Wetland,Forest
287,Wetland,Water,NULL,Water,Grassland
288,Wetland,Water,NULL,Water,Wetland
289,Wetland,Water,NULL,Water,Lichens_and_Mosses
290,Wetland,Water,NULL,Water,Bareland
291,Wetland,Water,NULL,Water,Water
292,Wetland,Water,NULL,Water,Forest
293,Wetland,Water,Non_Water,Water,Grassland
294,Wetland,Water,Non_Water,Water,Wetland
295,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
296,Wetland,Water,Non_Water,Water,Bareland
297,Wetland,Water,Non_Water,Water,Water
298,Wetland,Water,Non_Water,Water,Forest
299,Wetland,Water,Water,Water,Grassland
300,Wetland,Water,Water,Water,Wetland
301,Wetland,Water,Water,Water,Lichens_and_Mosses
302,Wetland,Water,Water,Water,Bareland
303,Wetland,Water,Water,Water,Water
304,Wetland,Water,Water,Water,Forest
305,Wetland,Forest,NULL,Non_Wetland,Grassland
306,Wetland,Forest,NULL,Non_Wetland,Wetland
307,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
308,Wetland,Forest,NULL,Non_Wetland,Bareland
309,Wetland,Forest,NULL,Non_Wetland,Built-up
310,Wetland,Forest,NULL,Non_Wetland,Water
311,Wetland,Forest,NULL,Non_Wetland,Forest
312,Wetland,Forest,Non_Water,Non_Wetland,NULL
313,Wetland,Forest,Non_Water,Non_Wetland,Grassland
314,Wetland,Forest,Non_Water,Non_Wetland,Wetland
315,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
316,Wetland,Forest,Non_Water,Non_Wetland,Bareland
317,Wetland,Forest,Non_Water,Non_Wetland,Water
318,Wetland,Forest,Non_Water,Non_Wetland,Forest
319,Wetland,Forest,Water,Non_Wetland,Grassland
320,Wetland,Forest,Water,Non_Wetland,Wetland
321,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
322,Wetland,Forest,Water,Non_Wetland,Bareland
323,Wetland,Forest,Water,Non_Wetland,Water
324,Wetland,Forest,Water,Non_Wetland,Forest
325,Bareland,NULL,NULL,Non_Wetland,Wetland
326,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
327,Bareland,NULL,NULL,Non_Wetland,Bareland
328,Bareland,NULL,NULL,Non_Wetland,Water
329,Bareland,NULL,NULL,Non_Wetland,Forest
330,Bareland,NULL,Non_Water,Non_Wetland,Wetland
331,Bareland,NULL,Non_Water,Non_Wetland,Bareland
332,Bareland,NULL,Non_Water,Non_Wetland,Water
333,Bareland,NULL,Non_Water,Non_Wetland,Forest
334,Bareland,NULL,Water,Non_Wetland,Wetland
335,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
336,Bareland,NULL,Water,Non_Wetland,Bareland
337,Bareland,NULL,Water,Non_Wetland,Water
338,Bareland,Shrubland,NULL,Non_Wetland,Wetland
339,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
340,Bareland,Shrubland,NULL,Non_Wetland,Bareland
341,Bareland,Shrubland,NULL,Non_Wetland,Water
342,Bareland,Shrubland,NULL,Non_Wetland,Forest
343,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
344,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
345,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
346,Bareland,Shrubland,Non_Water,Non_Wetland,Water
347,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
348,Bareland,Shrubland,Water,Non_Wetland,Wetland
349,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
350,Bareland,Shrubland,Water,Non_Wetland,Bareland
351,Bareland,Shrubland,Water,Non_Wetland,Water
352,Bareland,Grassland,NULL,Non_Wetland,Grassland
353,Bareland,Grassland,NULL,Non_Wetland,Wetland
354,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
355,Bareland,Grassland,NULL,Non_Wetland,Bareland
356,Bareland,Grassland,NULL,Non_Wetland,Water
357,Bareland,Grassland,NULL,Non_Wetland,Forest
358,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
359,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
360,Bareland,Wetland,NULL,Wetland,Wetland
361,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
362,Bareland,Wetland,NULL,Wetland,Bareland
363,Bareland,Wetland,NULL,Wetland,Water
364,Bareland,Wetland,NULL,Wetland,Forest
365,Bareland,Wetland,Non_Water,Wetland,Wetland
366,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
367,Bareland,Wetland,Non_Water,Wetland,Bareland
368,Bareland,Wetland,Non_Water,Wetland,Water
369,Bareland,Wetland,Water,Wetland,Wetland
370,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
371,Bareland,Wetland,Water,Wetland,Bareland
372,Bareland,Wetland,Water,Wetland,Water
373,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
374,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
375,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
376,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
377,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
378,Bareland,Bareland,NULL,Non_Wetland,Grassland
379,Bareland,Bareland,NULL,Non_Wetland,Wetland
380,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
381,Bareland,Bareland,NULL,Non_Wetland,Bareland
382,Bareland,Bareland,NULL,Non_Wetland,Built-up
383,Bareland,Bareland,NULL,Non_Wetland,Water
384,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
385,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
386,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
387,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
388,Bareland,Bareland,Non_Water,Non_Wetland,Water
389,Bareland,Bareland,Water,Non_Wetland,Grassland
390,Bareland,Bareland,Water,Non_Wetland,Wetland
391,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
392,Bareland,Bareland,Water,Non_Wetland,Bareland
393,Bareland,Bareland,Water,Non_Wetland,Water
394,Bareland,Built-up,NULL,Non_Wetland,Grassland
395,Bareland,Built-up,NULL,Non_Wetland,Wetland
396,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
397,Bareland,Built-up,NULL,Non_Wetland,Bareland
398,Bareland,Built-up,NULL,Non_Wetland,Water
399,Bareland,Built-up,NULL,Non_Wetland,Forest
400,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
401,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
402,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
403,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
404,Bareland,Built-up,Non_Water,Non_Wetland,Water
405,Bareland,Built-up,Water,Non_Wetland,Grassland
406,Bareland,Built-up,Water,Non_Wetland,Wetland
407,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
408,Bareland,Built-up,Water,Non_Wetland,Bareland
409,Bareland,Built-up,Water,Non_Wetland,Water
410,Bareland,Water,NULL,Water,Lichens_and_Mosses
411,Bareland,Water,NULL,Water,Bareland
412,Bareland,Water,NULL,Water,Water
413,Bareland,Water,NULL,Water,Forest
414,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
415,Bareland,Water,Non_Water,Water,Bareland
416,Bareland,Water,Non_Water,Water,Water
417,Bareland,Water,Water,Water,Wetland
418,Bareland,Water,Water,Water,Lichens_and_Mosses
419,Bareland,Water,Water,Water,Bareland
420,Bareland,Water,Water,Water,Water
421,Bareland,Water,Water,Water,Forest
422,Bareland,Forest,NULL,Non_Wetland,Wetland
423,Bareland,Forest,NULL,Non_Wetland,Forest
424,Bareland,Forest,Non_Water,Non_Wetland,Wetland
425,Bareland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
426,Bareland,Forest,Non_Water,Non_Wetland,Bareland
427,Bareland,Forest,Non_Water,Non_Wetland,Forest
428,Bareland,Forest,Water,Non_Wetland,Wetland
429,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
430,Bareland,Forest,Water,Non_Wetland,Bareland
431,Bareland,Forest,Water,Non_Wetland,Water
432,Built-up,NULL,NULL,Non_Wetland,Grassland
433,Built-up,NULL,NULL,Non_Wetland,Wetland
434,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
435,Built-up,NULL,NULL,Non_Wetland,Bareland
436,Built-up,NULL,NULL,Non_Wetland,Forest
437,Built-up,NULL,Non_Water,Non_Wetland,Water
438,Built-up,NULL,Water,Non_Wetland,Grassland
439,Built-up,Shrubland,NULL,Non_Wetland,Grassland
440,Built-up,Shrubland,NULL,Non_Wetland,Wetland
441,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
442,Built-up,Shrubland,NULL,Non_Wetland,Bareland
443,Built-up,Shrubland,NULL,Non_Wetland,Built-up
444,Built-up,Shrubland,NULL,Non_Wetland,Water
445,Built-up,Shrubland,NULL,Non_Wetland,Forest
446,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
447,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
448,Built-up,Shrubland,Water,Non_Wetland,Grassland
449,Built-up,Grassland,NULL,Non_Wetland,Grassland
450,Built-up,Grassland,NULL,Non_Wetland,Wetland
451,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
452,Built-up,Grassland,NULL,Non_Wetland,Bareland
453,Built-up,Grassland,NULL,Non_Wetland,Built-up
454,Built-up,Grassland,NULL,Non_Wetland,Forest
455,Built-up,Grassland,Water,Non_Wetland,Lichens_and_Mosses
456,Built-up,Wetland,NULL,Wetland,Wetland
457,Built-up,Wetland,NULL,Wetland,Bareland
458,Built-up,Wetland,Non_Water,Wetland,Grassland
459,Built-up,Wetland,Non_Water,Wetland,Bareland
460,Built-up,Wetland,Non_Water,Wetland,Water
461,Built-up,Wetland,Water,Wetland,Water
462,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
463,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
464,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
465,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
466,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
467,Built-up,Bareland,NULL,Non_Wetland,Grassland
468,Built-up,Bareland,NULL,Non_Wetland,Wetland
